from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
01-Jan-2020 - 00:00,82.45,43.4,77.88,33.04,15.74,1.31,12.69,6.09,8.86,68.81,70.23,1.64,119.51,284.86,0.0,112.76,211.94,38.94,02-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Jan-2020 - 00:00,81.37,51.06,83.46,38.66,25.05,1.17,17.12,5.09,9.34,87.82,71.61,1.36,169.97,226.66,0.0,97.12,185.07,18.27,03-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Jan-2020 - 00:00,73.16,39.88,70.21,48.52,25.64,1.16,14.06,5.5,9.82,52.6,78.25,1.36,224.96,278.67,0.0,105.33,200.36,53.36,04-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Jan-2020 - 00:00,63.0,30.28,57.2,44.99,18.19,0.86,10.57,4.03,6.8,32.41,68.95,1.55,237.2,277.05,0.0,107.06,198.73,91.12,05-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Jan-2020 - 00:00,42.85,3.14,24.91,38.86,2.34,0.64,4.8,1.56,3.0,26.59,71.33,2.99,305.64,283.41,0.0,82.95,157.9,127.29,06-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Jan-2020 - 00:00,43.26,4.7,26.37,33.24,10.1,0.47,3.46,1.39,2.6,22.53,81.3,2.16,261.8,41.48,0.0,46.13,76.29,89.24,07-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Jan-2020 - 00:00,38.43,5.46,24.45,27.5,11.56,0.39,2.1,0.91,1.83,20.03,98.21,2.01,107.36,28.13,0.0,28.85,42.82,57.85,08-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Jan-2020 - 00:00,45.29,6.37,28.45,25.69,18.35,0.52,3.42,1.19,2.64,20.09,97.92,1.43,158.27,41.18,0.0,28.65,51.05,43.69,09-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Jan-2020 - 00:00,34.85,2.61,20.1,24.52,18.58,0.52,3.82,1.17,2.35,22.3,93.75,2.82,301.98,199.04,0.0,46.93,86.99,53.87,10-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Jan-2020 - 00:00,38.78,2.83,22.53,22.56,15.28,0.6,4.66,1.28,2.66,22.96,81.1,2.89,312.19,369.15,0.0,50.38,96.6,78.99,11-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
