from date,BP,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,Ozone,to date,station
01-Jan-2020 - 00:00,,35.77,76.11,49.4,24.34,,1.26,19.31,2.56,30.47,33.01,3.4,,02-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Jan-2020 - 00:00,,31.72,72.24,79.37,24.94,,1.22,20.57,3.26,32.4,35.64,3.6,,03-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Jan-2020 - 00:00,,34.27,67.49,143.56,25.85,,1.2,20.3,2.81,30.87,33.67,3.27,,04-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Jan-2020 - 00:00,998.15,62.95,62.99,128.74,25.98,981.44,1.47,21.8,4.3,37.72,42.01,3.49,,05-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Jan-2020 - 00:00,997.97,53.89,66.29,126.3,26.05,947.31,1.23,20.12,2.34,31.01,33.33,3.6,,06-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Jan-2020 - 00:00,,32.4,72.51,40.02,25.14,,1.16,20.04,2.86,29.47,32.31,2.66,,07-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Jan-2020 - 00:00,1000.0,29.77,66.69,123.36,25.2,,1.16,20.16,3.11,31.08,34.18,3.5,,08-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Jan-2020 - 00:00,997.77,38.84,61.48,162.71,25.33,948.99,1.21,19.67,2.44,33.1,35.53,3.08,,09-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Jan-2020 - 00:00,998.55,50.6,59.83,149.51,25.35,979.12,1.33,20.33,3.37,39.76,43.1,3.76,,10-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Jan-2020 - 00:00,996.73,43.37,54.24,164.18,25.45,892.98,1.07,18.93,2.53,35.88,38.35,3.64,,11-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Jan-2020 - 00:00,996.65,38.18,56.33,175.32,24.51,889.29,0.93,17.74,2.32,33.11,35.32,3.48,,12-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Jan-2020 - 00:00,998.66,47.25,63.39,149.85,24.1,991.08,1.13,18.5,3.92,39.54,42.96,3.45,,13-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Jan-2020 - 00:00,997.25,59.15,61.15,140.44,24.92,922.53,1.47,20.06,5.02,42.03,46.95,3.7,,14-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Jan-2020 - 00:00,995.12,66.91,54.89,150.51,25.03,892.25,1.38,19.46,3.02,41.13,43.91,3.9,,15-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Jan-2020 - 00:00,994.74,47.66,50.6,175.96,24.33,798.43,1.06,17.59,2.15,34.42,36.46,3.58,,16-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Jan-2020 - 00:00,995.95,48.69,56.14,152.53,24.42,925.04,1.26,18.34,2.85,41.05,43.8,3.36,,17-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Jan-2020 - 00:00,994.23,45.79,54.15,157.88,24.89,889.61,1.24,19.04,3.95,43.11,46.86,3.4,,18-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Jan-2020 - 00:00,,33.06,71.53,122.29,24.89,,1.0,17.96,2.53,30.15,32.59,3.75,,19-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Jan-2020 - 00:00,999.71,26.46,62.84,135.31,25.64,,0.96,18.07,2.42,27.67,29.99,3.42,,20-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Jan-2020 - 00:00,996.31,41.12,57.2,165.24,25.74,915.91,1.09,19.79,2.95,34.38,37.27,3.76,,21-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Jan-2020 - 00:00,994.62,40.78,45.83,169.74,25.58,845.96,0.93,17.96,2.31,32.4,34.64,3.23,,22-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Jan-2020 - 00:00,998.62,36.95,60.84,165.79,24.8,955.24,1.08,17.99,2.49,33.61,36.04,3.52,,23-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Jan-2020 - 00:00,998.13,39.69,59.76,171.45,25.55,976.46,0.97,17.85,2.37,30.82,33.12,2.87,,24-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Jan-2020 - 00:00,991.69,42.87,48.13,178.51,25.68,775.39,1.12,19.05,3.29,38.38,41.58,3.44,,25-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Jan-2020 - 00:00,989.43,44.7,35.3,176.97,25.58,707.7,1.19,18.93,2.7,42.81,45.35,3.34,,26-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Jan-2020 - 00:00,991.78,41.47,35.42,174.88,26.12,751.85,1.01,17.76,2.39,40.42,42.64,3.72,,27-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Jan-2020 - 00:00,994.33,50.67,40.9,163.66,26.16,868.4,1.18,18.02,2.16,40.91,42.97,2.92,,28-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Jan-2020 - 00:00,994.66,57.92,52.04,151.17,25.79,906.07,1.11,17.51,2.18,35.61,37.75,3.69,,29-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Jan-2020 - 00:00,995.24,57.63,45.42,157.61,26.51,870.32,1.23,18.56,2.65,39.58,41.86,3.13,,30-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Jan-2020 - 00:00,995.47,53.59,42.0,167.42,26.85,877.45,1.32,18.7,3.03,44.97,47.94,4.05,,31-Jan-2020 - 00:00,"Peenya, Bengaluru - CPCB"
31-Jan-2020 - 00:00,994.93,55.28,43.87,163.1,26.81,871.24,1.13,17.69,2.14,34.46,36.5,3.29,,01-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Feb-2020 - 00:00,998.13,57.79,56.77,152.9,25.73,945.41,1.08,17.0,2.32,30.45,32.71,3.34,,02-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Feb-2020 - 00:00,997.52,40.06,58.55,114.22,24.87,994.46,0.88,16.58,2.13,25.47,27.44,3.61,,03-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Feb-2020 - 00:00,993.89,44.53,48.26,167.64,25.68,841.82,0.96,16.42,2.3,30.44,32.7,3.44,,04-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
