from date,PM2.5,PM10,NOx,SO2,CO,to date,station
01-Jan-2020 - 00:00,,,,,,02-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Jan-2020 - 00:00,,,,,,03-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Jan-2020 - 00:00,,,,,,04-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Jan-2020 - 00:00,,,,,,05-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Jan-2020 - 00:00,,,,,,06-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Jan-2020 - 00:00,,,,,,07-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Jan-2020 - 00:00,,,,,,08-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Jan-2020 - 00:00,,,,,,09-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Jan-2020 - 00:00,,,,,,10-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Jan-2020 - 00:00,,,,,,11-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Jan-2020 - 00:00,,,,,,12-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Jan-2020 - 00:00,,,,,,13-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Jan-2020 - 00:00,,,,,,14-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Jan-2020 - 00:00,,,,,,15-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Jan-2020 - 00:00,,,,,,16-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Jan-2020 - 00:00,,,,,,17-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Jan-2020 - 00:00,,,,,,18-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Jan-2020 - 00:00,,,,,,19-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Jan-2020 - 00:00,,,,,,20-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Jan-2020 - 00:00,,,,,,21-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Jan-2020 - 00:00,,,,,,22-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Jan-2020 - 00:00,,,,,,23-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Jan-2020 - 00:00,71.24,119.11,55.95,0.61,0.15,24-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Jan-2020 - 00:00,91.78,141.01,76.26,0.72,0.35,25-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Jan-2020 - 00:00,125.82,192.69,90.5,0.73,0.36,26-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Jan-2020 - 00:00,139.87,199.58,82.51,0.68,0.2,27-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Jan-2020 - 00:00,97.85,145.25,69.2,0.69,0.15,28-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Jan-2020 - 00:00,85.89,144.46,68.94,0.66,0.21,29-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Jan-2020 - 00:00,121.1,156.98,38.52,0.71,0.16,30-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Jan-2020 - 00:00,87.51,139.18,53.08,0.74,0.16,31-Jan-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
31-Jan-2020 - 00:00,93.4,153.98,67.26,0.7,0.15,01-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Feb-2020 - 00:00,101.01,166.21,98.96,0.72,0.24,02-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Feb-2020 - 00:00,118.12,179.57,81.81,0.69,0.19,03-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Feb-2020 - 00:00,131.86,205.8,101.31,0.71,0.26,04-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Feb-2020 - 00:00,126.33,183.07,108.67,0.71,0.3,05-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Feb-2020 - 00:00,154.18,227.34,106.53,4.72,0.95,06-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Feb-2020 - 00:00,144.72,210.83,74.31,9.26,1.61,07-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Feb-2020 - 00:00,122.06,192.82,122.63,5.79,1.65,08-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Feb-2020 - 00:00,146.01,192.96,76.23,7.7,1.31,09-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Feb-2020 - 00:00,155.34,238.6,104.91,9.4,1.59,10-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Feb-2020 - 00:00,142.48,311.68,139.38,11.17,1.68,11-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Feb-2020 - 00:00,142.48,311.68,110.03,11.15,1.43,12-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Feb-2020 - 00:00,142.48,311.68,113.64,7.37,1.64,13-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Feb-2020 - 00:00,103.55,217.14,71.66,12.45,1.1,14-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Feb-2020 - 00:00,62.37,120.89,39.11,10.19,0.9,15-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Feb-2020 - 00:00,56.54,127.81,87.52,15.73,1.21,16-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Feb-2020 - 00:00,81.5,160.01,109.98,12.77,1.45,17-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Feb-2020 - 00:00,100.63,180.55,117.38,11.07,1.4,18-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Feb-2020 - 00:00,78.82,155.5,120.39,12.74,1.27,19-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Feb-2020 - 00:00,79.19,141.71,85.71,15.82,1.17,20-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Feb-2020 - 00:00,60.65,117.87,45.19,15.99,1.02,21-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Feb-2020 - 00:00,95.07,133.67,27.4,13.36,0.97,22-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Feb-2020 - 00:00,120.88,160.56,48.81,16.48,1.22,23-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Feb-2020 - 00:00,116.23,165.18,67.38,20.41,1.36,24-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Feb-2020 - 00:00,106.99,148.0,40.43,18.17,1.1,25-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Feb-2020 - 00:00,100.88,158.48,60.02,18.37,1.21,26-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Feb-2020 - 00:00,107.79,173.25,99.78,21.05,1.44,27-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Feb-2020 - 00:00,72.7,117.21,44.89,19.98,1.05,28-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Feb-2020 - 00:00,59.91,95.97,28.35,20.45,0.89,29-Feb-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Feb-2020 - 00:00,55.71,96.92,21.38,12.65,0.82,01-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Mar-2020 - 00:00,31.03,48.72,22.9,13.81,0.76,02-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Mar-2020 - 00:00,76.22,116.29,43.3,17.41,1.14,03-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Mar-2020 - 00:00,74.94,116.7,47.78,14.41,1.17,04-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Mar-2020 - 00:00,64.86,106.25,47.64,16.73,1.17,05-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
