from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
01-Jan-2020 - 00:00,7.21,5.7,7.18,21.26,181.72,149.85,5.48,1.07,26.28,0.46,0.51,0.35,0.28,0.41,78.12,85.3,0.74,238.53,0.01,02-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
02-Jan-2020 - 00:00,4.66,6.52,5.55,20.69,156.5,121.45,9.9,0.82,23.63,0.43,0.55,0.4,0.38,0.46,87.69,102.48,0.75,286.01,0.0,03-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
03-Jan-2020 - 00:00,4.9,7.38,6.2,20.97,152.36,109.28,7.24,0.93,24.6,0.38,0.62,0.49,0.59,0.56,86.35,243.72,0.6,275.21,0.0,04-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
04-Jan-2020 - 00:00,5.11,6.97,6.15,21.06,182.72,135.21,8.39,0.88,29.33,0.38,0.62,0.49,0.59,0.56,83.51,199.57,0.45,267.79,0.0,05-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
05-Jan-2020 - 00:00,4.81,5.88,5.34,18.16,162.53,128.3,5.98,0.59,30.58,0.38,0.62,0.49,0.59,0.56,92.1,234.48,0.79,177.67,0.0,06-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
06-Jan-2020 - 00:00,5.1,5.98,5.63,18.74,135.72,113.48,4.13,0.56,16.31,0.38,0.62,0.49,0.59,0.56,98.27,162.36,0.85,43.19,0.04,07-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Jan-2020 - 00:00,5.8,4.9,5.62,16.98,65.6,59.56,4.76,0.46,17.85,0.49,0.62,0.51,0.64,0.49,99.53,96.54,0.78,102.79,0.02,08-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Jan-2020 - 00:00,6.37,4.32,5.79,16.36,78.18,71.27,2.59,0.46,6.11,0.68,0.61,0.53,0.71,0.38,99.64,182.1,0.79,60.58,0.26,09-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Jan-2020 - 00:00,6.02,4.25,5.48,14.01,74.36,60.32,3.32,0.37,21.91,0.7,0.59,0.52,0.58,0.42,99.39,279.4,0.93,147.93,0.01,10-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
10-Jan-2020 - 00:00,5.29,23.83,14.78,22.53,115.46,83.41,4.77,0.68,35.88,0.71,0.58,0.51,0.48,0.46,70.84,283.67,1.07,517.15,0.01,11-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
11-Jan-2020 - 00:00,4.35,32.8,19.04,41.67,131.52,90.18,6.48,0.52,40.32,0.71,0.58,0.51,0.48,0.46,60.58,296.6,0.84,469.91,0.0,12-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
12-Jan-2020 - 00:00,4.24,31.91,18.48,40.54,162.09,106.0,11.35,0.61,35.93,0.71,0.58,0.51,0.48,0.46,81.14,203.56,0.7,270.92,0.0,13-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
13-Jan-2020 - 00:00,4.3,28.28,16.63,48.73,137.24,108.23,5.45,0.51,32.47,0.77,0.61,0.49,0.6,0.48,96.89,180.65,1.07,96.54,0.06,14-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
14-Jan-2020 - 00:00,3.85,21.51,12.73,44.32,59.5,46.41,2.8,0.4,31.83,0.84,0.65,0.46,0.75,0.51,95.89,294.82,0.88,312.9,0.01,15-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
15-Jan-2020 - 00:00,4.27,18.22,11.36,38.48,79.91,60.83,2.39,0.37,32.34,0.84,0.65,0.46,0.75,0.51,92.88,260.76,0.82,308.84,0.01,16-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
16-Jan-2020 - 00:00,3.99,18.65,11.35,34.59,111.1,78.7,2.42,0.46,25.8,0.84,0.65,0.46,0.74,0.51,98.77,223.98,0.68,167.3,0.0,17-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
17-Jan-2020 - 00:00,4.38,20.03,12.39,31.06,99.6,78.13,2.21,0.52,20.37,0.79,0.58,0.49,0.31,0.52,99.25,239.95,0.63,201.63,0.0,18-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
18-Jan-2020 - 00:00,5.47,21.62,14.08,34.07,116.83,90.5,2.75,0.64,17.13,0.76,0.53,0.51,0.0,0.53,99.67,207.85,0.5,136.05,0.01,19-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
19-Jan-2020 - 00:00,3.86,16.92,10.34,25.78,101.5,74.58,2.47,0.35,32.54,0.76,0.53,0.51,0.0,0.53,99.57,269.89,1.03,140.71,0.0,20-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
20-Jan-2020 - 00:00,4.4,19.47,11.6,24.35,122.09,99.07,2.78,0.91,30.46,0.78,0.59,0.44,0.2,0.65,99.65,234.4,0.69,146.55,0.01,21-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
21-Jan-2020 - 00:00,7.92,20.05,15.25,19.86,154.07,132.88,3.36,1.11,28.68,0.79,0.78,0.54,0.46,0.73,99.38,109.31,0.58,182.92,0.0,22-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
22-Jan-2020 - 00:00,4.34,35.97,20.66,32.58,95.65,66.68,3.61,0.81,34.2,0.78,0.89,0.62,0.52,0.71,94.96,279.11,1.05,279.52,0.01,23-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
23-Jan-2020 - 00:00,5.58,50.13,29.08,39.35,96.12,56.49,7.09,0.49,41.67,0.78,0.89,0.26,0.22,0.71,78.75,280.21,1.58,374.34,0.01,24-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
24-Jan-2020 - 00:00,4.85,50.29,28.58,37.61,94.57,59.52,10.68,0.53,44.7,,,0.0,0.0,,72.95,266.82,1.5,387.56,0.02,25-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
25-Jan-2020 - 00:00,10.23,73.94,45.25,38.28,133.58,93.06,8.07,0.77,40.38,,,0.0,0.0,,82.68,188.17,0.54,293.01,0.0,26-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
26-Jan-2020 - 00:00,31.29,83.15,67.27,45.17,170.21,124.29,8.49,0.97,37.33,,,0.0,0.0,,76.45,230.47,0.7,342.15,0.0,27-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
27-Jan-2020 - 00:00,12.13,81.1,50.56,51.07,147.77,115.3,8.55,0.93,24.1,,,0.0,0.0,,99.54,121.2,0.6,75.9,0.11,28-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
28-Jan-2020 - 00:00,4.04,37.2,21.08,41.07,74.24,64.73,4.56,0.53,39.97,,,0.0,0.0,,98.99,129.03,1.2,197.63,0.16,29-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
29-Jan-2020 - 00:00,6.31,49.56,29.37,35.56,68.6,49.24,7.04,0.62,33.52,,,0.0,0.0,,87.72,191.04,0.55,320.7,0.01,30-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
30-Jan-2020 - 00:00,7.3,46.05,28.52,35.14,86.67,56.27,4.85,0.58,35.94,,,0.0,0.0,,88.55,298.59,1.17,379.22,0.01,31-Jan-2020 - 00:00,"Police Lines, Jind - HSPCB"
31-Jan-2020 - 00:00,7.2,45.23,27.82,31.09,90.84,60.79,2.99,0.64,31.08,5.5,10.0,0.1,0.1,10.0,98.38,251.98,0.8,270.83,0.01,01-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
01-Feb-2020 - 00:00,19.57,48.82,39.7,36.08,96.98,71.4,2.28,0.75,26.77,,,0.0,0.0,,91.24,207.54,0.58,347.73,0.0,02-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
02-Feb-2020 - 00:00,5.47,41.53,24.5,38.33,112.01,80.64,10.49,0.7,42.06,,,0.0,0.0,,87.02,280.0,0.87,377.49,0.01,03-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
03-Feb-2020 - 00:00,6.42,52.74,31.11,36.85,133.08,92.53,6.99,0.74,41.73,,,0.0,0.0,,78.73,241.76,0.6,385.19,0.01,04-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
04-Feb-2020 - 00:00,5.19,55.44,31.54,45.21,128.9,93.74,10.89,0.71,49.04,0.77,0.69,0.25,0.25,0.43,90.68,101.21,0.78,296.84,0.0,05-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
05-Feb-2020 - 00:00,4.76,43.34,24.87,38.67,138.51,90.94,8.02,0.69,40.94,0.8,0.71,0.57,0.57,0.55,85.83,285.26,1.0,343.34,0.04,06-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
06-Feb-2020 - 00:00,7.53,52.34,31.81,35.74,124.3,90.1,8.04,0.68,35.05,0.74,0.67,0.51,0.52,0.6,84.26,214.57,0.68,351.35,0.0,07-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Feb-2020 - 00:00,10.29,62.03,39.11,37.77,146.26,92.87,8.07,0.7,33.47,0.75,0.68,0.52,0.53,0.61,82.17,212.26,0.56,338.18,0.0,08-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Feb-2020 - 00:00,4.25,48.55,27.18,35.03,142.91,101.56,12.39,0.74,49.5,0.75,0.68,0.52,0.53,0.61,82.84,292.45,0.87,358.1,0.0,09-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Feb-2020 - 00:00,5.65,56.32,32.37,35.16,140.48,99.75,9.31,0.85,46.63,0.75,0.68,0.52,0.53,0.61,76.67,255.89,0.56,345.3,0.0,10-Feb-2020 - 00:00,"Police Lines, Jind - HSPCB"
