from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
01-Jan-2020 - 00:00,12.95,8.73,754.01,2.23,63.77,196.68,106.19,216.79,9.49,521.42,420.68,74.27,6.19,76.32,0.0,166.45,0.33,150.27,02-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Jan-2020 - 00:00,15.62,7.07,751.73,2.91,50.14,329.98,79.85,311.74,8.05,480.09,364.73,72.39,9.54,81.17,0.0,155.27,0.31,169.71,03-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Jan-2020 - 00:00,17.28,4.33,738.75,2.68,44.29,144.61,57.22,148.33,8.17,309.23,227.72,71.66,11.01,89.95,0.01,159.33,0.34,192.81,04-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Jan-2020 - 00:00,16.44,10.43,738.75,1.92,44.88,80.49,60.99,98.07,11.72,323.75,243.65,72.18,12.54,73.72,0.0,149.54,0.34,152.58,05-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Jan-2020 - 00:00,16.23,4.82,738.74,1.92,38.35,9.65,56.22,37.77,12.37,222.79,161.66,66.44,11.07,71.51,0.01,90.97,0.45,45.4,06-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Jan-2020 - 00:00,16.11,5.03,738.75,1.38,38.61,21.35,57.72,48.1,7.58,218.36,145.68,68.81,19.86,32.73,0.0,90.8,0.32,45.41,07-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Jan-2020 - 00:00,16.77,5.76,738.75,1.61,39.91,40.18,59.64,64.48,8.89,195.48,129.56,74.16,17.87,36.58,0.0,128.01,0.38,53.81,08-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Jan-2020 - 00:00,14.7,4.51,739.1,1.0,41.38,29.04,44.4,47.29,6.65,137.21,111.08,86.8,14.32,10.89,0.0,92.39,0.36,43.85,09-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Jan-2020 - 00:00,11.98,3.24,740.18,1.03,32.62,8.02,37.34,26.4,9.36,121.81,84.67,78.75,3.69,74.72,0.01,78.15,0.75,26.09,10-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Jan-2020 - 00:00,12.45,7.21,739.2,1.24,31.77,13.44,51.69,38.46,10.88,181.64,126.51,75.95,13.06,99.67,0.0,98.67,0.64,101.4,11-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Jan-2020 - 00:00,14.3,7.92,739.34,1.64,31.44,34.85,59.6,60.11,13.56,217.1,144.19,66.65,11.06,100.94,0.0,110.98,0.46,87.0,12-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Jan-2020 - 00:00,15.69,6.19,739.27,2.5,38.55,102.57,58.71,114.85,12.71,331.28,226.69,70.47,12.66,92.32,0.0,134.42,0.48,114.04,13-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Jan-2020 - 00:00,16.93,6.93,739.21,1.52,39.63,48.24,62.24,72.43,9.32,272.59,195.62,71.58,8.61,42.93,0.05,128.21,0.7,71.31,14-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Jan-2020 - 00:00,14.86,3.07,739.2,1.5,33.78,11.83,40.02,30.93,7.55,131.77,94.77,77.7,18.7,63.19,0.03,88.67,0.61,36.91,15-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Jan-2020 - 00:00,15.06,3.92,739.22,1.5,31.07,15.86,48.75,38.86,9.36,158.89,101.19,74.41,23.69,84.38,0.01,92.57,0.48,42.24,16-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Jan-2020 - 00:00,13.7,5.41,739.26,1.71,33.89,26.06,45.03,45.2,6.77,197.71,137.1,79.62,14.23,31.58,0.01,81.21,0.42,56.96,17-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Jan-2020 - 00:00,14.53,6.24,739.23,1.69,33.22,28.22,36.75,42.56,7.21,164.53,114.02,85.13,5.78,67.37,0.01,91.25,0.45,69.71,18-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Jan-2020 - 00:00,14.09,7.63,739.23,1.66,32.65,24.01,45.78,43.93,7.78,184.24,121.92,81.29,8.2,70.32,0.0,85.04,0.5,54.95,19-Jan-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
