from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,9.58,996.97,396.98,288.81,76.93,81.72,35.78,131.79,1.39,2.97,11.09,58.11,124.74,43.82,124.31,23.15,14.39,02-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
02-Jan-2020 - 00:00,12.13,996.69,396.94,279.44,75.6,75.88,57.56,95.42,1.05,3.54,16.91,58.37,155.23,51.93,154.07,20.1,19.31,03-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
03-Jan-2020 - 00:00,13.57,994.46,331.23,225.27,74.24,82.27,65.16,110.73,0.89,3.29,15.66,53.63,190.92,41.43,178.56,16.81,14.82,04-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
04-Jan-2020 - 00:00,13.38,993.53,357.06,238.74,70.23,73.18,71.48,219.46,0.99,3.16,18.07,61.08,202.25,69.13,201.65,8.07,16.11,05-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
05-Jan-2020 - 00:00,14.13,994.01,285.33,187.16,55.43,73.73,12.61,190.29,1.38,1.47,2.09,62.32,95.61,61.86,110.81,12.22,9.72,06-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
06-Jan-2020 - 00:00,14.28,994.91,246.85,167.5,56.48,41.75,4.52,172.81,1.5,1.45,0.54,63.01,62.16,49.27,77.12,10.83,12.77,07-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
07-Jan-2020 - 00:00,14.82,992.6,160.48,119.99,70.73,43.79,12.82,130.71,2.22,1.09,3.16,49.76,21.88,46.06,42.4,8.54,14.38,08-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
08-Jan-2020 - 00:00,13.41,991.08,140.67,111.76,89.99,10.64,23.78,202.3,1.77,0.92,6.58,65.11,59.03,36.33,67.63,5.23,9.83,09-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
09-Jan-2020 - 00:00,11.25,995.79,193.25,111.77,74.14,87.43,32.53,288.02,2.41,,7.24,56.63,,,,10.01,4.48,10-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
10-Jan-2020 - 00:00,11.46,995.9,286.21,172.58,85.73,102.62,39.85,312.91,2.24,,9.61,53.69,254.12,78.1,245.59,12.3,10.4,11-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
11-Jan-2020 - 00:00,12.42,995.53,281.52,172.48,51.27,103.8,44.07,285.67,1.29,,9.51,60.52,167.21,52.92,163.63,11.55,26.86,12-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
12-Jan-2020 - 00:00,12.78,992.46,320.42,211.44,88.96,123.95,62.03,261.99,0.94,,14.12,53.04,235.74,73.66,236.0,13.92,14.36,13-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
13-Jan-2020 - 00:00,14.78,987.96,277.17,200.65,82.08,66.34,40.52,227.36,1.59,,10.68,53.27,124.47,46.95,127.61,8.95,17.57,14-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
14-Jan-2020 - 00:00,13.91,991.75,187.6,117.83,66.42,96.77,42.41,220.83,1.64,3.37,9.07,48.26,135.14,64.0,146.9,12.41,14.59,15-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
15-Jan-2020 - 00:00,13.78,992.75,214.88,128.96,80.58,99.74,48.56,175.29,1.37,4.45,10.34,,126.54,82.32,147.15,22.28,21.25,16-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
16-Jan-2020 - 00:00,13.02,991.63,234.29,158.5,77.08,44.26,46.95,155.76,1.33,1.64,10.47,65.97,113.94,68.94,129.0,10.18,24.14,17-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
17-Jan-2020 - 00:00,13.6,992.9,220.75,129.14,80.68,73.77,44.84,239.98,1.54,1.98,10.78,65.87,152.81,30.3,137.06,10.06,22.07,18-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
18-Jan-2020 - 00:00,13.04,994.65,244.79,144.1,80.34,95.04,48.22,216.98,1.11,1.2,12.79,60.9,119.55,46.81,122.3,11.34,20.05,19-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
19-Jan-2020 - 00:00,11.36,995.47,205.9,141.21,83.39,119.88,14.53,309.05,3.04,2.0,4.77,55.42,64.14,30.68,68.13,20.97,15.0,20-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
20-Jan-2020 - 00:00,11.9,994.4,248.62,162.64,86.85,70.27,31.78,272.26,1.75,2.84,7.86,57.38,126.21,40.63,123.0,14.81,22.99,21-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
21-Jan-2020 - 00:00,12.71,995.0,272.48,198.9,62.11,89.3,35.14,157.85,0.9,2.64,9.5,60.19,117.89,35.39,110.24,25.61,20.01,22-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
22-Jan-2020 - 00:00,12.31,996.86,322.57,218.82,49.22,102.5,56.75,265.86,1.88,3.61,13.98,62.97,163.05,40.88,149.02,12.83,23.28,23-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
23-Jan-2020 - 00:00,14.44,995.22,176.27,88.72,57.86,133.75,20.56,321.04,3.6,1.58,4.84,48.27,58.43,59.04,76.96,20.98,17.82,24-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
24-Jan-2020 - 00:00,13.81,992.69,179.46,96.92,56.23,131.31,27.53,315.45,3.32,1.89,6.27,32.53,100.35,100.34,135.01,21.53,21.18,25-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
25-Jan-2020 - 00:00,12.15,992.87,224.06,135.86,66.37,122.49,47.59,322.22,0.97,2.51,11.57,49.49,157.45,91.9,177.76,13.34,18.55,26-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
26-Jan-2020 - 00:00,12.92,991.05,263.02,182.8,68.65,119.86,48.36,312.58,1.06,2.27,14.99,84.53,138.19,65.36,145.99,18.45,18.12,27-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
27-Jan-2020 - 00:00,14.57,988.49,251.25,179.07,67.36,67.43,32.81,186.62,1.77,2.02,9.71,83.39,115.26,75.38,121.85,19.83,18.94,28-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
28-Jan-2020 - 00:00,15.6,987.28,129.29,99.29,71.57,85.69,15.07,152.43,3.24,1.0,4.81,75.19,33.45,48.48,52.81,29.41,14.42,29-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
29-Jan-2020 - 00:00,14.86,993.18,178.31,85.96,67.94,130.52,37.35,224.96,1.44,1.35,7.97,65.97,93.73,59.58,108.15,22.5,14.83,30-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
30-Jan-2020 - 00:00,14.98,993.98,250.67,117.73,66.73,133.74,38.14,307.27,2.04,1.62,10.85,86.72,111.54,74.98,130.57,13.05,17.68,31-Jan-2020 - 00:00,"Pusa, Delhi - DPCC"
31-Jan-2020 - 00:00,13.03,991.94,204.35,107.9,66.92,132.99,33.89,233.34,1.65,1.3,8.1,64.31,81.32,69.07,102.96,13.29,16.61,01-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
01-Feb-2020 - 00:00,13.08,994.64,190.5,105.52,67.9,121.53,45.05,157.7,1.29,1.41,9.41,70.27,89.2,64.62,106.75,16.66,15.48,02-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
02-Feb-2020 - 00:00,12.67,996.18,242.27,144.9,69.58,134.38,29.12,314.95,1.7,1.59,8.13,75.02,111.72,67.67,127.18,15.86,16.84,03-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
03-Feb-2020 - 00:00,12.37,994.8,227.9,132.54,66.61,134.66,36.65,238.15,1.03,1.72,10.02,66.43,125.54,71.71,140.42,20.22,17.26,04-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
04-Feb-2020 - 00:00,13.28,993.16,259.75,164.21,64.74,125.44,47.15,84.55,0.82,2.01,11.55,61.57,122.73,79.06,139.73,36.31,20.2,05-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
05-Feb-2020 - 00:00,14.16,993.45,240.16,142.78,63.84,126.0,44.4,239.86,1.47,1.47,11.92,53.25,112.04,78.04,133.08,16.26,20.94,06-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
06-Feb-2020 - 00:00,12.7,992.79,210.44,120.25,66.1,138.25,34.13,286.24,1.21,1.49,9.23,51.99,99.33,71.16,119.68,17.87,18.14,07-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
07-Feb-2020 - 00:00,12.69,995.14,228.74,143.19,66.42,118.66,49.29,240.71,1.01,1.65,15.17,51.77,94.64,73.62,115.95,19.43,18.68,08-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
08-Feb-2020 - 00:00,14.04,997.11,249.06,164.3,64.87,129.09,32.13,307.56,1.58,1.41,12.32,58.04,97.38,69.34,115.96,23.26,22.43,09-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
09-Feb-2020 - 00:00,13.78,997.2,269.02,171.92,64.92,134.26,35.08,306.06,1.12,1.71,10.08,52.31,116.21,75.8,135.09,21.35,23.14,10-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
10-Feb-2020 - 00:00,12.88,995.56,264.96,163.54,67.08,131.67,44.49,314.11,1.24,1.79,10.85,48.89,119.64,72.75,136.75,18.83,19.12,11-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
11-Feb-2020 - 00:00,14.05,995.52,273.35,181.04,63.53,166.04,67.66,,,3.89,16.28,,192.8,59.05,188.7,23.81,22.0,12-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
12-Feb-2020 - 00:00,21.12,994.37,268.07,150.39,49.95,192.11,34.6,313.24,3.85,1.33,6.46,54.18,71.93,84.23,102.86,20.73,28.97,13-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
13-Feb-2020 - 00:00,19.98,992.16,188.71,103.29,54.25,143.74,26.24,308.55,3.79,0.94,4.88,48.1,56.26,58.9,77.07,21.26,24.89,14-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
