from date,PM10,PM2.5,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2020 - 00:00,404.3,234.18,99.0,188.33,2.48,,32.61,0.0,0.0,0.1,0.07,02-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
02-Jan-2020 - 00:00,335.49,208.85,91.68,193.4,2.83,,21.33,2.06,0.0,0.09,0.08,03-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
03-Jan-2020 - 00:00,243.04,146.83,91.74,205.73,2.2,,23.52,2.59,0.0,0.13,0.13,04-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
04-Jan-2020 - 00:00,272.94,164.33,78.45,160.13,2.21,,41.55,3.01,0.0,0.18,0.05,05-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
05-Jan-2020 - 00:00,196.91,111.52,50.13,74.07,0.95,,27.86,4.63,0.0,0.17,0.03,06-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
06-Jan-2020 - 00:00,185.09,107.74,46.26,67.0,0.93,,20.1,2.72,0.0,0.12,0.03,07-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
07-Jan-2020 - 00:00,145.25,86.97,47.45,68.43,0.88,,17.67,0.37,0.0,0.1,0.05,08-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
08-Jan-2020 - 00:00,116.49,81.66,38.29,63.29,1.04,,11.95,3.66,0.0,0.09,0.04,09-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
09-Jan-2020 - 00:00,97.15,56.43,34.4,45.63,0.59,,10.69,3.98,0.0,0.17,0.03,10-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
10-Jan-2020 - 00:00,157.9,88.91,34.82,45.95,0.84,,17.06,4.45,0.01,0.12,0.18,11-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
11-Jan-2020 - 00:00,176.31,98.07,37.12,57.0,1.1,,23.94,5.33,0.01,0.09,0.48,12-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
12-Jan-2020 - 00:00,239.91,131.26,63.74,128.64,1.95,,21.5,2.91,0.02,0.16,1.02,13-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
13-Jan-2020 - 00:00,227.46,134.52,64.66,120.4,1.91,,19.06,6.38,0.01,0.12,0.91,14-Jan-2020 - 00:00,"Pusa, Delhi - IMD"
