from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
01-Jan-2020 - 00:00,125.52,6.02,12.3,9.97,22.26,12.33,0.82,7.19,5.2,4.25,184.84,84.7,0.0,166.24,0.53,95.34,02-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Jan-2020 - 00:00,89.16,10.11,12.29,9.87,22.16,12.31,0.72,9.6,5.3,4.34,195.01,86.31,0.0,288.85,0.51,65.78,03-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Jan-2020 - 00:00,185.86,28.7,12.31,9.89,22.2,12.32,0.83,8.44,5.3,4.35,173.46,83.63,0.0,256.3,0.58,134.83,04-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Jan-2020 - 00:00,255.76,32.39,12.32,9.94,22.26,12.32,1.0,10.56,5.3,4.35,176.22,81.63,0.0,213.88,0.48,188.03,05-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Jan-2020 - 00:00,224.08,32.08,12.29,9.78,22.07,12.3,0.86,12.99,5.3,4.34,187.22,84.15,0.0,295.08,1.03,162.09,06-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Jan-2020 - 00:00,61.76,17.07,12.29,9.69,21.97,12.28,0.61,7.78,5.31,4.43,219.76,95.75,0.01,255.13,0.69,51.52,07-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Jan-2020 - 00:00,55.31,15.08,12.29,9.65,21.93,12.28,0.63,7.73,5.37,4.59,214.75,96.36,0.02,144.62,0.91,44.08,08-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Jan-2020 - 00:00,93.52,23.53,12.29,9.62,21.91,12.28,0.47,9.27,5.57,4.4,215.94,96.27,0.03,205.49,0.88,70.23,09-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Jan-2020 - 00:00,137.75,44.83,12.29,9.68,21.96,12.28,0.4,12.94,5.71,4.33,215.72,94.39,0.0,300.4,1.38,93.5,10-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Jan-2020 - 00:00,145.54,40.95,12.56,9.82,22.3,13.52,0.44,16.61,5.79,4.32,180.92,82.88,0.0,298.27,1.42,96.84,11-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Jan-2020 - 00:00,233.55,34.18,13.68,10.86,24.55,15.31,0.47,15.0,6.17,4.38,168.86,78.95,0.0,293.74,1.01,171.03,12-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Jan-2020 - 00:00,235.24,31.16,14.9,12.0,26.93,15.96,0.49,6.0,6.06,4.43,201.61,90.48,0.0,232.05,0.47,171.68,13-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Jan-2020 - 00:00,130.03,11.75,14.92,12.23,27.16,15.99,0.52,10.82,5.55,4.31,498.88,96.18,0.04,149.54,1.62,95.29,14-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Jan-2020 - 00:00,204.33,28.53,14.95,12.12,27.07,15.99,0.5,9.75,5.5,4.3,773.55,94.64,0.0,288.54,1.07,109.95,15-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Jan-2020 - 00:00,178.08,23.53,14.91,12.12,27.04,15.97,0.39,7.56,5.76,4.35,778.47,96.18,0.0,250.24,0.77,92.21,16-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Jan-2020 - 00:00,94.28,23.99,14.96,12.1,27.06,15.97,0.42,7.32,5.37,4.21,778.51,96.41,0.0,265.06,0.89,56.74,17-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Jan-2020 - 00:00,140.78,24.78,15.0,12.86,27.86,15.99,0.47,6.54,5.56,4.3,771.44,96.32,0.0,189.33,0.45,79.93,18-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Jan-2020 - 00:00,167.87,39.66,10.79,14.11,24.89,13.67,0.55,10.76,5.49,4.3,751.88,91.85,0.0,202.97,0.7,95.95,19-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Jan-2020 - 00:00,177.42,54.39,9.07,13.48,22.56,12.25,0.42,8.76,5.55,4.3,752.17,91.85,0.0,277.83,0.96,85.05,20-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Jan-2020 - 00:00,262.41,63.23,8.87,13.53,22.4,12.43,0.5,8.2,5.78,4.3,732.18,88.66,0.0,228.94,0.55,155.96,21-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Jan-2020 - 00:00,115.52,20.37,9.44,17.94,27.38,15.67,0.45,10.8,5.51,4.3,685.77,84.36,0.0,189.54,0.41,67.45,22-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Jan-2020 - 00:00,128.97,22.64,11.2,26.99,38.18,18.6,0.34,13.27,5.49,4.3,673.81,82.09,0.0,261.23,1.12,72.24,23-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Jan-2020 - 00:00,144.11,31.15,8.5,22.76,31.26,16.96,0.41,19.18,5.57,4.29,675.33,80.83,0.0,300.51,1.75,86.53,24-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Jan-2020 - 00:00,247.22,92.7,9.65,34.37,44.01,18.91,0.58,14.74,5.83,4.3,624.76,73.4,0.0,284.25,1.5,126.76,25-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
