from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Jan-2020 - 00:00,1.17,39.42,18.74,79.88,29.67,109.53,45.31,318.34,126.75,11.18,17.47,2.82,5.67,21.78,0.2,0.0,153.02,60.28,,84.67,03-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Jan-2020 - 00:00,0.38,22.75,15.99,44.6,12.24,56.83,54.34,120.39,54.36,3.8,7.85,0.63,1.66,17.01,0.49,-0.0,127.5,90.17,,52.14,04-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jan-2020 - 00:00,1.2,15.31,17.69,52.68,73.61,126.26,56.42,177.46,82.08,8.98,18.38,2.45,4.92,16.78,0.29,0.0,144.27,93.18,,59.58,05-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jan-2020 - 00:00,1.18,9.95,19.41,57.0,84.74,141.74,64.99,249.64,113.04,9.81,14.32,2.76,5.93,16.63,0.21,-0.0,216.38,93.17,,63.14,06-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jan-2020 - 00:00,0.79,29.88,13.04,63.24,52.47,113.74,50.58,238.66,109.06,6.72,12.21,2.23,4.79,16.55,0.22,-0.0,181.0,77.02,,121.22,07-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jan-2020 - 00:00,0.88,39.77,20.55,71.27,21.74,93.01,44.52,293.18,131.14,6.07,10.37,1.22,2.81,16.13,0.32,0.0,180.53,76.96,,120.08,08-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jan-2020 - 00:00,0.8,42.48,19.84,61.4,31.33,92.73,53.01,329.04,145.77,7.87,11.33,1.89,3.74,17.77,0.49,-0.0,117.17,74.34,,144.17,09-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jan-2020 - 00:00,1.03,34.18,17.98,74.23,40.38,111.72,40.74,252.35,115.14,12.02,16.41,2.29,4.73,19.13,0.24,0.0,133.82,75.22,,62.43,10-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jan-2020 - 00:00,0.6,28.61,22.84,68.13,25.13,93.27,53.66,236.23,105.06,5.78,9.93,1.1,2.85,18.04,0.3,-0.0,260.39,69.78,,116.3,11-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jan-2020 - 00:00,0.44,39.07,25.03,59.42,13.23,72.64,50.21,181.47,80.51,3.08,6.29,0.43,1.33,16.35,0.33,-0.0,262.76,69.52,,132.9,12-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Jan-2020 - 00:00,1.17,42.02,24.23,91.47,83.09,174.54,48.37,252.39,98.93,6.15,7.79,1.9,4.87,18.58,0.19,-0.0,225.75,57.78,,160.82,13-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jan-2020 - 00:00,0.68,46.95,27.18,83.61,26.97,110.58,56.33,251.43,101.44,4.46,6.17,0.81,2.05,17.42,0.31,-0.0,219.81,56.88,,148.32,14-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jan-2020 - 00:00,1.55,46.2,29.13,111.36,53.97,161.55,43.75,363.21,147.3,10.46,21.99,3.93,9.06,20.5,0.13,-0.0,156.62,54.86,,149.26,15-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jan-2020 - 00:00,2.21,37.24,29.6,125.68,172.25,297.94,73.93,524.65,222.94,18.85,28.5,6.26,11.79,19.17,0.15,0.0,166.49,67.05,,113.91,16-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jan-2020 - 00:00,2.15,37.21,19.14,105.9,165.52,247.21,67.12,392.1,208.44,15.24,23.5,5.51,10.0,21.12,0.13,-0.0,176.91,67.26,,111.69,17-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Jan-2020 - 00:00,1.5,35.97,24.36,84.86,137.45,222.31,91.27,413.89,181.66,16.43,20.74,4.39,8.55,21.0,0.23,-0.0,137.78,71.97,,167.79,18-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Jan-2020 - 00:00,2.09,34.28,36.31,106.69,162.9,271.23,52.45,275.1,129.17,12.69,24.33,5.11,10.42,23.03,0.17,0.0,200.76,51.29,,119.15,19-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Jan-2020 - 00:00,0.74,28.49,24.09,69.67,73.62,143.29,88.04,325.06,137.97,10.47,13.94,2.52,5.66,20.46,0.43,0.01,164.57,68.34,,158.75,20-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Jan-2020 - 00:00,0.43,57.95,26.07,51.1,8.5,60.32,59.15,181.06,71.61,3.1,5.54,0.25,0.84,21.31,0.28,-0.0,241.67,54.9,,268.64,21-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Jan-2020 - 00:00,0.77,45.17,22.67,51.19,14.1,65.08,37.13,220.2,95.39,6.48,14.59,1.48,3.37,19.74,0.21,0.0,168.09,57.31,,147.33,22-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Jan-2020 - 00:00,0.86,41.99,23.4,60.23,55.34,109.28,61.34,279.56,123.54,7.79,12.57,1.65,3.75,18.52,0.22,0.0,193.43,66.37,,135.27,23-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Jan-2020 - 00:00,0.26,52.84,19.47,4.67,11.28,15.73,4.91,546.1,214.3,0.0,0.0,0.0,0.0,22.26,0.24,-0.01,264.6,57.34,,89.52,24-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Jan-2020 - 00:00,0.69,49.14,32.05,47.63,15.03,60.84,33.07,192.73,74.99,5.87,11.85,1.62,3.61,19.64,0.3,0.0,184.64,41.49,,162.9,25-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Jan-2020 - 00:00,0.77,47.97,24.26,30.74,11.52,41.5,34.62,232.97,91.16,7.14,10.85,1.37,3.2,18.67,0.16,0.0,189.58,47.4,,116.02,26-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Jan-2020 - 00:00,1.2,36.08,24.07,28.8,69.65,94.39,39.22,289.54,122.16,8.82,12.68,2.28,4.97,18.03,0.2,0.0,190.54,58.65,,103.53,27-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Jan-2020 - 00:00,1.39,32.47,22.25,82.06,89.0,170.9,44.21,382.82,150.98,11.04,17.94,3.2,6.51,18.01,0.23,0.0,180.74,62.08,,122.36,28-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
