from date,NO2,SO2,CO,PM10,PM2.5,to date,station
01-Jan-2020 - 00:00,6.0,9.67,0.2,250.37,131.03,02-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jan-2020 - 00:00,5.81,9.96,0.21,249.58,120.14,03-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jan-2020 - 00:00,5.36,10.6,0.22,136.69,73.14,04-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jan-2020 - 00:00,5.42,10.48,0.22,141.21,74.21,05-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jan-2020 - 00:00,5.43,10.77,0.22,112.5,60.6,06-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Jan-2020 - 00:00,5.29,10.48,0.24,92.08,50.78,07-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Jan-2020 - 00:00,5.15,10.26,0.25,72.27,36.13,08-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Jan-2020 - 00:00,4.87,9.82,0.22,53.85,27.63,09-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Jan-2020 - 00:00,5.23,10.48,0.21,58.85,28.84,10-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Jan-2020 - 00:00,5.17,10.42,0.2,85.72,38.07,11-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Jan-2020 - 00:00,5.11,10.34,0.25,102.77,48.17,12-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Jan-2020 - 00:00,4.82,10.44,0.19,97.57,65.68,13-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Jan-2020 - 00:00,4.64,9.05,0.25,100.83,58.96,14-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Jan-2020 - 00:00,5.01,10.4,0.22,59.48,38.06,15-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Jan-2020 - 00:00,5.26,10.35,0.23,56.85,35.28,16-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Jan-2020 - 00:00,5.07,10.01,0.23,62.22,33.08,17-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Jan-2020 - 00:00,4.91,9.85,0.21,76.86,41.85,18-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Jan-2020 - 00:00,4.52,10.14,0.22,89.97,55.22,19-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Jan-2020 - 00:00,4.56,10.84,0.24,95.65,41.25,20-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Jan-2020 - 00:00,4.63,10.08,0.23,111.18,61.98,21-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Jan-2020 - 00:00,4.46,9.72,0.23,102.29,51.27,22-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Jan-2020 - 00:00,4.33,10.43,0.25,115.0,44.92,23-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Jan-2020 - 00:00,4.33,9.44,0.2,119.72,53.01,24-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Jan-2020 - 00:00,4.59,12.21,0.26,115.0,54.53,25-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Jan-2020 - 00:00,5.26,10.12,0.21,106.45,65.19,26-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Jan-2020 - 00:00,5.26,10.02,0.22,116.01,62.93,27-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Jan-2020 - 00:00,5.45,9.55,0.23,111.55,69.43,28-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Jan-2020 - 00:00,5.22,10.3,0.23,69.26,36.47,29-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Jan-2020 - 00:00,5.5,10.61,0.22,55.81,30.42,30-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Jan-2020 - 00:00,5.2,9.92,0.23,101.03,39.75,31-Jan-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-Jan-2020 - 00:00,5.24,9.62,0.23,95.75,43.19,01-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Feb-2020 - 00:00,5.43,10.0,0.21,88.38,42.34,02-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Feb-2020 - 00:00,5.38,10.1,0.24,77.53,40.64,03-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Feb-2020 - 00:00,5.45,10.17,0.22,93.82,46.91,04-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Feb-2020 - 00:00,5.47,9.56,0.24,110.87,52.01,05-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Feb-2020 - 00:00,5.3,10.36,0.21,118.51,57.38,06-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Feb-2020 - 00:00,5.31,10.7,0.22,108.73,52.87,07-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Feb-2020 - 00:00,5.26,10.0,0.23,143.78,61.93,08-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Feb-2020 - 00:00,5.24,10.44,0.22,102.93,52.87,09-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Feb-2020 - 00:00,5.38,9.98,0.23,132.27,60.16,10-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Feb-2020 - 00:00,5.26,10.03,0.24,112.74,52.58,11-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Feb-2020 - 00:00,5.14,9.81,0.24,117.08,53.62,12-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Feb-2020 - 00:00,4.78,10.37,0.37,91.29,49.21,13-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Feb-2020 - 00:00,4.47,10.9,0.26,89.94,46.21,14-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Feb-2020 - 00:00,3.95,10.32,0.29,91.33,37.59,15-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Feb-2020 - 00:00,4.31,10.04,0.23,117.15,44.35,16-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Feb-2020 - 00:00,4.21,11.23,0.27,105.58,42.68,17-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Feb-2020 - 00:00,4.33,9.39,0.27,134.8,49.24,18-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Feb-2020 - 00:00,4.09,10.77,0.25,121.22,46.05,19-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Feb-2020 - 00:00,3.35,9.43,0.23,137.67,59.22,20-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Feb-2020 - 00:00,3.13,10.98,0.25,125.53,66.1,21-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Feb-2020 - 00:00,2.57,10.43,0.26,44.25,15.55,22-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Feb-2020 - 00:00,2.64,10.59,0.23,96.54,27.41,23-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Feb-2020 - 00:00,2.52,10.02,0.24,77.89,45.77,24-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Feb-2020 - 00:00,2.51,9.96,0.25,118.34,63.11,25-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Feb-2020 - 00:00,2.23,9.1,0.23,101.16,60.49,26-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Feb-2020 - 00:00,2.41,9.32,0.2,94.33,60.04,27-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Feb-2020 - 00:00,2.15,10.0,0.22,119.35,78.01,28-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Feb-2020 - 00:00,2.67,10.45,0.21,140.18,67.53,29-Feb-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Feb-2020 - 00:00,3.99,9.09,0.47,87.3,52.34,01-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Mar-2020 - 00:00,4.24,8.06,0.23,117.8,60.77,02-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Mar-2020 - 00:00,3.15,9.35,0.33,123.29,67.6,03-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Mar-2020 - 00:00,2.05,8.4,0.31,156.37,86.73,04-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Mar-2020 - 00:00,1.97,6.69,0.26,170.17,94.17,05-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Mar-2020 - 00:00,6.18,7.64,0.28,87.44,46.59,06-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Mar-2020 - 00:00,12.82,9.43,0.41,62.07,31.57,07-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Mar-2020 - 00:00,14.17,7.25,0.38,58.24,28.16,08-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Mar-2020 - 00:00,14.08,8.99,0.33,95.12,45.66,09-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Mar-2020 - 00:00,12.58,8.7,0.37,112.78,52.71,10-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Mar-2020 - 00:00,10.9,8.38,0.37,79.0,41.2,11-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Mar-2020 - 00:00,11.04,6.28,0.39,86.99,42.02,12-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Mar-2020 - 00:00,12.09,8.59,0.38,40.45,19.45,13-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Mar-2020 - 00:00,11.87,7.97,0.37,51.71,21.85,14-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Mar-2020 - 00:00,12.03,7.36,0.4,57.96,26.09,15-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Mar-2020 - 00:00,12.43,9.22,0.34,81.3,33.87,16-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Mar-2020 - 00:00,11.44,9.4,0.39,124.74,55.71,17-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Mar-2020 - 00:00,10.04,8.42,0.36,112.6,48.42,18-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Mar-2020 - 00:00,9.05,9.23,0.39,104.09,64.03,19-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Mar-2020 - 00:00,8.36,9.62,0.39,107.25,58.18,20-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Mar-2020 - 00:00,8.13,8.81,0.4,88.39,50.55,21-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Mar-2020 - 00:00,7.91,7.08,0.38,110.48,56.47,22-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Mar-2020 - 00:00,8.46,8.58,0.33,78.87,40.05,23-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Mar-2020 - 00:00,7.92,8.02,0.4,38.98,17.59,24-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Mar-2020 - 00:00,7.75,7.09,0.38,38.96,21.55,25-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Mar-2020 - 00:00,8.65,9.84,0.41,29.55,16.8,26-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Mar-2020 - 00:00,7.64,8.4,0.38,31.75,18.23,27-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Mar-2020 - 00:00,8.31,7.09,0.35,34.96,20.53,28-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Mar-2020 - 00:00,8.53,10.43,0.34,24.34,12.16,29-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Mar-2020 - 00:00,7.7,8.37,0.36,28.66,14.59,30-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Mar-2020 - 00:00,7.52,8.36,0.37,30.8,12.5,31-Mar-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-Mar-2020 - 00:00,8.13,6.32,0.37,32.46,19.4,01-Apr-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Apr-2020 - 00:00,8.63,8.84,0.34,28.06,16.7,02-Apr-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Apr-2020 - 00:00,7.25,8.51,0.38,31.95,20.01,03-Apr-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Apr-2020 - 00:00,7.43,9.13,0.37,28.28,13.47,04-Apr-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
