from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2020 - 00:00,83.46,185.59,45.76,3.0,24.69,79.77,8.79,1.17,11.96,10.07,2.68,0.55,3.38,6.42,79.65,1.75,132.2,303.03,0.0,02-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Jan-2020 - 00:00,67.26,136.2,45.27,3.26,24.59,77.16,4.08,0.94,9.84,8.13,3.57,0.67,4.43,8.45,78.05,1.53,99.46,259.62,0.0,03-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Jan-2020 - 00:00,76.34,151.36,48.67,3.52,26.63,72.52,6.11,1.0,10.14,8.69,3.96,0.69,4.99,9.61,82.92,1.36,281.15,300.34,0.0,04-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Jan-2020 - 00:00,79.29,155.99,44.29,2.86,23.81,79.72,7.0,1.04,14.38,8.74,3.4,0.69,4.68,8.61,77.48,1.4,290.83,297.1,0.0,05-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Jan-2020 - 00:00,65.07,123.48,37.87,2.23,19.94,65.59,2.85,0.84,12.57,6.81,2.75,0.71,3.8,6.64,79.4,1.89,264.0,266.27,0.0,06-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Jan-2020 - 00:00,53.93,82.92,37.48,2.51,19.98,62.95,4.61,0.79,7.0,6.08,2.11,0.59,3.08,5.31,90.38,1.78,172.91,28.61,0.11,07-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Jan-2020 - 00:00,29.7,45.11,32.05,2.9,17.45,62.86,3.59,0.7,8.61,4.7,1.64,0.52,2.38,3.82,95.74,2.11,94.23,46.41,0.04,08-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Jan-2020 - 00:00,33.99,59.14,29.92,3.0,16.41,63.74,3.92,0.68,7.56,4.67,1.97,0.49,2.28,3.91,99.12,1.66,159.66,62.5,0.23,09-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Jan-2020 - 00:00,34.76,62.15,28.6,2.59,15.4,53.64,4.76,0.68,8.59,4.79,1.44,0.36,2.39,4.29,98.17,2.16,297.42,159.03,0.0,10-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Jan-2020 - 00:00,52.93,131.54,38.12,3.56,16.23,76.98,9.05,0.59,14.19,4.75,1.23,0.19,2.01,3.75,73.51,2.72,294.78,482.5,0.01,11-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
