from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,SR,RH,RF,WS,WD,to date,station
01-Jan-2020 - 00:00,35.51,43.64,13.79,13.73,0.67,7.15,1.7,0.24,32.08,0.01,0.0,0.02,0.0,26.1,186.99,74.62,0.0,7.56,264.14,02-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Jan-2020 - 00:00,35.08,47.78,12.57,13.6,0.75,7.74,1.44,0.24,22.59,0.01,0.0,0.03,0.0,26.59,184.5,73.83,0.0,7.16,263.08,03-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Jan-2020 - 00:00,31.19,43.63,58.08,59.63,1.06,10.91,6.76,0.31,18.54,0.01,0.0,0.03,0.0,26.93,183.93,68.04,0.0,6.23,251.47,04-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Jan-2020 - 00:00,35.56,45.94,54.13,55.7,1.53,1.1,5.38,0.34,25.57,0.02,0.0,0.01,0.0,27.63,204.39,67.56,0.0,4.92,234.78,05-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Jan-2020 - 00:00,36.64,41.4,33.65,34.79,1.08,4.43,5.86,0.27,25.62,0.01,0.0,0.0,0.0,27.11,169.88,68.23,0.0,6.87,255.49,06-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Jan-2020 - 00:00,32.73,45.11,2.76,2.58,0.69,8.13,8.41,0.19,31.04,0.02,0.0,0.0,0.0,26.34,164.03,63.5,0.0,10.12,262.97,07-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Jan-2020 - 00:00,26.57,37.88,5.88,0.51,51.29,12.07,7.97,0.15,31.7,0.01,0.0,0.0,0.0,26.26,205.69,63.16,0.0,8.75,261.02,08-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Jan-2020 - 00:00,36.24,60.99,13.85,0.39,53.69,16.79,7.81,0.2,38.29,0.01,0.0,0.01,0.0,26.16,197.79,65.96,0.0,6.57,263.5,09-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Jan-2020 - 00:00,46.56,58.46,,0.0,11.85,,9.01,0.32,45.4,0.01,0.0,0.01,0.0,25.69,197.72,68.5,0.0,6.35,254.75,10-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Jan-2020 - 00:00,43.03,57.12,58.52,32.61,4.63,,8.76,0.22,48.79,0.01,0.0,0.01,0.0,24.94,188.74,68.76,0.0,8.12,257.6,11-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Jan-2020 - 00:00,37.34,49.7,52.77,52.99,0.2,,8.28,0.25,37.83,0.01,0.0,0.0,0.0,24.41,221.9,63.17,0.0,8.71,255.94,12-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Jan-2020 - 00:00,45.55,53.27,56.98,57.21,0.23,,6.97,0.27,41.75,0.01,0.0,0.01,0.0,24.66,234.27,59.22,0.0,7.88,247.98,13-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Jan-2020 - 00:00,57.87,63.79,77.6,77.95,0.35,,6.81,0.28,45.98,0.02,0.0,0.05,0.0,25.48,169.31,65.85,0.0,4.74,244.45,14-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Jan-2020 - 00:00,54.79,58.13,66.9,67.18,0.26,,7.88,0.25,56.07,0.02,0.0,0.01,0.0,25.56,215.95,61.95,0.0,6.84,254.63,15-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Jan-2020 - 00:00,46.29,48.12,60.03,60.23,0.2,,7.92,0.16,63.36,0.01,0.0,0.01,0.0,24.33,212.56,61.66,0.0,6.87,240.8,16-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Jan-2020 - 00:00,32.65,36.28,61.75,61.96,0.21,,7.8,0.1,54.49,0.01,0.0,0.01,0.0,25.04,219.05,62.83,0.0,6.45,243.65,17-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Jan-2020 - 00:00,31.85,36.1,68.11,68.44,0.3,,6.76,0.16,42.72,0.01,0.0,0.0,0.0,25.99,229.16,62.76,0.0,6.41,236.88,18-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Jan-2020 - 00:00,29.91,36.28,56.47,56.72,0.23,,8.7,0.15,31.78,0.0,0.0,0.0,0.0,25.65,132.2,73.88,0.0,8.19,262.91,19-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Jan-2020 - 00:00,22.25,24.47,58.52,58.77,0.25,,6.38,0.12,34.29,0.0,0.0,0.0,0.0,26.22,164.62,73.29,0.0,8.05,259.46,20-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Jan-2020 - 00:00,26.15,35.49,45.03,45.74,0.71,6.23,10.99,0.17,42.84,0.0,0.0,0.0,0.0,27.17,225.03,65.52,0.0,7.76,258.92,21-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Jan-2020 - 00:00,31.26,44.98,16.45,17.35,0.85,10.21,9.24,0.16,56.4,0.0,0.0,0.0,0.0,26.43,230.86,64.29,0.0,9.32,267.26,22-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Jan-2020 - 00:00,35.37,46.79,17.18,18.15,0.83,10.19,9.82,0.23,43.51,0.01,0.0,0.0,0.0,26.32,236.23,65.49,0.0,9.92,261.39,23-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Jan-2020 - 00:00,45.78,53.71,18.4,19.42,0.9,4.73,10.31,0.32,24.66,0.01,0.0,0.01,0.0,24.29,130.77,78.82,0.0,9.94,250.72,24-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Jan-2020 - 00:00,32.19,61.36,25.97,27.04,1.51,7.41,9.26,0.45,33.44,0.02,0.01,0.01,0.0,25.86,175.47,67.97,0.0,8.7,256.15,25-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Jan-2020 - 00:00,26.64,51.93,29.91,30.95,1.03,,12.95,0.54,48.94,0.02,0.0,0.01,0.0,25.69,241.22,52.15,0.0,7.3,244.17,26-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Jan-2020 - 00:00,26.64,49.29,36.31,37.5,1.19,,10.4,0.39,54.5,0.01,0.0,0.0,0.0,25.75,237.99,54.67,0.0,6.53,238.83,27-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Jan-2020 - 00:00,30.12,60.19,46.72,48.22,1.49,,10.21,0.48,52.95,0.01,0.0,0.01,0.0,26.28,239.46,61.1,0.0,5.87,192.96,28-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Jan-2020 - 00:00,58.25,108.54,51.52,53.15,1.62,,7.7,0.32,56.84,0.01,0.0,0.01,0.0,26.79,229.18,61.36,0.0,5.25,192.38,29-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Jan-2020 - 00:00,45.26,59.91,41.43,42.88,1.44,9.75,7.72,0.19,44.08,0.01,0.0,0.01,0.0,27.2,221.99,58.79,0.0,6.92,243.0,30-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Jan-2020 - 00:00,46.23,61.89,31.5,32.51,1.01,,8.91,0.3,35.02,0.01,0.0,0.02,0.0,26.94,216.6,59.43,0.0,5.77,209.65,31-Jan-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
31-Jan-2020 - 00:00,44.05,57.15,22.81,23.31,0.48,2.2,9.05,0.41,37.11,0.01,0.0,0.02,0.0,26.82,210.15,56.39,0.0,6.04,237.15,01-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Feb-2020 - 00:00,36.37,46.97,14.7,14.84,0.33,3.71,7.89,0.33,44.06,0.01,0.0,0.01,0.0,26.73,200.42,59.77,0.0,8.71,249.1,02-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Feb-2020 - 00:00,33.14,38.43,10.06,10.41,0.25,3.47,7.21,0.28,49.79,0.0,0.0,0.0,0.0,26.5,227.9,57.68,0.0,9.59,252.33,03-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Feb-2020 - 00:00,37.7,50.77,50.06,49.01,0.55,2.74,11.19,0.38,46.04,0.0,0.0,0.0,0.0,26.67,239.8,54.97,0.0,8.12,259.0,04-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Feb-2020 - 00:00,37.79,51.21,63.46,65.08,1.61,,10.32,0.49,38.79,0.0,0.0,0.01,0.0,26.59,233.16,66.18,0.0,7.78,250.5,05-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Feb-2020 - 00:00,42.67,70.31,83.74,85.94,2.19,,8.78,0.31,44.76,0.0,0.0,0.03,0.0,27.3,192.69,68.99,0.0,7.63,264.1,06-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Feb-2020 - 00:00,42.09,56.22,63.54,65.62,1.81,18.84,9.65,0.27,47.5,0.01,0.0,0.03,0.0,27.24,219.14,66.01,0.0,6.32,256.74,07-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Feb-2020 - 00:00,37.91,49.63,56.66,57.55,0.94,20.9,8.5,0.22,50.08,0.01,0.0,0.01,0.0,26.59,201.18,73.72,0.0,6.83,199.88,08-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Feb-2020 - 00:00,35.03,45.35,46.01,46.72,0.7,,7.55,0.16,52.94,0.0,0.0,0.0,0.0,27.1,225.85,74.78,0.0,7.15,180.36,09-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Feb-2020 - 00:00,26.85,33.58,37.73,38.24,0.53,,6.54,0.09,47.72,0.0,0.0,0.0,0.0,26.86,209.26,70.12,0.0,8.09,258.03,10-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Feb-2020 - 00:00,36.67,46.53,30.14,30.54,0.4,,9.36,0.2,50.44,0.0,0.0,0.01,0.0,26.8,181.63,69.1,0.0,9.38,268.4,11-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Feb-2020 - 00:00,32.57,48.35,21.62,20.92,0.93,1.59,11.57,0.41,48.4,0.0,0.0,0.0,0.0,26.76,211.96,67.6,0.0,10.97,263.35,12-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Feb-2020 - 00:00,36.45,50.5,22.29,22.57,0.28,0.71,13.06,0.61,43.92,0.0,0.0,0.0,0.0,27.01,216.75,66.85,0.0,10.14,260.56,13-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Feb-2020 - 00:00,47.17,59.64,33.13,33.59,0.47,,11.45,0.62,56.32,0.0,0.0,0.01,0.0,27.48,207.18,67.14,0.0,7.66,264.88,14-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Feb-2020 - 00:00,46.01,58.66,42.03,42.68,0.64,,14.21,0.81,55.64,0.01,0.0,0.02,0.0,27.97,242.34,57.17,0.0,5.17,211.04,15-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Feb-2020 - 00:00,55.0,65.84,42.57,43.2,0.63,,14.06,0.78,77.69,0.01,0.0,0.01,0.0,28.05,232.57,56.84,0.0,5.77,230.05,16-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Feb-2020 - 00:00,42.9,48.48,34.84,35.32,0.46,,13.11,0.66,73.73,0.0,0.0,0.0,0.0,27.7,244.03,54.36,0.0,7.16,258.71,17-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Feb-2020 - 00:00,35.95,48.92,28.89,29.24,0.37,,12.26,0.69,59.59,0.0,0.0,0.0,0.0,26.89,252.97,56.03,0.0,7.81,257.47,18-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Feb-2020 - 00:00,41.44,54.44,28.09,28.47,0.37,,14.62,0.73,60.73,0.0,0.0,0.0,0.0,26.56,251.95,56.44,0.0,8.39,250.54,19-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Feb-2020 - 00:00,48.48,62.63,29.72,30.1,0.38,,14.93,0.7,64.75,0.0,0.0,0.0,0.0,26.68,243.39,54.63,0.0,7.98,249.56,20-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Feb-2020 - 00:00,45.37,51.91,16.69,16.95,0.23,0.25,11.32,0.55,44.1,0.0,0.01,0.0,0.0,23.63,250.77,74.39,0.0,10.29,252.59,21-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Feb-2020 - 00:00,24.55,31.05,23.66,23.88,0.37,7.04,13.3,1.03,55.21,0.0,0.0,0.0,0.0,30.16,334.64,43.58,0.0,11.31,270.89,22-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Feb-2020 - 00:00,34.34,42.11,29.11,29.45,0.32,,12.56,0.88,39.52,0.0,0.0,0.0,0.0,27.64,192.32,58.63,0.0,9.9,263.4,23-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Feb-2020 - 00:00,41.98,44.7,30.42,30.72,0.32,,9.56,0.92,57.69,0.0,0.0,0.0,0.0,27.15,197.21,59.57,0.0,9.45,267.05,24-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Feb-2020 - 00:00,51.37,66.0,32.1,32.46,0.34,,11.07,0.97,60.27,0.0,0.0,0.0,0.0,27.61,243.81,60.7,0.0,8.94,259.29,25-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Feb-2020 - 00:00,43.17,80.87,37.57,38.04,0.47,,8.87,1.04,59.27,0.01,0.0,0.0,0.0,28.04,246.04,54.78,0.0,7.51,232.55,26-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
