from date,PM2.5,PM10,NO2,NOx,NO,CO,SO2,to date,station
01-Jan-2020 - 00:00,,,9.26,14.34,3.38,0.66,7.74,02-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Jan-2020 - 00:00,,,9.55,14.35,3.53,0.58,7.76,03-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Jan-2020 - 00:00,23.25,,8.58,12.8,3.41,0.61,7.72,04-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Jan-2020 - 00:00,,,7.7,11.93,3.33,0.55,7.75,05-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Jan-2020 - 00:00,,,7.94,11.32,3.6,0.62,7.8,06-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Jan-2020 - 00:00,23.62,36.17,8.59,11.84,3.6,0.48,7.78,07-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Jan-2020 - 00:00,21.94,16.37,14.09,19.99,4.12,0.48,7.77,08-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Jan-2020 - 00:00,30.98,50.94,13.25,19.79,3.73,0.52,7.72,09-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Jan-2020 - 00:00,20.84,38.69,8.77,12.9,3.32,0.54,7.7,10-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Jan-2020 - 00:00,19.35,33.66,8.47,12.89,3.34,0.58,7.84,11-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Jan-2020 - 00:00,24.46,39.48,9.29,13.28,3.33,0.6,7.84,12-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Jan-2020 - 00:00,44.47,64.1,10.75,15.52,3.47,0.57,7.78,13-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Jan-2020 - 00:00,28.48,45.11,12.67,17.64,3.68,0.59,7.73,14-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Jan-2020 - 00:00,48.66,72.2,13.97,20.62,3.76,0.54,7.7,15-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Jan-2020 - 00:00,55.49,99.43,11.44,16.7,3.48,0.74,7.81,16-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Jan-2020 - 00:00,24.54,55.38,12.93,18.33,3.66,0.71,7.82,17-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Jan-2020 - 00:00,14.23,24.71,10.26,14.77,3.66,0.62,7.82,18-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Jan-2020 - 00:00,23.47,31.29,10.55,15.31,3.72,0.57,7.82,19-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Jan-2020 - 00:00,20.53,27.05,9.4,13.64,3.52,0.55,7.88,20-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Jan-2020 - 00:00,26.0,36.42,10.42,15.72,3.87,0.54,7.85,21-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Jan-2020 - 00:00,34.84,52.0,11.64,17.16,4.02,0.58,7.84,22-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Jan-2020 - 00:00,38.68,58.71,14.22,20.67,4.14,0.59,7.88,23-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Jan-2020 - 00:00,20.48,29.81,9.04,13.74,3.65,0.56,7.81,24-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Jan-2020 - 00:00,9.77,17.1,9.06,13.62,3.67,0.52,7.83,25-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Jan-2020 - 00:00,11.3,20.24,11.82,16.72,3.87,0.54,7.82,26-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Jan-2020 - 00:00,11.94,21.36,9.85,14.87,3.76,0.54,7.81,27-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Jan-2020 - 00:00,19.98,45.55,11.85,18.16,4.05,0.54,7.86,28-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Jan-2020 - 00:00,31.37,59.44,11.1,16.33,3.73,0.56,7.82,29-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Jan-2020 - 00:00,28.46,69.68,10.31,16.56,4.05,0.56,7.81,30-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Jan-2020 - 00:00,42.04,83.8,8.95,13.29,3.79,0.59,7.78,31-Jan-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
31-Jan-2020 - 00:00,28.39,73.84,9.69,14.3,3.91,0.56,7.88,01-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Feb-2020 - 00:00,23.39,65.75,10.39,14.73,4.1,0.55,7.8,02-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Feb-2020 - 00:00,26.46,80.84,9.84,14.61,3.81,0.56,7.81,03-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Feb-2020 - 00:00,33.39,83.46,12.32,17.51,3.84,0.61,7.8,04-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Feb-2020 - 00:00,49.7,103.06,13.19,18.85,4.01,0.61,7.83,05-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Feb-2020 - 00:00,36.15,70.87,13.14,19.14,4.13,0.61,7.87,06-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Feb-2020 - 00:00,30.52,54.74,11.09,17.31,3.89,0.6,7.95,07-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Feb-2020 - 00:00,39.05,68.26,10.49,15.93,3.86,0.61,7.85,08-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Feb-2020 - 00:00,29.95,61.49,10.85,16.16,3.91,0.62,7.93,09-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Feb-2020 - 00:00,33.11,60.09,11.59,16.72,3.81,0.62,7.8,10-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Feb-2020 - 00:00,32.79,61.23,13.69,18.73,4.34,0.65,7.79,11-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Feb-2020 - 00:00,30.84,86.42,24.73,28.94,18.43,0.44,7.52,12-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Feb-2020 - 00:00,22.34,68.39,38.1,43.39,38.98,0.22,7.15,13-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Feb-2020 - 00:00,27.93,52.18,34.2,35.99,40.82,0.2,7.17,14-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Feb-2020 - 00:00,23.86,54.55,32.97,37.24,37.97,0.2,7.14,15-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Feb-2020 - 00:00,19.99,62.23,36.28,37.16,43.87,0.2,7.25,16-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Feb-2020 - 00:00,13.19,40.77,35.73,36.24,38.98,0.19,7.29,17-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Feb-2020 - 00:00,23.14,51.09,35.66,40.32,37.56,0.22,7.28,18-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Feb-2020 - 00:00,19.61,48.17,33.69,37.44,40.0,0.19,7.15,19-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Feb-2020 - 00:00,18.82,45.47,36.5,40.81,41.39,0.19,7.16,20-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Feb-2020 - 00:00,25.91,55.92,38.87,39.29,37.83,0.21,7.11,21-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Feb-2020 - 00:00,34.86,63.38,36.86,42.81,39.78,0.21,6.99,22-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Feb-2020 - 00:00,45.46,80.72,37.51,42.56,37.81,0.28,7.02,23-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Feb-2020 - 00:00,33.3,74.7,38.3,38.62,38.16,0.24,7.07,24-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Feb-2020 - 00:00,32.57,58.43,37.42,39.11,39.7,0.2,7.07,25-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Feb-2020 - 00:00,28.65,48.53,35.13,40.28,40.91,0.17,7.14,26-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Feb-2020 - 00:00,28.93,53.9,34.13,41.39,36.66,0.17,7.06,27-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Feb-2020 - 00:00,26.95,49.24,38.47,41.29,40.88,0.17,7.17,28-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Feb-2020 - 00:00,28.08,46.55,37.59,41.2,42.49,0.17,7.16,29-Feb-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Feb-2020 - 00:00,31.27,48.31,37.4,42.83,39.99,0.17,7.18,01-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Mar-2020 - 00:00,27.88,37.05,38.44,41.89,41.64,0.17,7.12,02-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Mar-2020 - 00:00,20.46,41.53,36.11,40.07,40.67,0.16,7.19,03-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Mar-2020 - 00:00,25.6,60.68,41.68,42.82,39.82,0.16,7.14,04-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Mar-2020 - 00:00,22.11,47.56,37.77,43.71,36.09,0.15,7.19,05-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Mar-2020 - 00:00,25.67,53.68,38.04,45.05,40.75,0.17,7.28,06-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Mar-2020 - 00:00,27.32,42.77,38.72,43.58,36.33,0.15,7.2,07-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Mar-2020 - 00:00,32.02,59.06,34.05,39.79,38.01,0.15,7.17,08-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Mar-2020 - 00:00,35.04,62.37,33.73,42.34,38.24,0.17,7.19,09-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Mar-2020 - 00:00,14.22,34.8,35.14,37.94,33.51,0.14,7.12,10-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Mar-2020 - 00:00,25.24,61.56,32.98,41.26,43.24,0.16,7.26,11-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Mar-2020 - 00:00,25.61,53.46,36.54,44.42,40.57,0.17,7.22,12-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Mar-2020 - 00:00,27.5,55.82,37.15,45.11,38.98,0.16,7.09,13-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Mar-2020 - 00:00,26.95,48.63,39.81,44.37,40.9,0.15,7.15,14-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Mar-2020 - 00:00,18.89,40.97,37.38,40.34,41.58,0.16,7.21,15-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Mar-2020 - 00:00,24.96,55.55,35.25,44.98,38.39,0.19,7.2,16-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Mar-2020 - 00:00,23.7,55.0,35.27,39.66,42.22,0.17,7.25,17-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Mar-2020 - 00:00,16.79,45.98,39.71,42.82,44.03,0.16,7.2,18-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Mar-2020 - 00:00,22.07,50.13,35.75,44.05,40.78,0.19,7.72,19-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Mar-2020 - 00:00,18.27,46.6,40.87,43.4,41.54,0.27,8.15,20-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Mar-2020 - 00:00,22.71,46.56,40.75,52.25,41.1,0.24,8.22,21-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Mar-2020 - 00:00,20.38,49.35,38.9,44.14,47.51,0.24,7.56,22-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Mar-2020 - 00:00,31.34,56.25,40.86,47.83,44.2,0.25,7.33,23-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Mar-2020 - 00:00,19.59,47.55,38.6,54.0,47.33,0.21,7.24,24-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Mar-2020 - 00:00,19.61,48.55,35.16,42.65,42.53,0.22,7.27,25-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Mar-2020 - 00:00,17.2,47.15,41.94,56.84,51.24,0.2,7.24,26-Mar-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
