from date,Benzene,Toluene,Xylene,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,RF,CO,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,6.88,17.45,2.58,745.19,,80.24,111.73,29.61,-0.2,278.18,0.82,0.0,1.48,32.86,63.65,64.94,6.46,18.46,02-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Jan-2020 - 00:00,5.93,14.18,2.08,745.36,,76.05,116.04,29.73,-0.2,253.22,0.78,0.0,1.12,28.74,65.49,62.52,5.52,21.1,03-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Jan-2020 - 00:00,5.46,17.23,2.36,745.28,,80.51,109.69,29.85,-0.2,266.38,1.19,0.0,0.96,45.25,61.56,73.92,4.65,21.79,04-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Jan-2020 - 00:00,7.13,32.16,3.98,745.27,154.08,85.29,135.36,29.66,-0.2,198.41,0.7,0.0,1.4,53.79,52.86,76.0,12.26,18.64,05-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Jan-2020 - 00:00,9.01,35.37,7.87,745.27,166.34,83.8,134.89,29.96,-0.2,144.73,0.83,0.0,2.24,87.09,54.58,99.83,6.26,22.91,06-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Jan-2020 - 00:00,8.85,32.52,8.92,745.35,154.41,75.25,113.35,30.25,-0.2,194.26,0.68,0.0,1.88,55.12,59.38,80.78,6.69,22.57,07-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Jan-2020 - 00:00,4.63,7.81,1.0,745.39,99.12,68.73,122.06,30.36,-0.2,182.51,2.13,0.0,0.98,19.48,58.6,47.0,5.53,20.01,08-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Jan-2020 - 00:00,3.47,6.26,0.72,745.14,83.15,84.23,66.06,30.51,-0.2,176.36,2.93,0.0,0.81,19.98,56.03,54.75,4.63,19.54,09-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Jan-2020 - 00:00,3.3,7.59,0.71,745.04,74.31,83.26,124.45,29.19,-0.2,230.43,3.51,0.0,0.88,13.85,55.48,45.06,5.14,20.42,10-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Jan-2020 - 00:00,5.33,22.72,2.11,745.12,107.52,77.71,143.33,29.52,-0.2,195.35,2.05,0.02,1.32,30.55,57.97,60.01,5.65,22.01,11-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Jan-2020 - 00:00,7.54,31.39,4.34,745.28,145.53,66.05,148.92,29.49,-0.2,200.77,1.26,0.0,1.33,51.39,69.41,83.04,7.04,22.38,12-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Jan-2020 - 00:00,19.85,116.8,22.95,745.0,355.0,76.0,13.0,29.7,-0.2,194.5,0.25,0.0,3.0,244.75,71.7,237.1,11.0,21.1,13-Jan-2020 - 00:00,"Sanjay Palace, Agra - UPPCB"
