from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
01-Jan-2020 - 00:00,1.64,11.95,7.69,17.62,0.76,56.9,87.32,58.61,14.94,26.59,76.87,4.69,0.07,84.36,69.26,760.78,0.0,0.88,3.34,0.12,0.13,26.76,02-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
02-Jan-2020 - 00:00,1.7,12.3,7.93,17.64,0.73,55.58,65.39,42.36,14.74,26.49,79.28,4.82,0.08,83.84,48.15,761.67,0.0,0.79,2.14,0.12,0.11,28.37,03-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
03-Jan-2020 - 00:00,1.81,13.6,8.7,23.36,0.69,42.33,61.32,38.08,14.47,26.78,80.65,3.57,0.05,98.6,50.64,759.53,0.03,0.75,3.34,0.16,0.18,28.97,04-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
04-Jan-2020 - 00:00,2.27,19.07,11.99,20.48,0.64,23.52,39.48,23.48,14.38,25.87,87.11,2.24,0.05,86.1,31.04,758.02,0.0,0.63,6.06,0.27,0.25,28.05,05-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
05-Jan-2020 - 00:00,1.68,12.59,8.06,14.71,0.63,38.48,56.52,37.74,20.84,26.87,80.87,2.72,0.07,82.48,54.28,758.85,0.0,0.57,1.75,0.11,0.13,28.02,06-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
06-Jan-2020 - 00:00,1.89,11.62,7.72,19.63,0.66,49.19,63.12,40.16,21.21,27.12,76.14,4.34,0.08,84.39,56.72,761.19,0.0,0.58,1.28,0.1,0.11,28.97,07-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
07-Jan-2020 - 00:00,1.91,11.86,7.87,17.76,0.67,59.6,96.62,68.76,20.22,26.58,76.67,4.19,0.07,91.62,68.91,760.61,0.0,0.7,1.21,0.1,0.1,28.31,08-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
08-Jan-2020 - 00:00,1.79,11.84,7.76,15.68,0.64,53.55,75.41,53.25,16.97,26.06,78.27,3.28,0.02,105.55,65.73,759.51,0.0,0.55,1.03,0.1,0.1,28.87,09-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
09-Jan-2020 - 00:00,1.85,13.48,8.67,14.03,0.53,45.41,63.83,37.18,15.62,25.65,78.4,2.48,0.0,127.85,57.18,759.09,0.0,0.51,0.97,0.11,0.11,28.37,10-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
10-Jan-2020 - 00:00,3.15,21.79,14.15,21.34,0.68,36.92,85.78,53.51,17.19,25.92,78.67,1.79,0.04,132.86,57.52,759.84,0.0,0.85,4.41,0.35,0.21,27.69,11-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
11-Jan-2020 - 00:00,1.89,16.58,10.36,17.45,0.78,37.8,101.07,66.5,18.62,26.67,77.17,1.82,0.04,146.95,69.61,760.79,0.0,0.66,2.95,0.34,0.22,26.52,12-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
