from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,AT,RH,WS,WD,SR,BP,RF,to date,station
01-Jan-2020 - 00:00,31.0,4.9,3.15,3.19,46.72,26.38,44.5,20.08,351.57,456.84,11.46,78.34,0.68,33.16,69.77,753.58,0.0,02-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Jan-2020 - 00:00,31.08,4.97,3.53,4.53,58.69,33.27,45.5,24.29,314.07,441.96,14.25,75.61,0.57,24.34,64.03,753.18,0.0,03-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Jan-2020 - 00:00,31.2,3.06,2.92,2.89,49.97,27.59,46.5,20.22,259.52,387.16,15.5,76.82,0.61,31.77,70.97,751.11,0.0,04-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Jan-2020 - 00:00,31.22,2.9,2.33,2.75,53.94,30.12,43.62,15.39,202.94,309.9,14.97,76.56,0.62,13.11,60.54,749.99,0.0,05-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Jan-2020 - 00:00,35.7,1.49,2.63,2.25,46.04,25.94,39.26,16.24,156.37,238.19,14.95,69.17,0.86,21.59,65.47,750.37,0.0,06-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Jan-2020 - 00:00,35.61,1.71,2.2,2.28,51.29,28.32,37.92,12.81,156.99,259.38,14.47,73.89,0.78,36.05,39.05,751.37,0.0,07-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Jan-2020 - 00:00,33.87,1.07,3.27,2.09,33.55,19.12,32.62,12.8,109.37,160.07,14.87,81.76,0.84,31.3,42.18,749.21,0.0,08-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Jan-2020 - 00:00,32.61,1.32,3.48,2.09,32.04,18.3,33.62,9.33,125.1,166.12,13.63,90.01,0.85,28.24,25.36,747.12,0.0,09-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Jan-2020 - 00:00,29.84,0.69,3.21,2.12,28.68,16.59,22.56,8.5,87.5,136.7,10.74,85.48,1.41,16.15,54.78,751.67,0.0,10-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Jan-2020 - 00:00,29.85,1.52,3.32,2.43,38.83,22.22,23.61,9.25,132.47,219.29,11.45,80.05,1.25,15.93,77.27,752.12,0.0,11-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Jan-2020 - 00:00,29.78,1.7,3.74,2.58,48.51,27.36,26.59,12.88,138.22,238.05,13.13,68.64,0.84,19.56,80.89,751.72,0.0,12-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Jan-2020 - 00:00,29.31,2.47,2.16,3.19,52.31,29.26,35.62,12.87,235.6,382.41,14.35,70.34,0.63,37.3,74.28,748.72,0.0,13-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Jan-2020 - 00:00,29.83,2.17,2.52,2.18,37.9,21.38,45.03,8.62,244.66,358.09,14.06,82.78,0.64,63.1,45.81,744.52,0.0,14-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Jan-2020 - 00:00,29.83,1.27,3.46,2.13,33.55,19.17,33.73,10.43,143.41,213.6,13.89,83.9,1.08,33.38,69.71,747.91,0.0,15-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Jan-2020 - 00:00,29.84,1.66,3.26,2.1,36.84,20.9,26.44,14.31,105.71,182.36,13.49,81.31,0.88,35.44,64.02,748.91,0.0,16-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Jan-2020 - 00:00,29.71,1.52,3.42,2.28,40.28,22.86,30.07,17.63,142.62,213.94,12.86,85.5,0.96,28.77,44.46,747.71,0.01,17-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Jan-2020 - 00:00,29.95,1.51,3.13,2.1,31.59,17.91,25.75,11.71,84.74,134.91,13.6,89.33,1.25,21.41,69.39,748.89,0.06,18-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Jan-2020 - 00:00,29.9,1.6,4.31,1.6,43.15,23.98,28.13,10.43,133.7,226.86,12.15,89.26,0.69,33.08,39.49,750.71,0.0,19-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Jan-2020 - 00:00,30.1,1.03,3.73,2.11,27.22,15.84,26.65,8.39,133.42,196.01,10.92,84.62,1.53,16.21,76.99,751.47,0.0,20-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Jan-2020 - 00:00,29.95,1.86,2.89,2.3,32.29,18.6,27.14,9.96,139.03,230.82,11.48,88.47,1.06,28.6,54.62,750.6,0.0,21-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Jan-2020 - 00:00,29.95,1.51,2.59,2.48,27.74,16.08,31.48,13.7,168.7,263.35,12.45,89.16,0.53,66.05,67.79,751.23,0.0,22-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
