from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
01-Jan-2020 - 00:00,384.64,465.02,83.73,82.34,111.48,73.02,8.74,3.9,6.7,11.9,58.7,1.16,114.43,12.54,70.57,742.43,02-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
02-Jan-2020 - 00:00,321.02,385.83,91.57,81.03,114.58,71.4,9.9,3.77,9.93,,,0.99,129.17,15.16,67.69,742.66,03-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
03-Jan-2020 - 00:00,183.65,260.51,72.31,60.88,87.96,64.39,12.58,2.87,19.27,,,1.06,146.77,16.84,67.7,742.96,04-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
04-Jan-2020 - 00:00,249.78,336.01,92.78,60.62,98.63,69.8,11.27,2.64,52.3,,,1.11,141.16,16.59,67.38,742.93,05-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
05-Jan-2020 - 00:00,170.26,232.46,65.02,9.65,42.43,51.58,12.82,1.41,24.63,,,1.77,147.8,16.34,58.8,742.93,06-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
06-Jan-2020 - 00:00,155.65,228.24,71.38,21.68,55.6,47.88,11.28,2.14,16.04,,,1.8,123.35,15.87,63.54,743.0,07-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
07-Jan-2020 - 00:00,139.92,170.94,43.63,4.12,26.56,54.11,10.95,1.97,6.16,,,1.42,112.29,15.5,80.5,743.0,08-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
08-Jan-2020 - 00:00,148.79,171.07,49.6,8.82,33.55,57.22,9.89,1.61,12.84,,,1.54,123.69,14.66,87.34,743.0,09-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
09-Jan-2020 - 00:00,104.07,135.24,48.35,4.22,29.14,39.82,7.99,1.57,7.52,,,2.61,126.71,11.94,79.06,742.49,10-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
10-Jan-2020 - 00:00,135.81,191.46,72.04,11.62,47.77,39.19,9.39,1.97,8.68,,,1.8,148.78,12.86,70.89,742.62,11-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
11-Jan-2020 - 00:00,149.08,237.56,83.71,32.7,71.11,38.12,12.4,2.35,11.82,,,1.41,162.55,14.52,56.53,742.69,12-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
12-Jan-2020 - 00:00,258.47,384.98,94.82,79.34,114.94,51.42,12.9,3.38,9.02,,,0.98,186.23,15.79,60.38,742.69,13-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
13-Jan-2020 - 00:00,267.33,357.05,65.32,21.9,52.11,65.7,11.12,2.52,8.42,,,1.84,148.55,15.4,73.41,742.91,14-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
14-Jan-2020 - 00:00,176.34,224.51,55.9,6.04,34.64,59.84,12.13,1.35,14.8,,,2.59,99.72,14.51,80.46,742.99,15-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
15-Jan-2020 - 00:00,141.68,197.59,60.4,7.54,38.26,48.37,11.59,1.68,29.76,,,2.35,104.14,14.72,75.44,742.73,16-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
16-Jan-2020 - 00:00,150.0,188.17,58.29,10.35,39.42,46.08,14.07,3.21,22.53,,,2.23,104.16,13.84,81.27,743.0,17-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
17-Jan-2020 - 00:00,95.0,123.16,50.65,13.07,37.56,54.06,10.17,3.67,8.06,,,2.05,133.32,14.62,86.33,743.0,18-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
18-Jan-2020 - 00:00,169.16,246.36,65.74,24.11,54.57,49.85,11.46,1.51,10.77,,,1.66,118.54,13.35,85.49,742.77,19-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
19-Jan-2020 - 00:00,159.21,207.49,55.07,9.2,36.77,45.11,8.95,1.99,7.36,,,1.88,164.7,12.31,78.33,742.45,20-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
20-Jan-2020 - 00:00,177.7,251.64,58.94,13.62,42.42,47.89,8.48,1.51,4.43,,,1.58,156.11,12.78,84.61,742.61,21-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
21-Jan-2020 - 00:00,224.39,300.78,45.38,18.12,38.87,51.36,10.45,1.81,6.51,,,1.53,129.48,13.67,86.6,742.62,22-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
22-Jan-2020 - 00:00,214.7,306.08,68.86,24.88,56.37,50.12,10.31,2.69,6.94,,,1.55,140.66,14.26,80.65,742.63,23-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
23-Jan-2020 - 00:00,70.47,126.4,48.1,2.81,27.87,33.92,7.96,1.36,12.09,,,2.36,159.74,15.41,53.23,742.83,24-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
24-Jan-2020 - 00:00,71.72,131.41,55.37,4.17,32.84,27.63,10.28,1.55,14.17,,,2.09,147.3,16.05,46.24,742.82,25-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
25-Jan-2020 - 00:00,156.04,244.61,78.31,33.87,69.19,34.58,14.43,1.88,10.53,,,1.24,157.52,15.7,55.53,742.76,26-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
26-Jan-2020 - 00:00,227.8,318.31,63.7,45.87,71.18,41.88,15.91,2.34,11.77,,,1.28,164.33,16.11,64.98,742.73,27-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
27-Jan-2020 - 00:00,286.54,372.02,70.39,67.11,91.98,46.23,14.67,3.26,7.55,,,1.77,116.73,16.48,68.03,742.99,28-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
28-Jan-2020 - 00:00,121.93,149.11,31.76,2.25,18.67,50.8,11.67,1.37,10.94,,,2.18,126.76,16.51,75.54,743.0,29-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
29-Jan-2020 - 00:00,90.51,130.49,45.29,13.01,34.66,42.64,12.84,1.26,9.15,,,2.13,119.12,16.38,70.19,743.0,30-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
30-Jan-2020 - 00:00,84.84,133.62,46.42,5.77,29.38,36.32,12.82,1.67,11.46,,,2.3,132.33,16.17,65.05,743.0,31-Jan-2020 - 00:00,"Sector-116, Noida - UPPCB"
31-Jan-2020 - 00:00,87.61,142.61,52.09,6.82,33.25,31.22,10.97,1.68,10.32,,,2.02,132.4,14.77,61.34,742.81,01-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
01-Feb-2020 - 00:00,109.17,166.98,48.15,8.69,32.68,34.0,10.41,1.7,9.91,,,2.04,122.7,14.88,68.49,742.73,02-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
02-Feb-2020 - 00:00,115.45,170.5,53.65,9.85,36.54,33.26,9.26,2.04,12.82,,,1.71,161.44,15.06,65.82,742.96,03-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
03-Feb-2020 - 00:00,142.59,238.01,70.2,33.3,64.42,32.89,11.13,2.31,11.77,,,1.32,178.68,15.86,57.7,742.89,04-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
04-Feb-2020 - 00:00,211.48,329.92,65.57,28.46,56.89,36.19,14.73,3.0,4.07,,,1.39,145.29,15.71,57.2,742.68,05-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
05-Feb-2020 - 00:00,135.98,211.33,54.73,12.04,38.9,34.57,14.15,1.32,11.68,,,2.0,132.41,16.48,57.56,742.97,06-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
06-Feb-2020 - 00:00,116.73,184.21,56.07,6.28,34.93,35.74,10.49,1.62,12.52,,,1.77,146.7,15.63,57.95,742.95,07-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
07-Feb-2020 - 00:00,161.01,240.79,55.65,7.59,35.77,38.83,14.92,1.88,28.41,,,1.62,110.2,15.49,59.78,742.73,08-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
08-Feb-2020 - 00:00,139.44,207.54,53.55,11.85,38.12,35.65,12.95,2.75,18.17,,,1.87,163.43,16.36,58.84,742.86,09-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
09-Feb-2020 - 00:00,152.74,245.5,63.13,13.77,44.77,34.89,16.39,2.2,6.25,,,1.41,169.24,17.52,53.41,743.0,10-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
10-Feb-2020 - 00:00,174.57,270.51,67.22,27.74,58.31,36.93,16.85,2.24,22.38,,,1.25,156.99,16.79,57.93,742.86,11-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
11-Feb-2020 - 00:00,195.64,304.55,76.8,32.7,67.43,38.33,20.76,1.9,40.44,,,1.29,139.01,17.4,55.19,742.73,12-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
12-Feb-2020 - 00:00,167.6,252.43,62.85,12.46,43.56,35.56,14.2,1.2,20.19,,,1.8,171.73,18.71,57.8,743.0,13-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
13-Feb-2020 - 00:00,82.08,153.95,46.59,3.4,27.55,32.89,11.85,1.65,15.8,,,2.1,152.05,21.1,50.64,743.0,14-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
14-Feb-2020 - 00:00,65.89,170.12,36.42,1.67,20.73,31.61,11.87,1.59,20.2,,,2.76,148.55,20.35,48.27,743.0,15-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
