from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
01-Jan-2020 - 00:00,43.48,72.61,43.41,105.24,36.18,1.15,13.14,153.01,258.95,10.14,32.05,3.14,7.76,10.55,123.23,68.96,0.0,0.39,86.89,02-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Jan-2020 - 00:00,40.01,61.99,22.06,103.15,30.1,0.79,10.81,118.14,191.77,8.02,31.13,2.12,5.25,13.75,112.71,76.27,0.0,0.39,51.51,03-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Jan-2020 - 00:00,39.52,59.78,20.36,101.53,33.09,0.72,10.03,87.07,174.25,7.13,35.16,2.24,5.28,13.39,104.53,79.25,0.0,0.45,143.34,04-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Jan-2020 - 00:00,38.65,51.11,12.41,105.18,41.93,0.72,19.82,118.53,205.52,5.77,30.59,1.61,4.17,13.29,105.55,77.51,0.0,0.53,236.5,05-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Jan-2020 - 00:00,30.96,34.44,3.47,91.7,41.3,0.52,18.49,97.98,170.15,3.81,31.13,0.88,2.21,13.21,106.92,76.9,0.0,0.78,240.15,06-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Jan-2020 - 00:00,34.14,46.02,11.89,105.9,45.62,0.63,6.86,78.95,116.04,5.24,35.49,1.9,4.9,12.04,35.34,88.64,0.06,0.55,150.7,07-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Jan-2020 - 00:00,28.07,37.11,9.01,90.15,44.23,0.47,6.97,47.59,62.65,3.69,30.62,1.17,3.19,12.63,38.99,97.6,0.02,0.4,90.07,08-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Jan-2020 - 00:00,27.01,37.49,10.48,89.99,50.03,0.6,9.24,43.74,53.35,3.74,31.63,1.27,3.42,11.61,17.8,,0.22,0.45,122.77,09-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Jan-2020 - 00:00,20.86,25.5,4.65,82.81,56.33,0.53,17.47,55.72,85.1,3.38,30.63,1.23,3.27,9.76,93.54,85.85,0.0,0.83,283.32,10-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Jan-2020 - 00:00,23.13,27.58,4.45,80.97,63.04,0.67,17.96,71.1,125.99,4.76,31.08,1.53,4.1,10.18,92.8,74.47,0.0,0.85,273.21,11-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Jan-2020 - 00:00,25.31,29.7,4.46,86.48,68.46,0.68,18.5,87.16,145.49,4.75,30.59,1.3,3.38,11.14,106.7,81.61,0.0,0.69,264.28,12-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Jan-2020 - 00:00,27.06,34.5,7.49,95.13,74.89,0.75,15.21,100.56,195.08,5.49,35.92,1.46,3.79,13.32,119.96,79.9,0.0,0.52,214.75,13-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Jan-2020 - 00:00,32.76,46.51,13.76,106.95,66.37,1.03,4.91,124.46,283.0,7.98,33.96,1.67,3.87,11.83,88.58,88.52,0.03,0.39,121.57,14-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Jan-2020 - 00:00,22.14,26.5,4.36,86.53,28.44,0.43,5.93,74.0,110.51,4.43,30.59,1.29,3.32,11.86,160.76,88.27,0.0,0.66,264.97,15-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Jan-2020 - 00:00,20.02,25.11,6.23,79.56,9.36,0.44,4.59,65.8,120.05,4.12,26.87,1.26,3.3,9.87,123.22,91.17,0.0,0.55,261.96,16-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Jan-2020 - 00:00,25.46,38.72,13.26,108.91,9.23,0.79,3.94,86.13,132.52,6.06,32.68,1.95,4.94,11.24,117.26,92.16,0.13,0.56,235.07,17-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Jan-2020 - 00:00,19.92,30.33,10.43,91.1,8.09,0.71,3.24,67.15,96.23,4.88,29.68,1.43,3.79,11.01,87.24,,0.02,0.47,224.53,18-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Jan-2020 - 00:00,18.14,22.28,4.14,76.39,8.15,0.53,5.95,56.63,95.69,3.23,25.05,0.89,2.35,11.72,,74.78,0.0,0.5,206.14,19-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
