from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,RF,WS,WD,to date,station
01-Jan-2020 - 00:00,68.64,295.64,333.39,53.41,18.06,0.66,39.17,187.48,431.24,8.94,19.22,2.31,0.15,2.3,72.66,129.1,0.0,0.26,110.04,02-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Jan-2020 - 00:00,62.01,297.32,286.86,27.88,23.56,0.86,25.57,150.27,390.14,6.8,13.03,1.13,0.11,1.22,84.02,123.54,0.0,0.21,120.03,03-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Jan-2020 - 00:00,69.31,372.28,364.72,13.33,35.47,0.88,28.95,137.3,327.1,6.84,17.06,0.82,0.11,0.85,81.41,144.46,0.01,,,04-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Jan-2020 - 00:00,80.91,369.92,364.26,25.61,38.74,0.49,34.67,123.36,328.85,3.72,19.62,0.59,0.05,0.52,80.16,141.1,0.0,0.56,265.32,05-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Jan-2020 - 00:00,80.38,354.3,326.05,23.54,38.68,0.65,33.76,117.53,312.01,4.14,4.79,0.4,0.07,0.37,81.16,100.81,0.0,0.79,255.72,06-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Jan-2020 - 00:00,73.62,347.63,317.24,24.23,23.9,0.45,14.05,97.0,256.3,2.88,5.51,0.7,0.03,0.93,97.63,24.39,0.06,0.38,160.96,07-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Jan-2020 - 00:00,60.59,295.56,268.78,38.83,30.27,0.45,26.7,66.12,155.82,2.28,4.26,0.57,0.02,0.93,98.88,44.85,0.05,0.41,83.56,08-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Jan-2020 - 00:00,71.6,329.41,301.57,27.54,19.29,0.38,10.3,60.76,150.68,2.31,4.68,0.31,0.02,0.41,99.13,13.64,0.11,0.35,136.22,09-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Jan-2020 - 00:00,68.95,249.35,235.99,50.59,18.43,0.16,32.6,60.17,148.43,1.73,4.68,0.33,0.02,0.25,96.1,216.19,0.0,0.88,296.74,10-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Jan-2020 - 00:00,91.49,290.16,280.49,34.55,18.79,0.51,32.93,78.24,207.31,3.15,5.07,0.46,0.04,0.4,86.99,378.04,0.0,0.81,282.16,11-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Jan-2020 - 00:00,89.66,269.03,262.59,38.15,21.35,0.49,35.24,89.54,243.12,3.61,7.17,0.38,0.05,0.42,84.01,346.43,0.0,0.65,275.42,12-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Jan-2020 - 00:00,87.87,263.16,256.95,36.23,17.48,0.6,32.2,112.86,276.74,5.14,8.01,0.33,0.06,0.41,82.17,328.65,0.0,0.56,243.06,13-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Jan-2020 - 00:00,72.76,239.03,229.73,45.6,14.39,1.01,24.27,169.02,418.85,6.64,7.76,0.56,0.04,0.81,95.16,114.63,0.03,0.39,142.12,14-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Jan-2020 - 00:00,64.5,244.81,230.02,44.55,15.86,0.28,27.81,73.1,193.89,2.66,9.45,0.23,0.03,0.42,16.91,382.15,0.0,0.65,301.82,15-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Jan-2020 - 00:00,74.5,296.09,276.37,30.53,7.09,0.32,16.7,72.94,204.73,2.53,7.92,0.3,0.03,0.41,60.02,237.76,0.0,0.5,289.18,16-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Jan-2020 - 00:00,67.24,257.74,241.82,40.67,17.85,0.56,15.56,105.05,271.02,4.42,7.81,0.68,0.06,0.77,98.43,72.85,0.09,0.5,263.72,17-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Jan-2020 - 00:00,65.69,257.48,240.79,39.7,19.03,0.63,4.34,79.72,239.38,6.35,6.92,0.88,0.07,0.77,99.13,104.92,0.0,0.43,235.52,18-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Jan-2020 - 00:00,76.24,249.69,240.07,41.29,35.19,0.44,21.42,73.21,238.22,2.98,4.72,0.38,0.03,0.46,93.61,76.97,0.0,0.49,235.86,19-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Jan-2020 - 00:00,75.24,238.29,230.4,46.57,22.24,0.39,22.44,93.18,285.07,3.65,4.69,0.42,0.06,0.5,98.97,97.6,0.0,0.89,262.47,20-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Jan-2020 - 00:00,79.56,242.14,235.75,43.14,23.82,0.57,31.91,107.52,343.86,4.73,4.95,1.2,0.04,0.54,97.1,97.6,0.0,0.75,262.25,21-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Jan-2020 - 00:00,77.24,312.33,291.54,29.29,9.78,1.04,17.22,126.4,397.34,6.6,12.4,1.45,0.07,1.03,99.13,97.6,0.0,0.21,134.55,22-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Jan-2020 - 00:00,77.28,264.35,252.69,37.81,14.69,0.61,21.38,64.26,217.98,7.91,8.88,0.86,0.14,0.81,87.1,411.8,0.0,0.9,279.66,23-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Jan-2020 - 00:00,78.62,213.83,212.55,58.42,29.09,0.14,46.21,41.66,146.98,1.66,3.0,0.73,0.04,0.27,72.6,444.78,0.0,1.77,288.25,24-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Jan-2020 - 00:00,87.16,216.7,219.32,54.65,49.77,0.36,37.77,54.97,179.33,3.95,3.04,0.75,0.05,0.51,63.93,466.35,0.0,1.37,253.66,25-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Jan-2020 - 00:00,92.06,277.53,274.64,33.76,17.59,0.79,23.92,142.04,430.59,6.15,6.58,1.01,0.05,0.64,92.14,243.01,0.0,0.31,161.88,26-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Jan-2020 - 00:00,96.33,337.73,321.77,24.68,17.2,0.84,30.23,129.22,357.34,9.35,13.64,2.36,0.1,0.98,86.18,360.15,0.0,0.7,233.59,27-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Jan-2020 - 00:00,84.66,279.15,268.09,33.56,18.21,0.88,14.86,85.54,411.81,7.21,8.87,1.67,0.09,1.2,97.87,80.27,0.02,0.31,148.73,28-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Jan-2020 - 00:00,71.6,254.79,241.73,45.03,27.84,0.37,22.93,77.84,216.43,2.84,3.81,0.52,0.04,0.66,97.35,107.84,0.17,0.55,123.11,29-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Jan-2020 - 00:00,69.53,264.47,248.39,42.03,18.14,0.39,20.95,51.32,157.93,2.06,7.45,0.78,0.03,0.37,88.77,353.7,0.0,0.44,208.1,30-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Jan-2020 - 00:00,86.21,291.74,279.0,35.31,17.66,0.25,21.33,48.12,141.11,1.42,6.45,0.21,0.02,0.36,87.7,414.83,0.0,1.02,303.46,31-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
31-Jan-2020 - 00:00,80.78,252.67,244.83,44.83,33.16,0.19,18.17,57.6,184.18,3.52,4.73,0.41,2.16,0.41,99.08,303.64,0.0,0.8,246.37,01-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Feb-2020 - 00:00,79.26,283.39,268.67,39.48,10.45,0.44,15.23,71.71,211.64,5.37,9.31,1.32,5.04,0.75,94.18,292.83,0.0,0.5,272.56,02-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Feb-2020 - 00:00,107.5,363.29,347.5,21.84,20.13,0.29,23.53,70.25,214.23,3.07,6.56,2.12,2.63,0.97,92.78,355.06,0.0,0.76,270.13,03-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Feb-2020 - 00:00,91.58,305.44,293.57,31.9,19.26,0.36,27.42,84.43,267.37,4.19,5.71,2.1,1.33,2.85,81.7,438.45,0.0,0.53,235.62,04-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Feb-2020 - 00:00,78.5,248.5,245.06,47.9,18.47,0.25,29.37,134.01,388.43,4.62,7.58,0.67,0.26,1.79,80.79,336.86,0.0,0.37,209.83,05-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Feb-2020 - 00:00,79.9,238.02,232.62,43.46,15.28,0.21,20.57,84.32,237.69,2.44,4.86,0.45,0.15,1.03,81.01,408.44,0.0,0.88,283.37,06-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Feb-2020 - 00:00,82.14,218.83,221.67,51.71,24.14,0.62,28.18,71.87,233.29,3.7,15.07,1.91,1.03,3.18,82.72,417.12,0.0,0.61,253.78,07-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Feb-2020 - 00:00,86.28,234.38,266.19,46.5,9.45,0.42,25.61,115.5,321.41,4.75,14.65,0.69,0.22,1.88,80.95,362.43,0.0,0.48,277.03,08-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
