from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,to date,station
01-Jan-2020 - 00:00,175.33,252.92,62.01,162.55,162.76,184.91,15.49,3.24,18.59,1.1,2.02,02-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jan-2020 - 00:00,184.64,268.71,92.39,143.78,163.57,190.93,23.51,3.19,22.56,1.1,2.02,03-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jan-2020 - 00:00,109.48,172.54,63.85,94.54,109.16,118.16,33.51,1.91,31.51,1.04,1.93,04-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jan-2020 - 00:00,101.64,159.47,62.41,137.31,142.72,239.03,43.76,1.48,1.96,1.1,2.02,05-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jan-2020 - 00:00,127.73,166.96,56.03,21.04,46.14,119.94,25.87,1.05,9.42,1.09,2.01,06-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jan-2020 - 00:00,86.41,164.38,68.14,17.34,46.69,100.27,14.92,0.8,19.54,1.1,2.02,07-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jan-2020 - 00:00,59.1,91.93,41.47,15.01,33.73,91.49,28.51,0.7,20.01,1.1,2.03,08-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jan-2020 - 00:00,66.89,96.24,42.73,35.4,50.71,101.7,27.02,1.08,3.33,1.1,2.02,09-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jan-2020 - 00:00,48.24,71.33,37.5,11.61,28.9,63.95,40.31,0.76,13.84,1.1,2.01,10-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jan-2020 - 00:00,53.35,88.51,54.26,17.1,42.06,62.03,19.4,1.0,20.13,1.1,2.02,11-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jan-2020 - 00:00,67.89,99.96,60.11,31.03,56.29,58.28,29.53,1.47,27.43,1.1,2.01,12-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jan-2020 - 00:00,123.53,220.19,59.19,132.16,136.91,146.51,49.28,2.42,15.84,1.1,2.01,13-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jan-2020 - 00:00,76.85,142.49,36.86,21.01,35.68,82.81,25.46,1.13,30.31,1.1,2.02,14-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jan-2020 - 00:00,42.0,68.38,40.52,21.25,33.61,64.3,16.44,0.89,11.83,1.1,2.03,15-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jan-2020 - 00:00,58.75,90.02,50.12,26.0,47.04,76.68,28.5,0.96,14.02,1.1,2.03,16-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jan-2020 - 00:00,63.47,96.34,42.63,21.75,39.74,73.88,24.4,1.0,5.76,1.1,2.02,17-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jan-2020 - 00:00,60.18,107.15,40.93,33.48,48.26,73.05,32.18,1.26,11.93,1.1,2.01,18-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jan-2020 - 00:00,60.41,127.24,49.89,55.7,70.73,93.16,27.01,1.45,12.0,1.1,2.02,19-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jan-2020 - 00:00,62.65,111.7,30.39,7.42,21.83,61.24,13.95,0.86,21.65,1.1,2.01,20-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jan-2020 - 00:00,54.41,116.89,42.22,38.89,53.2,63.65,22.69,1.3,15.03,1.1,2.01,21-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jan-2020 - 00:00,79.33,172.3,44.14,47.51,61.15,87.11,22.41,1.45,28.44,1.11,2.03,22-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jan-2020 - 00:00,79.56,178.22,55.07,66.82,82.36,109.03,35.15,1.73,13.24,1.11,2.01,23-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jan-2020 - 00:00,43.46,98.24,49.34,9.32,33.25,58.1,28.06,0.64,28.94,1.1,2.03,24-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jan-2020 - 00:00,31.94,81.61,58.64,12.58,40.73,69.35,10.47,0.68,32.19,1.1,2.02,25-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jan-2020 - 00:00,79.62,191.11,66.99,72.62,93.24,96.86,30.96,1.74,32.21,1.09,2.01,26-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jan-2020 - 00:00,102.24,204.04,57.98,64.35,81.9,123.01,32.17,1.57,33.59,1.1,2.02,27-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jan-2020 - 00:00,74.07,178.64,66.46,51.35,75.92,120.43,18.52,1.35,29.38,1.1,2.02,28-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jan-2020 - 00:00,61.71,124.91,42.99,11.01,31.29,82.62,14.61,0.94,24.91,1.09,2.02,29-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jan-2020 - 00:00,37.38,95.76,48.43,23.47,44.11,86.71,16.79,0.83,22.52,1.1,2.02,30-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jan-2020 - 00:00,47.22,105.96,46.2,13.33,34.83,69.05,16.69,0.88,21.09,1.1,2.02,31-Jan-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Jan-2020 - 00:00,45.55,107.62,49.45,25.73,46.47,58.62,17.08,0.98,22.42,1.1,2.02,01-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Feb-2020 - 00:00,61.5,170.21,51.78,58.95,74.32,96.28,16.9,1.33,26.49,1.1,2.02,02-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
