from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
01-Jan-2020 - 00:00,68.89,58.93,9.96,111.37,212.06,3.08,02-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jan-2020 - 00:00,56.98,44.38,12.6,83.84,189.38,2.92,03-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jan-2020 - 00:00,62.97,39.85,34.25,92.0,190.33,2.87,04-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jan-2020 - 00:00,69.19,59.28,9.9,63.56,142.07,2.93,05-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jan-2020 - 00:00,48.54,41.82,6.72,43.17,105.36,2.34,06-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jan-2020 - 00:00,48.41,41.24,7.17,40.58,114.75,2.58,07-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jan-2020 - 00:00,62.17,36.21,31.52,68.32,179.86,3.08,08-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jan-2020 - 00:00,75.12,39.59,47.03,69.59,152.96,3.66,09-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jan-2020 - 00:00,46.75,41.1,5.65,35.63,107.51,4.03,10-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jan-2020 - 00:00,34.26,30.36,4.27,33.55,97.84,2.77,11-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jan-2020 - 00:00,32.02,27.57,4.45,46.1,116.01,3.62,12-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jan-2020 - 00:00,28.52,21.97,6.55,49.06,123.85,2.63,13-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jan-2020 - 00:00,19.29,14.54,4.74,54.66,125.08,2.46,14-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jan-2020 - 00:00,19.35,12.61,6.74,57.52,134.68,2.93,15-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jan-2020 - 00:00,15.8,11.87,3.93,65.15,136.48,2.7,16-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jan-2020 - 00:00,12.48,9.18,3.3,58.82,142.29,2.52,17-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jan-2020 - 00:00,13.85,10.56,3.28,56.7,134.6,2.48,18-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jan-2020 - 00:00,12.21,8.53,3.68,38.65,108.1,2.28,19-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jan-2020 - 00:00,11.03,7.58,3.87,38.18,103.54,3.35,20-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jan-2020 - 00:00,11.83,7.94,4.39,33.76,99.3,3.09,21-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jan-2020 - 00:00,13.17,7.83,5.35,52.58,133.62,2.84,22-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jan-2020 - 00:00,12.76,9.3,3.47,47.76,128.67,2.85,23-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jan-2020 - 00:00,11.08,7.6,3.49,42.2,112.76,3.08,24-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jan-2020 - 00:00,10.2,6.55,3.65,32.08,98.95,3.48,25-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jan-2020 - 00:00,12.38,7.95,4.43,53.41,135.3,3.52,26-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Jan-2020 - 00:00,14.12,8.22,5.9,38.42,131.35,3.25,27-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Jan-2020 - 00:00,10.55,6.97,3.59,56.93,128.64,2.81,28-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Jan-2020 - 00:00,9.52,6.16,3.37,35.18,119.08,2.48,29-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Jan-2020 - 00:00,11.05,7.18,3.87,51.33,125.98,2.89,30-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Jan-2020 - 00:00,10.22,6.81,3.42,26.06,92.44,2.77,31-Jan-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Jan-2020 - 00:00,9.76,6.34,3.41,38.06,96.87,2.73,01-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Feb-2020 - 00:00,9.61,6.38,3.23,29.2,97.33,4.13,02-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Feb-2020 - 00:00,7.65,4.83,2.82,37.11,103.1,3.67,03-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Feb-2020 - 00:00,8.96,5.79,3.17,32.8,103.26,4.81,04-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Feb-2020 - 00:00,8.74,5.21,3.52,56.46,137.02,3.98,05-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Feb-2020 - 00:00,10.97,7.17,3.79,40.95,117.53,4.21,06-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Feb-2020 - 00:00,38.3,33.75,5.53,46.57,161.09,5.36,07-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Feb-2020 - 00:00,48.14,43.69,4.44,50.56,122.84,5.26,08-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Feb-2020 - 00:00,44.05,41.08,2.97,41.42,117.81,5.14,09-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Feb-2020 - 00:00,34.33,31.21,3.12,38.97,100.0,4.92,10-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Feb-2020 - 00:00,45.18,42.14,3.04,49.37,117.83,5.32,11-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Feb-2020 - 00:00,39.73,36.77,2.97,52.64,116.72,4.64,12-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Feb-2020 - 00:00,42.64,37.14,5.5,56.46,126.28,4.51,13-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Feb-2020 - 00:00,43.3,30.66,12.64,63.39,154.89,4.72,14-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Feb-2020 - 00:00,78.1,34.52,43.58,88.68,227.24,9.02,15-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Feb-2020 - 00:00,50.91,40.75,10.16,62.71,145.92,7.44,16-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Feb-2020 - 00:00,39.54,35.37,4.18,47.64,116.25,6.38,17-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Feb-2020 - 00:00,48.11,39.45,8.67,43.41,109.98,4.64,18-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Feb-2020 - 00:00,44.96,33.55,11.41,44.01,114.2,4.39,19-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Feb-2020 - 00:00,50.37,24.91,25.45,58.66,177.16,5.65,20-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Feb-2020 - 00:00,33.46,24.4,9.06,70.08,185.9,5.85,21-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Feb-2020 - 00:00,45.53,39.57,5.96,70.8,170.04,6.89,22-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Feb-2020 - 00:00,39.93,36.56,3.37,52.84,153.97,5.9,23-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Feb-2020 - 00:00,33.76,30.32,3.44,59.29,131.59,4.88,24-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Feb-2020 - 00:00,42.86,37.69,5.17,61.08,162.41,5.98,25-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Feb-2020 - 00:00,47.53,40.54,7.0,60.78,137.95,6.39,26-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Feb-2020 - 00:00,55.16,38.4,16.76,43.8,147.5,8.62,27-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Feb-2020 - 00:00,65.13,41.06,24.07,67.1,177.7,18.82,28-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Feb-2020 - 00:00,45.21,41.74,3.47,34.98,119.95,16.91,29-Feb-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Feb-2020 - 00:00,29.32,25.72,3.6,49.8,128.71,18.24,01-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Mar-2020 - 00:00,49.11,38.45,10.67,57.89,151.94,50.31,02-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Mar-2020 - 00:00,60.21,34.32,25.89,55.5,135.71,63.26,03-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Mar-2020 - 00:00,32.1,26.99,5.11,48.43,143.64,95.28,04-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Mar-2020 - 00:00,24.45,20.45,4.01,51.57,133.6,94.09,05-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Mar-2020 - 00:00,31.51,23.95,7.56,40.27,137.18,124.11,06-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Mar-2020 - 00:00,23.05,19.35,3.71,46.33,130.34,115.86,07-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Mar-2020 - 00:00,43.18,38.7,4.48,40.2,127.79,75.75,08-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Mar-2020 - 00:00,35.6,32.39,3.21,35.03,86.6,48.62,09-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
