from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,4.67,0.71,1.67,0.15,736.26,117.51,52.51,0.0,52.17,188.12,14.16,23.0,99.67,1.12,1.1,39.22,4.41,32.88,37.27,51.28,17.78,02-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Jan-2020 - 00:00,3.66,0.88,2.0,0.19,736.65,85.4,39.29,0.0,55.69,184.04,15.83,22.98,91.08,1.36,1.06,40.05,5.46,32.85,38.13,50.35,18.17,03-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Jan-2020 - 00:00,4.53,1.32,2.56,0.25,735.39,104.98,51.56,0.0,59.36,193.23,16.68,25.58,224.71,0.67,0.82,48.99,6.02,40.65,46.65,37.3,11.1,04-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Jan-2020 - 00:00,6.09,2.45,4.36,0.51,734.98,121.55,59.67,0.0,68.6,179.73,16.13,32.84,186.05,0.68,1.38,78.77,26.31,48.27,74.58,34.5,14.48,05-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Jan-2020 - 00:00,8.6,2.93,5.71,0.64,735.35,157.85,79.97,0.0,69.54,195.56,16.41,42.1,200.58,0.55,1.56,86.27,26.84,54.64,81.48,29.91,22.43,06-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Jan-2020 - 00:00,5.95,2.17,4.26,0.48,735.45,119.77,57.21,0.0,58.78,191.71,17.35,32.61,160.17,0.85,1.18,85.76,24.37,56.87,81.24,30.92,12.89,07-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Jan-2020 - 00:00,3.04,1.08,2.23,0.26,733.38,86.75,42.87,0.0,56.82,198.7,18.38,13.53,116.19,1.32,0.8,49.33,7.89,38.99,46.88,59.25,13.97,08-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Jan-2020 - 00:00,4.02,0.57,0.85,0.05,732.65,96.62,50.58,0.0,79.08,163.15,14.22,14.05,298.26,1.61,0.78,33.5,4.87,26.91,31.74,42.06,12.89,09-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Jan-2020 - 00:00,2.57,0.49,0.97,0.07,736.15,56.84,27.61,0.0,57.87,209.96,12.33,12.53,279.72,1.57,0.54,31.66,4.08,26.13,30.16,55.53,11.85,10-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Jan-2020 - 00:00,3.36,1.01,1.97,0.18,736.79,76.03,35.96,0.0,50.09,203.6,13.03,17.92,235.14,0.9,0.79,46.19,6.97,37.0,43.95,58.73,18.02,11-Jan-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
