from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,20.76,10.8,6.31,16.2,3.4,0.94,21.82,43.67,134.0,2.06,2.4,19.05,22.53,1.02,97.88,73.81,720.88,03-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,15.17,11.97,2.47,10.05,3.27,0.95,23.37,30.65,74.83,2.01,1.55,22.86,24.68,1.39,108.26,65.9,718.55,04-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,41.94,11.86,76.35,94.75,3.24,2.48,29.61,65.19,151.48,2.14,2.38,22.31,24.85,1.29,168.63,61.98,717.05,05-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,18.32,9.83,1.87,11.26,2.95,1.14,31.05,47.85,98.69,2.02,1.2,18.99,25.55,2.09,96.15,59.44,716.52,06-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,17.09,7.39,3.82,12.19,2.81,1.08,25.72,23.67,63.2,2.0,1.06,19.1,24.02,1.81,82.55,67.79,719.26,07-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,17.02,7.69,4.09,12.27,2.97,0.98,30.38,24.41,71.5,2.01,1.05,21.7,23.4,1.8,84.85,68.32,718.72,08-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,18.26,9.37,1.91,11.15,2.99,0.99,29.5,34.33,79.79,1.82,1.33,24.03,23.85,1.62,99.47,63.52,718.0,09-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,21.14,11.22,4.75,14.78,2.98,1.1,30.93,41.12,96.25,1.99,1.6,27.57,23.91,1.44,91.23,61.73,717.7,10-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,19.89,13.26,3.27,13.23,3.3,0.97,31.93,39.67,99.19,1.89,1.99,28.43,24.29,2.15,81.38,52.58,718.44,11-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,21.27,12.07,3.33,14.02,3.07,1.0,34.34,33.94,77.38,1.56,1.83,28.84,22.17,2.08,76.57,62.15,721.32,12-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,17.93,16.14,4.29,13.11,2.96,0.97,44.58,39.12,75.93,1.5,1.81,36.07,22.0,1.85,83.12,66.53,718.61,13-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,45.15,11.95,3.9,27.15,3.95,0.69,16.28,38.0,93.0,1.5,1.8,20.17,24.62,1.02,69.75,61.25,718.0,17-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,27.89,14.18,31.59,36.74,3.2,1.25,25.7,40.48,107.33,1.56,2.32,24.4,25.06,1.4,93.03,57.42,719.02,18-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,16.96,11.52,3.47,11.84,3.18,1.02,30.31,26.84,59.84,1.5,1.74,23.8,22.95,2.75,80.42,73.0,717.62,19-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,12.0,8.4,2.2,8.03,3.19,0.96,39.38,21.84,55.35,1.54,2.02,23.15,24.1,2.11,88.7,64.37,718.01,20-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Jan-2020 - 00:00,28.59,8.81,6.44,20.19,3.24,1.1,30.81,34.24,99.31,1.31,2.56,23.0,24.65,1.69,96.36,57.15,718.81,21-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
