from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,9.91,998.3,466.89,289.84,76.04,189.63,132.8,0.64,9.14,59.79,58.45,48.64,63.25,44.35,1.89,29.48,10.6,02-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Jan-2020 - 00:00,11.26,998.81,351.68,214.32,73.74,195.14,116.36,0.58,8.67,62.53,56.26,39.38,55.65,44.28,1.72,23.33,10.25,03-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Jan-2020 - 00:00,11.96,995.89,277.38,163.93,71.97,196.71,194.48,0.8,6.23,56.35,56.27,56.69,69.68,44.11,1.4,30.42,10.86,04-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Jan-2020 - 00:00,11.56,994.01,323.08,204.91,72.64,188.18,108.32,1.02,5.94,69.12,52.07,83.36,92.2,45.55,1.35,35.27,9.34,05-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Jan-2020 - 00:00,11.52,995.9,260.56,162.46,68.58,174.04,146.0,1.36,3.05,46.21,48.17,18.46,36.85,40.98,1.17,31.02,8.25,06-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Jan-2020 - 00:00,11.55,997.42,245.76,157.67,71.48,102.66,176.9,1.4,2.97,44.11,53.55,25.51,42.45,40.7,1.33,16.78,8.69,07-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Jan-2020 - 00:00,12.11,995.14,226.43,149.69,73.56,125.21,203.45,1.06,6.7,49.11,55.27,11.09,31.02,41.33,1.46,25.65,12.05,08-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Jan-2020 - 00:00,11.24,993.27,145.88,118.12,84.94,38.92,122.01,1.15,5.28,49.01,62.79,10.69,26.89,34.16,1.17,18.81,7.46,09-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Jan-2020 - 00:00,9.8,997.81,114.21,79.75,80.41,169.18,69.22,1.78,1.86,37.86,58.63,5.72,18.37,25.78,0.78,24.1,5.35,10-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Jan-2020 - 00:00,10.07,998.43,192.58,119.83,76.33,200.75,62.58,1.52,2.49,40.26,56.85,14.7,31.92,37.47,1.14,29.65,6.81,11-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Jan-2020 - 00:00,10.65,997.97,223.75,124.33,68.87,200.65,88.17,1.09,2.75,43.1,55.48,28.66,45.21,41.08,0.99,37.75,9.1,12-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Jan-2020 - 00:00,11.31,994.95,339.62,183.88,71.35,203.06,157.54,0.77,4.52,55.88,58.52,90.87,100.65,49.95,1.52,30.02,8.93,13-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Jan-2020 - 00:00,11.82,990.41,367.25,225.83,73.27,158.33,235.05,1.74,6.64,51.99,58.07,55.43,71.51,49.49,1.79,23.68,8.99,14-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Jan-2020 - 00:00,10.96,994.38,152.77,116.51,80.84,172.69,85.14,1.92,2.83,35.92,58.16,5.89,20.41,29.34,0.92,15.96,5.59,15-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Jan-2020 - 00:00,10.9,995.41,156.48,107.77,78.5,204.64,87.78,1.76,2.14,37.59,57.38,7.75,23.26,31.85,0.86,18.24,8.19,16-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Jan-2020 - 00:00,10.53,994.26,182.46,137.06,82.69,109.4,97.09,1.42,3.07,35.92,58.58,8.16,23.26,31.21,0.97,8.37,8.06,17-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Jan-2020 - 00:00,11.12,995.5,130.08,101.02,83.89,155.03,77.72,1.37,2.58,39.83,60.28,10.74,24.66,29.91,0.98,9.4,6.3,18-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Jan-2020 - 00:00,10.43,997.21,149.0,108.77,83.76,156.46,101.44,1.24,2.59,39.81,57.82,11.32,26.83,33.09,1.12,16.65,6.41,19-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Jan-2020 - 00:00,10.02,997.81,188.07,126.23,79.64,189.24,63.17,1.62,2.17,35.03,55.76,8.98,23.13,29.74,0.96,34.98,5.5,20-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Jan-2020 - 00:00,10.52,996.95,237.28,151.67,81.14,157.73,101.22,1.08,2.62,34.71,56.13,26.26,40.03,35.01,1.09,10.1,6.6,21-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Jan-2020 - 00:00,11.2,997.39,419.96,259.9,79.09,172.72,203.88,0.99,6.11,49.1,60.5,83.17,90.89,43.4,1.86,6.84,9.39,22-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Jan-2020 - 00:00,10.53,998.79,238.5,167.54,81.5,174.97,73.79,1.34,4.44,43.58,57.11,26.14,42.02,38.92,1.6,7.12,6.78,23-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Jan-2020 - 00:00,11.59,997.69,126.0,68.79,62.04,218.48,51.96,2.19,1.56,29.71,46.5,4.87,22.1,34.08,0.72,7.7,7.11,24-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Jan-2020 - 00:00,11.51,995.16,153.61,80.07,59.07,217.04,59.32,1.92,1.76,31.0,51.77,18.65,38.71,44.19,0.81,7.53,9.68,25-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Jan-2020 - 00:00,11.06,995.39,253.11,142.0,68.15,209.84,110.66,1.02,3.13,36.92,64.81,54.97,74.18,55.21,1.4,7.15,10.41,26-Jan-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
