from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,100.74,146.59,42.23,7.84,28.93,25.18,3.82,1.15,38.6,16.34,0.91,139.01,79.76,707.69,122.0,0.0,02-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
02-Jan-2020 - 00:00,83.31,133.93,37.94,7.68,26.51,23.9,7.29,1.03,34.39,17.49,0.99,159.91,84.62,708.45,117.95,0.0,03-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
03-Jan-2020 - 00:00,97.38,152.68,42.47,7.18,28.51,23.57,5.14,1.07,41.85,17.64,1.04,218.91,80.58,707.89,135.14,0.0,04-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
04-Jan-2020 - 00:00,95.83,159.92,50.27,15.45,39.39,22.3,6.69,1.36,40.55,15.13,1.23,170.12,82.28,707.7,148.15,0.0,05-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
05-Jan-2020 - 00:00,72.11,121.21,45.42,9.81,32.24,22.15,3.23,1.06,38.21,16.52,1.05,185.38,70.96,708.75,141.8,0.0,06-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
06-Jan-2020 - 00:00,44.76,96.36,49.28,9.66,34.17,15.21,12.99,0.92,46.89,17.86,0.66,151.74,58.51,709.09,140.46,0.0,07-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
07-Jan-2020 - 00:00,67.48,164.31,50.95,19.21,42.8,17.41,18.73,1.26,43.03,20.19,0.73,191.22,60.42,706.36,151.28,0.0,08-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
08-Jan-2020 - 00:00,74.46,155.96,33.7,4.49,21.66,21.5,7.16,0.87,56.99,20.73,1.2,218.04,74.47,703.93,137.89,0.0,09-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
09-Jan-2020 - 00:00,76.61,130.3,34.18,5.35,22.63,19.84,15.28,0.75,47.59,15.29,1.41,179.97,66.55,708.58,152.48,0.0,10-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
10-Jan-2020 - 00:00,65.44,114.05,36.37,6.94,25.07,16.44,7.07,0.81,51.84,13.34,1.22,150.19,62.69,709.73,162.58,0.0,11-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
11-Jan-2020 - 00:00,66.17,128.52,46.73,7.09,30.71,16.3,11.17,0.96,59.55,15.57,0.79,156.71,55.97,709.45,148.66,0.0,12-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
12-Jan-2020 - 00:00,72.58,147.96,56.45,25.02,50.45,19.62,13.79,1.25,48.08,18.22,0.56,186.3,51.7,707.34,151.75,0.0,13-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
13-Jan-2020 - 00:00,59.5,144.0,41.8,8.32,29.09,20.16,14.82,1.23,50.69,20.68,0.61,195.11,58.31,704.04,151.46,0.0,14-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
14-Jan-2020 - 00:00,87.01,159.88,47.14,11.51,34.51,29.15,11.26,1.41,32.77,20.62,0.79,172.53,80.35,704.64,134.31,0.01,15-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
15-Jan-2020 - 00:00,109.11,166.56,36.68,8.93,26.86,31.09,10.6,1.25,27.79,19.97,0.86,144.26,81.55,704.59,144.44,0.0,16-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
16-Jan-2020 - 00:00,131.69,194.0,31.9,7.71,23.33,31.72,10.93,1.31,19.72,17.97,0.85,229.99,86.8,704.23,69.19,0.0,17-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
17-Jan-2020 - 00:00,83.5,142.9,39.4,6.89,26.65,22.2,17.74,1.02,49.13,17.03,1.14,221.73,73.64,706.81,169.33,0.0,18-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
18-Jan-2020 - 00:00,85.14,142.5,40.57,10.93,30.56,22.64,16.67,1.13,31.92,15.39,1.47,158.18,82.09,707.61,156.89,0.0,19-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
19-Jan-2020 - 00:00,61.75,109.23,39.67,7.72,27.47,18.77,15.71,0.93,41.16,14.77,1.34,158.53,74.57,708.84,142.22,0.0,20-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
