from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,AT,RH,SR,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2020 - 00:00,18.98,2.72,1.99,30.9,32.87,0.0,320.48,155.06,16.06,0.86,3.09,169.65,,68.77,152.58,0.09,0.03,02-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Jan-2020 - 00:00,18.65,2.77,1.67,0.1,28.5,0.0,255.5,112.58,16.72,0.67,3.45,144.72,,85.81,0.53,0.07,0.02,03-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Jan-2020 - 00:00,17.64,3.11,1.46,8.26,23.06,0.0,262.31,89.14,23.38,17.68,2.83,215.79,,94.72,7.92,4.64,4.61,04-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Jan-2020 - 00:00,17.87,2.87,1.41,8.78,25.25,0.0,138.97,54.87,17.49,3.99,3.2,188.09,,86.81,50.06,0.06,0.02,05-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Jan-2020 - 00:00,23.26,2.17,1.63,11.73,23.05,0.0,207.28,90.72,10.46,,3.08,150.19,,82.45,90.72,0.07,0.02,06-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Jan-2020 - 00:00,23.35,2.16,1.92,19.19,21.51,0.0,267.26,135.77,10.34,,3.77,169.87,,79.77,143.52,0.06,0.03,07-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Jan-2020 - 00:00,23.17,2.18,3.14,20.25,25.98,0.0,387.74,231.74,10.57,,3.15,151.61,,77.83,149.48,0.01,0.09,08-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Jan-2020 - 00:00,22.39,2.28,1.65,18.88,22.35,0.0,223.17,133.95,11.62,,3.14,188.82,,73.77,159.57,0.0,0.07,09-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Jan-2020 - 00:00,21.62,2.39,1.5,22.18,2.24,0.0,227.27,120.34,12.61,0.44,3.23,167.94,,81.64,45.8,0.0,0.05,10-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Jan-2020 - 00:00,22.51,2.25,1.72,17.99,1.68,0.0,229.4,104.56,11.38,2.47,3.23,142.78,,74.86,98.12,0.0,0.06,11-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
