from date,Temp,BP,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,THC,to date,station
01-Jan-2020 - 00:00,12.04,,80.23,-0.42,121.42,0.19,75.22,388.95,2.25,601.25,26.99,25.92,35.09,34.16,54.74,284.9,886.14,02-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jan-2020 - 00:00,15.83,,76.29,-0.38,106.23,0.22,106.47,277.22,2.28,596.6,26.32,23.16,32.53,32.08,58.93,201.39,883.04,03-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jan-2020 - 00:00,14.65,,92.94,-0.34,91.87,0.27,66.46,185.21,1.69,,26.22,22.37,31.84,31.55,8.23,20.65,,04-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jan-2020 - 00:00,14.11,,88.46,0.1,191.1,0.55,92.06,93.99,2.15,,26.21,22.11,31.63,31.38,8.26,4.67,,05-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jan-2020 - 00:00,14.18,,84.03,0.87,286.79,1.03,120.0,145.0,2.14,,26.19,21.56,31.18,31.03,8.1,6.44,,06-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jan-2020 - 00:00,14.97,,72.74,0.3,279.92,0.69,142.3,213.75,2.21,500.0,30.77,26.34,37.44,31.13,18.52,353.54,517.6,07-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jan-2020 - 00:00,15.69,,80.57,-0.25,84.04,0.25,123.37,216.74,1.44,499.83,94.04,87.95,119.74,29.89,41.71,994.57,,08-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jan-2020 - 00:00,13.14,,94.79,0.25,127.34,0.58,23.66,239.96,1.42,502.32,56.79,38.16,60.73,40.86,27.15,994.0,,09-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jan-2020 - 00:00,13.33,,91.5,0.09,275.28,0.6,70.26,183.81,1.46,683.72,46.55,37.88,44.08,40.7,8.64,961.52,,10-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jan-2020 - 00:00,9.3,,92.1,1.02,293.8,1.01,130.86,163.56,1.45,,38.4,37.91,30.54,40.44,10.29,,,11-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jan-2020 - 00:00,9.74,,88.93,0.1,223.02,0.33,104.32,281.5,1.84,801.02,39.47,40.01,32.03,41.0,19.85,467.6,-7.05,12-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jan-2020 - 00:00,10.96,,86.68,0.49,248.42,0.45,134.47,298.51,2.13,794.94,37.65,40.88,32.73,42.7,75.96,500.7,,13-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jan-2020 - 00:00,10.26,,93.77,0.08,116.91,0.3,85.57,332.79,0.96,797.56,37.7,38.21,30.62,40.63,49.59,499.06,,14-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jan-2020 - 00:00,14.15,,82.16,-0.2,148.19,0.28,115.2,296.99,1.41,798.73,37.85,37.57,30.19,40.21,7.28,500.4,,15-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jan-2020 - 00:00,14.66,,94.9,-0.24,174.76,0.28,27.95,218.09,1.4,796.54,37.79,37.71,30.27,40.3,5.96,502.37,,16-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jan-2020 - 00:00,13.93,,95.0,0.48,121.08,0.37,17.7,114.04,1.43,568.07,66.14,20.27,42.89,33.96,7.19,568.45,956.37,17-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Jan-2020 - 00:00,14.46,,95.0,-0.3,140.49,0.32,24.84,65.9,1.1,304.94,56.33,3.75,33.09,19.98,11.33,571.24,876.17,18-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jan-2020 - 00:00,13.27,,95.0,0.22,254.75,0.43,24.95,93.92,1.05,303.29,56.44,3.75,32.94,19.92,8.87,571.25,874.55,19-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jan-2020 - 00:00,13.19,,93.36,0.55,298.31,0.84,50.21,60.99,0.91,299.22,56.3,3.76,33.02,19.93,7.74,572.71,871.93,20-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jan-2020 - 00:00,10.86,,93.01,0.4,252.37,0.63,114.68,130.67,0.98,299.59,56.31,3.75,32.89,20.07,10.01,570.21,869.8,21-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Jan-2020 - 00:00,11.53,,90.5,-0.32,155.85,0.18,104.88,180.41,1.24,297.34,39.5,8.5,27.14,14.06,13.6,554.67,851.86,22-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Jan-2020 - 00:00,12.76,,81.39,-0.06,267.85,0.31,159.73,191.12,1.45,295.61,14.73,11.09,16.44,5.9,11.85,574.08,869.69,23-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Jan-2020 - 00:00,13.5,,70.98,1.24,297.54,1.19,188.94,112.75,1.85,296.64,19.56,8.92,17.54,5.7,6.85,572.03,868.66,24-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Jan-2020 - 00:00,12.79,,71.94,1.34,264.51,1.27,174.64,133.7,2.17,302.33,19.23,9.59,17.9,5.99,12.25,574.34,876.68,25-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
