from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
01-Jan-2020 - 00:00,16.48,26.85,6.65,18.12,17.46,24.1,18.36,0.59,20.03,0.47,1.84,0.15,28.25,87.16,,8.15,219.59,-0.08,1.38,0.0,19.14,02-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
02-Jan-2020 - 00:00,17.11,13.28,4.93,15.03,19.1,22.38,19.01,0.48,19.05,0.42,1.36,0.06,28.44,84.43,,11.07,173.07,-0.04,0.87,0.0,20.19,03-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
03-Jan-2020 - 00:00,18.68,,4.74,14.02,20.04,22.05,18.66,0.4,15.02,0.4,1.18,0.03,27.62,82.41,,28.35,111.57,-0.01,0.63,0.0,20.51,04-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
04-Jan-2020 - 00:00,18.75,55.88,4.08,10.72,16.47,17.25,18.79,0.43,17.65,0.44,1.14,0.04,27.38,82.57,,33.83,129.07,-0.01,0.7,0.0,20.86,05-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
05-Jan-2020 - 00:00,18.39,38.64,5.11,23.88,24.3,32.34,18.79,0.59,15.07,0.49,1.33,0.07,28.62,87.97,,4.28,136.88,-0.02,0.79,0.02,19.32,06-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
06-Jan-2020 - 00:00,11.48,29.94,4.07,25.42,18.09,30.29,17.95,0.33,16.34,0.43,1.2,0.06,28.43,88.4,,9.84,230.7,-0.08,1.29,0.07,18.72,07-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
07-Jan-2020 - 00:00,17.98,40.34,4.64,16.55,18.45,23.26,18.34,0.39,22.09,0.45,1.07,0.05,28.53,87.6,,11.31,233.67,-0.08,1.38,0.09,19.01,08-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
08-Jan-2020 - 00:00,27.28,53.4,4.03,17.12,22.93,26.11,19.41,0.36,23.56,0.51,1.11,0.06,29.12,83.84,743.0,47.3,224.34,-0.04,1.19,0.0,19.14,09-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
09-Jan-2020 - 00:00,30.75,54.93,1.42,22.43,34.83,36.76,17.8,0.27,27.6,0.51,1.36,0.09,28.12,71.88,,53.79,194.55,-0.03,0.78,0.0,19.27,10-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
10-Jan-2020 - 00:00,29.83,51.07,2.07,21.35,26.73,31.58,18.68,0.17,21.73,0.46,1.35,0.1,28.66,82.52,,45.7,264.4,-0.05,1.47,0.0,18.13,11-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
11-Jan-2020 - 00:00,31.33,55.39,2.98,14.42,23.21,24.06,18.96,0.31,25.53,0.47,1.11,0.07,28.72,83.55,,46.74,244.77,-0.08,1.61,0.0,18.52,12-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
12-Jan-2020 - 00:00,57.06,88.16,4.18,24.93,37.88,40.42,20.7,0.53,22.48,0.77,1.25,0.11,28.24,85.34,,15.91,275.84,-0.03,1.53,0.0,18.51,13-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
13-Jan-2020 - 00:00,63.9,98.66,6.03,42.96,51.95,62.56,20.19,0.52,20.11,0.85,1.43,0.13,28.81,78.48,,44.59,170.57,-0.02,0.75,0.0,18.81,14-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
14-Jan-2020 - 00:00,91.05,122.55,6.4,28.9,49.53,49.84,21.55,0.61,29.15,1.48,1.49,0.94,29.45,72.82,,63.33,177.78,-0.04,1.11,0.0,18.26,15-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
15-Jan-2020 - 00:00,30.07,47.26,2.3,16.21,29.04,28.62,18.68,0.21,26.98,0.46,0.91,0.04,30.03,80.01,,60.9,150.34,-0.07,0.93,0.0,17.63,16-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
16-Jan-2020 - 00:00,23.59,38.47,3.55,18.72,31.32,31.89,18.01,0.31,24.96,0.41,0.94,0.04,29.91,75.59,,69.58,132.22,-0.03,0.67,0.0,18.88,17-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
17-Jan-2020 - 00:00,22.0,39.32,5.38,12.99,25.98,24.38,17.59,0.22,21.86,0.39,0.93,0.06,29.38,77.52,,68.75,152.5,-0.04,0.99,0.0,19.48,18-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
18-Jan-2020 - 00:00,18.39,35.2,5.02,20.22,19.29,26.69,17.23,0.29,16.45,0.4,0.95,0.04,28.8,86.59,,10.03,184.6,-0.1,1.56,0.0,18.9,19-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
19-Jan-2020 - 00:00,21.92,39.53,5.42,26.71,24.28,34.62,17.76,0.42,17.57,0.44,1.02,0.06,28.98,81.51,,53.07,196.81,-0.08,1.36,0.0,19.41,20-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
20-Jan-2020 - 00:00,27.3,47.75,6.11,25.13,31.82,37.36,17.79,0.3,24.99,0.47,1.08,0.06,28.84,72.79,,65.77,149.55,-0.06,1.14,0.0,19.55,21-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
21-Jan-2020 - 00:00,26.43,47.14,4.89,19.19,28.84,30.94,17.94,0.31,26.04,0.38,1.35,0.04,28.74,77.41,,66.83,193.95,-0.08,1.63,0.0,18.54,22-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
22-Jan-2020 - 00:00,26.2,48.59,4.85,10.59,19.52,19.0,18.53,0.27,27.61,0.41,0.87,0.01,28.72,84.44,,34.9,241.55,-0.08,1.96,0.0,18.58,23-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
23-Jan-2020 - 00:00,40.4,63.57,4.54,18.72,29.13,30.73,19.52,0.48,23.71,0.5,1.06,0.05,28.75,81.09,,64.81,229.24,-0.05,1.26,0.0,18.9,24-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
24-Jan-2020 - 00:00,37.21,62.52,10.97,26.62,39.19,42.49,18.6,0.34,27.79,0.5,1.22,0.07,28.75,62.04,,72.67,227.71,-0.04,1.31,0.0,19.39,25-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
25-Jan-2020 - 00:00,29.11,47.84,5.22,34.06,46.84,52.61,17.98,0.18,24.35,0.51,1.47,0.09,28.97,53.68,,71.72,185.57,-0.05,1.17,0.0,19.32,26-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
26-Jan-2020 - 00:00,39.39,62.88,6.52,49.64,60.22,72.4,18.81,0.4,26.55,0.48,1.21,0.09,28.94,55.03,,75.19,131.52,-0.03,0.79,0.0,20.25,27-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
27-Jan-2020 - 00:00,49.66,79.72,7.65,28.95,49.77,50.01,20.6,0.29,34.45,0.51,1.0,0.05,28.55,63.77,,83.36,138.1,-0.04,0.81,0.0,20.41,28-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
28-Jan-2020 - 00:00,46.02,72.24,9.35,5.28,22.61,14.88,21.54,0.35,35.7,0.41,0.65,0.02,28.76,71.42,,60.15,174.09,0.01,0.79,0.0,20.39,29-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
29-Jan-2020 - 00:00,37.14,62.26,6.54,7.37,24.28,17.07,20.39,0.31,28.96,0.4,0.74,0.03,28.65,73.7,,64.03,158.64,0.02,0.88,0.0,20.79,30-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
30-Jan-2020 - 00:00,31.28,61.84,5.65,9.02,31.65,22.67,19.5,0.24,29.8,0.45,0.95,0.05,28.68,65.72,,66.41,155.92,0.01,0.69,0.0,21.31,31-Jan-2020 - 00:00,"Tirumala, Tirupati - APPCB"
31-Jan-2020 - 00:00,31.4,59.94,4.77,7.72,26.28,20.24,20.22,0.21,29.75,0.4,0.91,0.04,28.52,71.7,,65.5,149.34,-0.01,0.63,0.0,20.68,01-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
01-Feb-2020 - 00:00,32.71,65.59,4.22,22.27,32.01,35.13,20.75,0.36,23.33,0.39,0.86,1.03,28.38,78.91,,39.09,150.17,-0.01,0.62,0.0,20.04,02-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
02-Feb-2020 - 00:00,38.97,66.42,7.36,27.82,33.64,40.51,27.64,0.38,24.66,0.54,3.04,0.08,28.99,77.85,,38.71,149.2,-0.06,0.66,0.0,19.4,03-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
03-Feb-2020 - 00:00,27.06,44.15,5.33,28.25,28.34,38.05,14.93,0.73,21.29,0.05,0.06,0.03,28.59,71.32,,74.53,181.51,-0.06,0.77,0.0,19.46,04-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
04-Feb-2020 - 00:00,29.16,53.26,5.72,23.86,27.01,33.77,13.35,1.45,19.5,0.03,0.1,0.02,28.76,80.15,,45.25,210.4,-0.06,0.63,0.0,19.41,05-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
05-Feb-2020 - 00:00,32.82,58.36,8.5,19.83,34.74,34.61,11.48,1.5,25.21,0.04,0.06,0.01,28.8,70.16,,73.11,115.36,-0.04,0.53,0.0,20.19,06-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
06-Feb-2020 - 00:00,22.03,48.94,4.68,9.28,26.12,21.43,10.17,1.46,26.68,0.04,0.02,0.0,28.85,70.89,,62.34,143.56,0.0,0.5,0.0,19.87,07-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
07-Feb-2020 - 00:00,21.33,50.98,5.14,7.57,20.52,17.07,10.19,0.72,27.16,0.02,0.04,0.01,28.66,75.21,,54.61,156.69,-0.0,0.67,0.0,20.11,08-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
08-Feb-2020 - 00:00,24.42,52.04,4.81,9.84,24.01,19.59,10.68,0.28,24.74,0.04,0.03,0.0,28.35,76.47,,42.64,131.23,-0.01,0.64,0.0,20.01,09-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
09-Feb-2020 - 00:00,23.66,46.43,5.18,11.89,21.34,21.03,9.87,0.29,25.29,0.0,0.01,0.0,28.72,81.44,,34.5,178.97,-0.08,1.27,0.0,19.66,10-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
10-Feb-2020 - 00:00,27.16,47.61,4.22,10.01,20.62,19.11,9.56,0.45,37.81,0.0,0.05,0.0,28.64,80.25,,44.93,215.88,-0.1,1.63,0.0,19.22,11-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
11-Feb-2020 - 00:00,26.69,43.21,5.15,8.23,18.87,16.73,9.92,0.28,34.36,0.0,0.03,0.0,28.52,82.47,,45.21,224.65,-0.1,1.99,0.0,19.23,12-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
12-Feb-2020 - 00:00,28.54,52.26,6.37,13.97,28.97,26.77,10.66,0.2,33.91,0.0,0.08,0.0,28.72,80.28,,67.29,224.78,-0.09,1.52,0.0,19.6,13-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
13-Feb-2020 - 00:00,36.81,61.06,6.54,32.16,47.7,51.52,10.67,0.25,29.8,0.01,0.05,0.0,28.52,68.57,,71.48,169.24,-0.06,1.13,0.0,19.68,14-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
14-Feb-2020 - 00:00,44.55,76.26,5.53,50.77,68.48,77.71,10.57,0.23,25.8,0.08,0.1,0.0,28.24,56.45,,105.3,163.81,-0.03,0.89,0.0,20.7,15-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
15-Feb-2020 - 00:00,37.65,67.8,8.18,49.82,71.86,78.73,10.36,0.24,28.65,0.1,0.14,0.01,28.58,50.29,,73.0,164.38,-0.03,0.95,0.0,21.16,16-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
16-Feb-2020 - 00:00,24.31,47.27,6.13,32.08,59.22,57.59,9.32,0.15,29.66,0.02,0.12,0.01,28.75,48.68,,75.84,145.64,-0.09,1.07,0.0,20.65,17-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
17-Feb-2020 - 00:00,29.66,52.05,6.84,30.79,54.71,54.13,9.76,0.36,35.96,0.03,0.05,0.0,28.61,55.0,,73.17,142.88,-0.07,0.92,0.0,20.05,18-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
18-Feb-2020 - 00:00,40.36,69.63,8.14,15.63,45.75,37.04,12.47,0.64,32.61,0.04,0.03,0.0,28.77,62.98,,93.25,141.63,-0.08,0.85,0.0,19.86,19-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
19-Feb-2020 - 00:00,44.94,77.93,6.92,22.61,45.97,42.84,13.08,0.58,45.11,0.04,0.04,0.0,28.48,71.15,,67.56,158.51,-0.05,1.01,0.0,19.59,20-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
20-Feb-2020 - 00:00,32.59,51.75,5.28,20.07,34.35,34.59,11.13,0.51,31.7,0.0,0.07,0.0,28.51,74.41,,80.42,196.91,-0.09,1.3,0.0,18.94,21-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
21-Feb-2020 - 00:00,20.97,39.48,5.94,17.07,29.32,29.46,9.99,0.5,27.33,0.0,0.03,0.2,28.56,74.22,,76.21,148.41,-0.06,1.08,0.0,19.52,22-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
22-Feb-2020 - 00:00,25.49,47.76,4.34,19.92,30.23,32.28,10.72,0.74,18.7,0.0,0.04,0.0,28.49,79.51,,56.36,201.59,-0.08,1.38,0.0,19.79,23-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
23-Feb-2020 - 00:00,30.96,48.07,4.49,16.38,37.76,33.39,10.45,0.67,26.67,0.0,0.04,0.0,28.66,80.65,,23.7,184.03,-0.08,1.17,0.0,19.7,24-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
24-Feb-2020 - 00:00,39.61,60.92,6.0,8.24,33.02,24.25,10.68,0.51,47.93,0.01,0.08,0.0,28.55,74.95,,32.77,160.68,-0.06,0.69,0.0,20.02,25-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
25-Feb-2020 - 00:00,29.21,60.02,5.59,9.38,23.3,20.02,10.12,0.67,32.73,0.0,0.0,0.0,28.51,76.55,,62.22,131.36,-0.02,0.79,0.0,20.91,26-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
26-Feb-2020 - 00:00,31.55,55.56,6.05,11.97,28.8,25.04,11.86,0.76,36.77,0.7,2.5,0.3,28.2,77.07,,45.06,164.38,-0.06,0.89,0.0,20.67,27-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
27-Feb-2020 - 00:00,49.62,78.0,7.25,12.16,33.01,27.45,12.63,0.51,26.04,0.91,2.53,0.22,28.44,77.77,,58.99,158.99,-0.07,1.08,0.0,20.45,28-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
