from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,BP,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,station
01-Jan-2020 - 00:00,0.43,16.24,1.73,9.87,9.86,4.67,85.53,-0.48,1.18,101.48,,11.9,93.17,10.71,0.0,0.18,0.0,0.0,02-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Jan-2020 - 00:00,0.43,12.69,1.52,14.38,13.45,5.9,83.9,-0.49,1.07,108.72,,14.27,159.11,20.84,0.41,0.04,0.01,0.01,03-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Jan-2020 - 00:00,0.43,13.9,1.09,15.58,13.42,6.16,85.26,-0.49,1.18,148.54,,20.43,182.57,21.98,4.72,3.71,3.71,3.71,04-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-Jan-2020 - 00:00,0.44,15.99,2.56,11.12,10.89,4.95,81.12,-0.48,1.41,173.9,,22.3,109.51,18.63,0.46,0.16,0.0,0.0,05-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-Jan-2020 - 00:00,0.46,15.02,3.07,8.46,10.91,4.57,77.4,-0.47,1.69,105.39,,11.06,126.01,6.57,0.0,0.0,0.0,0.0,06-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-Jan-2020 - 00:00,0.46,14.47,4.42,9.7,13.52,5.5,79.21,-0.48,1.5,95.11,,14.72,167.88,6.06,0.0,0.1,0.0,0.0,07-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-Jan-2020 - 00:00,0.46,28.14,4.38,7.93,11.45,5.2,74.59,-0.47,1.7,52.38,,25.58,146.04,8.82,0.09,0.0,0.0,0.0,08-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-Jan-2020 - 00:00,0.55,29.29,6.41,9.95,15.92,5.51,76.88,-0.48,1.52,60.84,,21.79,166.38,1.45,0.0,0.0,0.0,0.0,09-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-Jan-2020 - 00:00,0.91,25.04,7.5,15.68,22.76,6.03,75.55,-0.48,1.41,170.23,,26.81,188.15,2.06,0.0,0.0,0.0,0.14,10-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
10-Jan-2020 - 00:00,0.89,25.1,5.65,14.92,20.15,5.24,70.62,-0.47,1.79,119.03,,20.96,175.57,0.16,0.0,0.0,0.0,0.0,11-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-Jan-2020 - 00:00,0.92,20.91,5.43,20.85,25.27,5.88,70.76,-0.47,1.78,144.06,,26.5,180.33,2.35,0.0,0.0,0.0,0.0,12-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-Jan-2020 - 00:00,0.95,33.9,5.08,9.99,14.57,4.23,77.32,-0.47,1.71,141.71,,51.22,135.33,0.57,0.0,0.0,0.0,0.0,13-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-Jan-2020 - 00:00,0.96,33.51,6.17,13.4,19.2,4.8,73.16,-0.48,1.45,111.88,,58.8,163.83,0.61,0.0,0.0,0.0,0.0,14-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-Jan-2020 - 00:00,1.02,38.77,6.92,17.6,23.8,4.82,66.29,-0.48,1.57,132.37,,88.27,171.33,4.0,0.0,0.18,0.0,0.0,15-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-Jan-2020 - 00:00,0.91,34.86,4.29,15.47,19.02,5.18,65.32,-0.47,1.82,113.75,,31.45,194.39,0.69,0.0,0.0,0.0,0.0,16-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-Jan-2020 - 00:00,0.93,34.57,3.87,13.98,17.18,5.1,68.11,-0.46,2.07,144.98,,21.23,178.78,0.11,0.0,0.0,0.0,0.0,17-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-Jan-2020 - 00:00,0.9,26.24,3.02,13.76,15.62,4.71,79.57,-0.44,3.09,137.61,,17.32,128.72,0.15,0.0,0.0,0.0,0.0,18-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-Jan-2020 - 00:00,0.91,24.67,2.89,8.29,10.24,4.36,78.55,-0.43,3.69,55.41,,16.85,133.15,0.0,0.0,0.0,0.0,0.0,19-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
19-Jan-2020 - 00:00,0.9,25.44,3.09,8.13,10.3,4.86,72.87,-0.42,3.84,42.2,,11.87,194.28,0.1,0.0,0.0,0.0,0.0,20-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-Jan-2020 - 00:00,0.93,26.25,3.5,13.28,15.91,5.08,72.16,-0.42,3.94,96.47,,15.34,189.72,0.97,0.0,0.0,0.0,0.0,21-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-Jan-2020 - 00:00,0.92,28.43,3.87,12.89,16.07,4.17,69.28,-0.42,4.31,107.63,,20.23,174.15,1.49,0.0,0.12,0.0,0.0,22-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
22-Jan-2020 - 00:00,1.0,35.66,3.77,13.45,16.49,4.74,70.99,-0.42,4.42,111.58,,30.62,165.06,1.31,0.0,0.1,0.0,0.0,23-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-Jan-2020 - 00:00,1.0,39.11,4.33,9.09,12.73,5.69,70.38,-0.42,4.31,65.66,,40.22,195.87,0.12,0.0,0.0,0.0,0.0,24-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-Jan-2020 - 00:00,1.02,30.02,5.93,11.44,17.03,6.96,71.47,-0.43,3.97,123.64,,42.93,201.22,0.24,0.0,0.0,0.0,0.0,25-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-Jan-2020 - 00:00,1.05,28.66,5.63,18.06,23.15,3.95,71.67,-0.42,3.88,198.83,,32.55,205.04,1.6,0.0,0.0,0.0,0.0,26-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-Jan-2020 - 00:00,1.08,28.79,4.71,17.83,21.97,10.74,70.13,-0.41,4.0,176.87,,32.5,201.63,2.75,0.0,0.1,0.0,0.0,27-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Jan-2020 - 00:00,1.12,29.15,9.37,15.57,24.67,5.17,69.08,-0.44,3.2,209.9,,40.33,170.47,6.78,0.0,0.09,0.0,0.0,28-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Jan-2020 - 00:00,1.08,31.62,9.62,13.99,23.38,5.2,67.72,-0.44,3.27,181.25,,46.47,172.97,6.5,0.0,0.09,0.0,0.0,29-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-Jan-2020 - 00:00,1.06,23.15,6.85,14.75,20.95,5.44,71.74,-0.43,3.48,165.11,,44.85,180.62,5.82,0.0,0.09,0.0,0.0,30-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-Jan-2020 - 00:00,1.06,25.41,7.67,13.75,21.24,6.17,72.07,-0.42,3.99,183.54,,38.01,182.78,0.99,0.0,0.0,0.0,0.0,31-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
31-Jan-2020 - 00:00,1.05,26.73,6.91,12.56,19.18,6.66,71.51,-0.41,3.93,158.88,,24.83,176.63,0.0,0.0,0.0,0.0,0.0,01-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-Feb-2020 - 00:00,1.04,25.89,6.57,13.27,19.56,5.33,69.59,-0.42,3.98,133.75,,31.11,199.25,0.53,0.0,0.0,0.0,0.0,02-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Feb-2020 - 00:00,0.97,23.58,4.73,9.31,13.39,7.31,68.83,-0.44,3.01,78.29,,29.34,197.98,0.11,0.0,0.0,0.0,0.0,03-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Feb-2020 - 00:00,0.93,21.38,4.79,10.25,14.56,6.58,69.34,-0.44,3.04,125.98,,24.31,213.11,0.0,0.0,0.0,0.0,0.0,04-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
