from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2020 - 00:00,4.51,76.5,80.08,61.49,141.58,29.84,33.08,267.89,133.23,,13.54,170.2,17.96,147.83,0.24,15.23,27.41,4.08,9.64,7.01,02-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
02-Jan-2020 - 00:00,4.34,73.55,51.79,59.2,111.0,31.06,27.59,230.25,121.36,,14.31,142.75,19.4,129.41,0.35,18.88,25.19,2.92,5.84,2.67,03-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
03-Jan-2020 - 00:00,2.71,94.82,14.01,34.58,48.59,23.37,15.5,94.35,53.65,0.6,5.54,54.37,17.02,114.04,0.62,11.11,15.19,1.37,3.0,1.34,04-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
04-Jan-2020 - 00:00,3.3,95.51,95.23,29.53,122.04,28.85,6.01,118.06,52.44,0.2,5.28,64.87,16.86,158.15,0.25,13.54,25.76,3.33,7.3,3.94,05-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
05-Jan-2020 - 00:00,4.64,94.6,103.16,20.63,123.22,28.32,10.27,184.58,93.22,,4.76,92.46,16.45,170.87,0.26,12.83,22.23,3.63,8.16,4.72,06-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
06-Jan-2020 - 00:00,3.84,80.41,131.13,36.17,164.8,32.88,31.14,190.7,103.12,0.2,7.29,189.16,16.23,127.81,0.4,15.35,23.23,4.12,8.88,4.52,07-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
07-Jan-2020 - 00:00,3.04,83.19,37.06,41.54,78.6,23.1,39.54,197.81,105.65,,9.17,170.86,15.95,170.97,0.32,8.04,15.57,1.56,3.63,1.46,08-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
08-Jan-2020 - 00:00,1.36,79.44,117.51,44.54,161.99,29.56,36.33,228.81,124.26,,5.61,182.27,17.55,103.61,0.46,20.56,32.76,3.94,8.32,3.86,09-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
09-Jan-2020 - 00:00,1.39,85.52,68.51,65.7,134.22,13.56,18.79,158.27,88.72,0.27,6.52,95.4,18.03,138.04,0.32,21.89,23.46,3.15,6.76,2.79,10-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
10-Jan-2020 - 00:00,1.28,77.15,26.49,52.98,79.47,14.59,26.68,148.77,84.81,,10.47,159.87,17.5,72.93,0.54,8.47,14.23,1.56,3.56,1.9,11-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
11-Jan-2020 - 00:00,1.35,81.08,37.82,48.58,86.41,12.43,35.44,154.83,82.97,,9.53,159.02,15.48,93.17,0.5,6.83,11.04,1.42,3.33,1.75,12-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
12-Jan-2020 - 00:00,1.28,77.73,38.36,54.82,93.18,12.53,40.08,146.66,86.65,0.2,7.42,195.33,16.14,123.92,0.42,6.56,9.82,1.37,3.14,1.5,13-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
13-Jan-2020 - 00:00,1.14,74.73,79.96,74.37,92.62,16.43,45.45,178.39,96.36,,7.41,189.72,16.3,183.67,0.24,9.3,15.1,2.76,6.43,2.89,14-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
14-Jan-2020 - 00:00,1.58,75.82,134.08,117.45,208.66,21.62,36.21,285.37,171.67,,8.71,182.67,17.37,173.56,0.18,27.46,47.45,7.59,17.22,12.66,15-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
15-Jan-2020 - 00:00,2.1,76.49,84.41,141.49,165.12,16.27,46.76,329.89,189.14,,12.8,169.87,18.67,130.03,0.21,59.81,67.17,11.08,24.55,14.34,16-Jan-2020 - 00:00,"Victoria, Kolkata - WBPCB"
