from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
01-Jan-2020 - 00:00,29.46,57.78,19.4,5.32,14.65,7.96,46.25,1.22,16.53,0.06,0.09,24.72,1.08,135.48,62.5,728.51,02-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
02-Jan-2020 - 00:00,11.48,34.12,17.34,4.84,13.16,7.58,36.0,1.13,12.66,0.02,0.04,25.37,0.72,137.57,58.74,729.57,03-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
03-Jan-2020 - 00:00,19.94,53.35,21.99,8.68,18.75,7.37,28.72,1.84,12.65,0.03,0.08,25.64,0.6,171.55,57.7,728.3,04-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
04-Jan-2020 - 00:00,37.98,82.72,23.42,12.31,22.45,9.2,26.13,2.52,16.51,0.07,0.16,25.01,0.56,201.82,58.18,726.81,05-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
05-Jan-2020 - 00:00,35.35,67.55,19.15,10.02,18.3,9.43,26.98,1.73,17.68,0.05,0.14,25.68,0.78,166.97,55.65,726.47,06-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
06-Jan-2020 - 00:00,16.8,41.03,13.07,1.71,8.33,7.47,26.65,0.55,17.24,0.01,0.05,25.4,1.6,115.86,58.82,728.4,07-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
07-Jan-2020 - 00:00,8.76,32.72,13.48,2.98,9.55,6.87,23.37,0.77,16.53,0.02,0.1,25.56,1.4,130.97,53.56,728.27,08-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
08-Jan-2020 - 00:00,21.1,45.34,22.72,7.16,17.91,7.46,26.1,1.56,15.73,0.02,0.08,25.28,0.66,166.79,52.46,727.53,09-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
09-Jan-2020 - 00:00,35.74,74.67,28.89,11.32,24.57,9.11,26.47,2.08,15.4,0.06,0.17,24.94,0.58,177.02,54.2,727.42,10-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
10-Jan-2020 - 00:00,28.81,69.04,17.52,3.4,12.08,9.64,25.74,0.81,24.62,0.05,0.25,24.78,1.43,121.64,50.6,727.32,11-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
11-Jan-2020 - 00:00,19.03,57.04,16.36,2.29,10.56,9.53,24.38,0.39,26.15,0.02,0.11,24.1,1.45,118.39,48.61,728.58,12-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
12-Jan-2020 - 00:00,29.19,66.81,25.82,15.26,26.14,9.56,23.35,1.36,19.61,0.06,0.27,23.61,0.95,156.95,53.51,727.97,13-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
13-Jan-2020 - 00:00,51.69,100.33,30.71,12.28,26.3,10.55,24.31,1.13,35.39,0.11,0.31,24.13,0.62,178.02,55.12,726.44,14-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
14-Jan-2020 - 00:00,48.78,97.15,28.11,4.41,18.56,9.29,23.58,0.55,33.46,0.08,0.24,24.82,0.79,164.14,49.3,726.07,15-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
15-Jan-2020 - 00:00,40.16,76.36,25.48,4.92,17.53,10.69,24.67,0.59,,0.06,0.19,23.99,0.92,143.05,45.77,726.67,16-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
16-Jan-2020 - 00:00,40.77,72.88,25.39,8.07,19.69,12.14,24.04,0.79,35.05,0.06,0.14,23.99,0.92,162.12,50.75,726.8,17-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
17-Jan-2020 - 00:00,26.77,64.03,25.91,14.96,25.42,11.17,21.93,1.29,26.72,0.06,0.12,24.44,0.77,164.83,48.12,727.0,18-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
18-Jan-2020 - 00:00,15.62,42.94,16.55,7.25,14.7,9.78,23.01,0.77,13.36,0.03,0.11,24.75,1.44,132.22,59.89,726.91,19-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
19-Jan-2020 - 00:00,5.62,25.65,6.97,1.1,4.6,8.31,20.68,0.29,12.8,0.0,0.02,26.07,1.57,124.82,49.95,727.46,20-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
20-Jan-2020 - 00:00,14.5,41.53,10.66,3.01,7.63,8.81,21.06,0.4,23.17,0.01,0.05,26.01,1.17,140.64,48.42,728.23,21-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
21-Jan-2020 - 00:00,26.05,63.28,16.43,4.22,12.02,9.68,23.68,0.52,24.32,0.03,0.16,25.24,1.4,142.64,45.66,729.17,22-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
22-Jan-2020 - 00:00,21.8,49.08,10.15,4.52,8.69,10.76,20.8,0.52,21.72,0.01,0.11,24.84,1.55,126.3,51.03,729.68,23-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
23-Jan-2020 - 00:00,28.12,59.11,11.44,4.04,9.27,9.88,22.32,0.52,20.24,0.04,0.17,25.29,1.67,118.89,52.5,728.74,24-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
24-Jan-2020 - 00:00,29.67,61.48,21.68,8.76,18.34,10.8,22.62,0.84,17.59,0.04,0.21,25.13,1.19,143.73,43.32,728.34,25-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
25-Jan-2020 - 00:00,31.81,79.01,26.4,17.06,27.93,11.5,27.6,1.49,17.6,0.06,0.23,24.3,0.96,164.34,35.19,728.27,26-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
26-Jan-2020 - 00:00,37.73,85.05,36.94,18.11,34.37,13.3,24.16,1.57,13.19,0.11,0.3,24.49,0.85,155.31,35.75,727.28,27-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
27-Jan-2020 - 00:00,32.57,66.42,22.78,10.86,20.95,13.46,23.61,1.03,37.2,0.06,0.12,25.13,1.13,166.8,40.64,726.91,28-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
28-Jan-2020 - 00:00,46.76,79.43,25.55,10.68,22.26,13.09,25.9,1.02,33.23,0.08,0.23,25.21,0.91,215.05,48.16,727.41,29-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
29-Jan-2020 - 00:00,38.79,83.17,32.33,22.59,35.56,9.96,27.96,1.9,22.95,0.07,0.18,25.34,0.73,195.22,44.59,728.09,30-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
30-Jan-2020 - 00:00,36.75,84.69,30.58,20.87,32.7,12.04,25.56,1.73,19.96,0.06,0.22,25.28,0.83,216.2,43.33,727.23,31-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
31-Jan-2020 - 00:00,46.55,95.56,32.56,12.5,27.15,12.26,33.97,1.13,16.62,0.07,0.24,24.54,0.79,167.44,46.87,726.1,01-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
