from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,117.05,200.09,54.15,41.98,96.13,6.18,6.91,1.3,43.39,2.6,2.88,7.15,20.52,69.83,,85.65,0.56,140.81,02-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Jan-2020 - 00:00,119.55,188.04,44.76,8.35,53.11,8.62,4.74,1.05,46.93,1.86,1.71,4.09,21.7,75.06,,90.61,0.67,145.09,03-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Jan-2020 - 00:00,103.62,175.46,43.97,20.75,64.72,7.73,4.66,1.05,42.83,2.0,1.89,4.29,21.01,72.99,,114.19,0.75,140.95,04-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Jan-2020 - 00:00,104.79,166.22,41.64,9.44,51.08,7.79,4.82,0.96,48.71,1.64,1.3,2.88,20.38,67.93,,110.48,0.8,145.72,05-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Jan-2020 - 00:00,102.12,180.87,46.61,26.97,73.58,7.11,5.29,1.14,31.16,2.21,1.94,5.26,22.05,68.59,,102.37,0.68,133.72,06-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Jan-2020 - 00:00,71.7,155.06,45.74,19.36,65.1,8.27,5.69,0.98,28.52,1.37,1.42,3.39,24.23,66.37,,106.53,0.96,158.0,07-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Jan-2020 - 00:00,104.32,202.83,43.39,71.66,115.02,9.13,6.02,1.51,27.12,3.42,3.35,8.8,24.17,75.36,,119.23,0.54,151.01,08-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Jan-2020 - 00:00,80.3,152.08,37.33,28.74,66.07,12.02,3.76,0.84,28.14,1.3,1.23,2.86,23.49,73.56,,99.06,0.72,151.35,09-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Jan-2020 - 00:00,70.48,155.93,44.98,17.26,62.24,9.22,4.51,0.64,34.63,1.53,1.37,2.71,21.5,64.77,,101.56,0.75,155.37,10-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Jan-2020 - 00:00,75.04,174.46,57.4,38.8,96.19,16.39,5.33,0.86,29.3,1.82,2.19,5.07,23.06,62.86,,110.9,0.77,139.1,11-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Jan-2020 - 00:00,86.02,199.27,68.29,43.92,114.23,38.76,6.04,0.97,24.79,1.77,2.26,5.23,24.72,65.26,,108.63,0.8,150.28,12-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Jan-2020 - 00:00,,287.01,39.87,89.92,128.71,46.99,7.38,1.32,23.74,3.35,3.82,9.88,24.46,74.57,,111.27,0.6,141.62,13-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Jan-2020 - 00:00,36.52,82.97,36.99,10.67,47.66,36.63,3.47,0.57,21.76,1.07,0.62,1.95,23.95,81.82,,107.22,0.65,161.8,14-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Jan-2020 - 00:00,36.49,81.09,31.3,11.77,43.06,25.33,3.44,0.45,20.49,1.4,0.77,2.2,22.41,81.09,,106.45,0.76,146.57,15-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Jan-2020 - 00:00,30.44,89.18,37.83,11.04,48.83,17.9,3.69,0.33,36.64,0.92,0.72,2.03,21.52,61.17,,118.63,0.92,163.44,16-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Jan-2020 - 00:00,34.84,92.5,42.6,15.07,57.7,18.3,3.28,0.36,30.7,1.37,1.36,3.01,19.22,65.26,,94.87,0.92,144.18,17-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Jan-2020 - 00:00,65.69,129.88,52.36,22.14,74.49,19.99,3.54,0.53,34.05,1.81,1.96,3.92,18.03,60.77,,105.89,0.83,168.31,18-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Jan-2020 - 00:00,107.26,163.79,71.82,19.5,91.32,26.92,3.53,0.8,36.92,2.55,2.27,4.08,20.38,67.0,,105.42,0.62,171.2,19-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Jan-2020 - 00:00,112.56,162.85,60.01,40.93,100.94,31.84,4.13,1.07,33.07,3.14,3.59,6.52,21.95,71.85,,103.95,0.58,137.69,20-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Jan-2020 - 00:00,99.93,176.73,54.62,66.9,121.49,39.01,5.47,1.29,44.38,2.81,3.21,7.99,23.17,71.83,,105.67,0.64,141.64,21-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Jan-2020 - 00:00,105.5,169.73,50.23,93.91,143.25,40.73,5.99,1.47,28.82,3.2,6.03,12.72,22.61,73.5,,107.23,0.66,147.68,22-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Jan-2020 - 00:00,89.32,137.28,45.72,112.93,146.91,39.36,7.09,1.41,32.58,3.99,5.06,11.69,23.54,69.37,,114.43,0.64,150.42,23-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Jan-2020 - 00:00,95.62,177.32,52.37,34.99,86.85,30.71,6.36,0.99,24.39,2.62,3.25,6.86,24.63,65.96,,91.08,0.74,140.78,24-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Jan-2020 - 00:00,87.02,163.63,46.64,35.48,82.13,29.49,14.3,0.95,18.83,2.43,2.88,5.18,24.74,65.93,,104.9,0.67,148.22,25-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Jan-2020 - 00:00,102.15,193.54,43.19,29.42,72.48,31.94,32.17,1.07,23.23,2.62,3.32,6.21,24.61,68.45,,102.38,0.68,151.76,26-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Jan-2020 - 00:00,152.7,205.88,40.64,35.37,75.86,34.48,32.54,1.31,23.55,2.98,3.63,6.98,24.12,73.61,,101.7,0.59,152.73,27-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Jan-2020 - 00:00,45.49,74.46,21.5,7.64,29.14,23.84,30.73,0.49,21.35,1.08,0.54,1.68,23.06,78.25,,97.99,0.67,157.02,28-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Jan-2020 - 00:00,26.11,69.14,19.19,20.19,39.38,20.66,17.93,0.41,15.02,0.97,0.91,2.11,22.73,75.27,,90.49,0.74,137.39,29-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Jan-2020 - 00:00,18.85,95.67,28.75,10.27,39.0,14.66,3.2,0.24,21.55,0.56,0.45,1.24,20.94,66.11,,92.25,0.97,154.15,30-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-Jan-2020 - 00:00,62.08,155.77,46.97,30.81,77.78,20.3,5.43,0.66,26.89,1.47,1.68,3.71,20.3,63.15,,97.46,0.77,157.85,31-Jan-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
31-Jan-2020 - 00:00,67.98,147.77,46.78,22.83,69.59,18.94,5.79,0.64,29.81,1.51,1.28,3.01,20.72,66.59,,98.72,0.76,151.7,01-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Feb-2020 - 00:00,82.1,158.19,56.53,37.06,93.59,23.71,5.48,0.9,26.3,1.83,2.0,4.13,21.41,69.4,,107.32,0.67,146.87,02-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Feb-2020 - 00:00,93.18,199.91,48.07,62.1,107.73,30.02,7.02,1.21,28.54,2.62,2.8,6.24,22.86,72.29,,106.2,0.66,134.98,03-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Feb-2020 - 00:00,101.92,181.2,46.16,28.73,74.47,25.85,4.8,0.96,23.17,1.91,1.72,4.4,22.29,81.02,,130.41,0.61,144.94,04-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Feb-2020 - 00:00,83.0,126.49,43.52,7.1,50.62,19.81,5.42,0.61,33.72,1.3,1.52,2.32,22.48,70.72,,116.91,0.82,153.79,05-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Feb-2020 - 00:00,76.7,163.15,49.92,32.61,82.9,23.55,6.66,0.78,26.32,1.75,2.11,3.85,21.95,58.24,,124.44,0.73,143.7,06-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Feb-2020 - 00:00,45.6,107.64,38.53,6.06,44.6,15.84,5.7,0.42,30.5,1.29,1.91,3.23,22.01,59.51,,107.38,0.89,155.02,07-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Feb-2020 - 00:00,46.28,120.73,45.38,11.09,56.47,16.24,6.83,0.48,25.36,1.69,2.96,5.86,20.73,57.71,,111.79,0.81,147.08,08-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
