from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,10.63,998.63,448.2,362.84,80.05,97.79,68.01,1.34,8.13,27.35,45.0,45.88,45.7,15.58,2.27,22.89,20.93,02-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Jan-2020 - 00:00,13.41,998.36,421.57,332.21,78.54,97.63,53.94,1.02,9.07,38.87,50.4,47.81,47.6,16.21,2.31,14.96,18.21,03-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Jan-2020 - 00:00,14.84,996.6,398.69,294.0,78.17,109.05,164.45,1.13,6.38,35.02,45.47,48.24,46.42,13.33,3.35,13.06,17.47,04-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Jan-2020 - 00:00,14.94,995.63,390.97,272.01,74.21,83.87,274.77,1.14,8.27,45.45,52.03,27.1,31.95,18.52,2.38,18.85,14.28,05-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Jan-2020 - 00:00,14.93,996.14,292.04,206.46,65.95,111.14,226.19,1.03,5.36,16.61,48.11,7.69,14.43,15.34,1.02,28.76,12.99,06-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Jan-2020 - 00:00,14.63,997.09,264.52,177.75,72.14,52.42,178.31,0.94,5.76,21.12,45.18,12.58,18.98,16.39,1.18,11.3,13.89,07-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Jan-2020 - 00:00,15.2,994.84,213.67,148.67,81.65,57.08,77.93,0.99,4.6,24.65,36.01,9.54,14.56,12.75,1.14,17.4,35.04,08-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Jan-2020 - 00:00,13.71,992.74,168.5,146.0,96.8,19.88,143.91,1.07,4.61,23.36,31.46,9.59,12.82,9.39,1.02,9.3,9.6,09-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Jan-2020 - 00:00,11.2,997.66,142.79,100.88,85.38,106.36,283.46,0.97,3.56,16.37,22.74,6.25,8.82,6.99,0.58,16.75,9.03,10-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Jan-2020 - 00:00,11.86,997.76,236.1,150.77,78.35,137.2,275.02,1.0,6.26,29.83,21.55,13.7,19.37,15.43,1.21,20.28,9.94,11-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Jan-2020 - 00:00,13.24,997.53,269.44,165.69,64.53,133.04,251.5,0.79,5.69,25.53,24.24,14.76,20.95,16.77,1.65,24.85,13.19,12-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Jan-2020 - 00:00,14.16,994.49,376.7,259.67,71.03,130.59,220.57,1.08,8.59,46.0,26.96,28.01,33.58,20.19,2.72,11.52,14.41,13-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Jan-2020 - 00:00,14.85,990.12,362.12,250.0,79.49,71.64,111.8,1.1,7.35,35.62,36.66,29.71,38.99,27.77,2.14,17.36,14.06,14-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Jan-2020 - 00:00,13.72,993.7,206.96,155.02,85.66,96.52,297.5,0.97,4.69,15.24,55.08,20.87,47.0,56.4,1.09,10.22,13.07,15-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Jan-2020 - 00:00,13.88,994.73,196.31,129.1,80.87,119.02,285.85,0.89,5.1,16.33,46.67,26.05,78.19,107.09,0.83,15.92,19.58,16-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Jan-2020 - 00:00,12.96,993.55,228.65,175.67,87.34,62.07,237.22,0.94,6.45,22.99,43.2,35.1,67.33,72.8,1.23,6.07,16.75,17-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Jan-2020 - 00:00,13.95,994.81,150.88,109.23,91.42,103.06,248.22,1.06,4.73,21.38,38.69,17.88,36.94,42.04,0.86,8.45,12.63,18-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Jan-2020 - 00:00,12.6,996.62,225.04,153.04,90.49,96.75,241.31,0.78,6.81,26.31,44.64,23.11,47.07,53.08,1.24,9.82,13.81,19-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Jan-2020 - 00:00,11.55,997.3,221.29,157.08,84.64,131.35,265.56,0.98,4.28,16.82,49.51,12.96,35.12,46.17,0.85,18.58,13.23,20-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Jan-2020 - 00:00,12.23,996.29,282.15,184.52,89.09,81.49,267.27,1.15,6.25,27.63,49.75,41.95,62.37,52.96,1.83,16.08,11.89,21-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Jan-2020 - 00:00,13.7,997.02,391.1,246.92,86.92,107.29,114.94,1.29,6.6,45.94,59.85,70.01,88.9,59.81,2.02,14.19,15.73,22-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
22-Jan-2020 - 00:00,13.14,998.17,330.85,235.5,87.16,124.52,227.45,1.09,8.66,35.19,51.73,39.62,62.83,57.38,1.84,9.94,11.47,23-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Jan-2020 - 00:00,14.94,996.96,162.48,78.79,55.57,152.56,271.42,0.99,3.35,19.15,38.4,6.38,27.57,42.04,0.6,36.72,11.99,24-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Jan-2020 - 00:00,14.93,994.47,187.75,96.27,48.92,152.47,265.1,1.1,4.41,25.73,34.48,10.57,39.03,57.18,0.98,39.85,13.51,25-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Jan-2020 - 00:00,13.84,994.79,275.15,171.81,66.32,132.05,277.29,0.96,6.83,30.54,44.94,37.72,72.53,78.54,1.58,17.79,15.38,26-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Jan-2020 - 00:00,14.36,993.0,384.9,271.06,75.12,131.17,250.62,0.56,8.54,29.28,54.19,65.43,87.07,63.39,2.47,25.74,13.48,27-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Jan-2020 - 00:00,15.71,990.57,376.98,244.42,71.43,75.29,152.34,0.64,7.81,33.93,58.13,133.16,153.74,84.92,3.13,12.95,19.21,28-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Jan-2020 - 00:00,16.08,989.36,155.41,115.11,80.15,94.73,117.63,0.92,3.19,13.89,43.84,14.02,38.35,50.6,0.89,17.08,15.09,29-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Jan-2020 - 00:00,15.54,995.13,151.37,96.98,73.6,142.36,246.17,1.01,4.1,20.44,37.14,17.52,40.39,49.23,1.05,20.2,14.61,30-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Jan-2020 - 00:00,15.36,995.87,155.73,89.83,70.63,148.01,283.0,0.97,3.34,23.47,35.21,9.72,31.85,44.99,1.21,25.11,18.19,31-Jan-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
