from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
01-Jan-2020 - 00:00,53.33,102.68,43.53,49.34,6.04,0.79,67.95,149.5,3.51,1.02,0.98,5.23,22.49,19.11,0.01,71.31,54.36,0.0,87.0,0.77,,02-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Jan-2020 - 00:00,53.42,114.64,52.68,61.22,6.7,0.94,68.82,143.05,4.42,0.69,1.52,6.21,22.89,19.3,-0.0,123.64,64.85,0.0,127.77,0.62,,03-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Jan-2020 - 00:00,39.25,84.48,44.87,45.59,4.97,0.56,52.49,97.66,2.73,0.45,0.95,4.14,23.66,18.49,-0.01,76.34,71.96,0.0,50.18,1.04,999.9,04-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Jan-2020 - 00:00,34.86,68.48,29.3,33.03,3.93,0.79,37.63,59.71,2.4,0.29,0.71,3.47,26.11,17.52,0.0,78.32,82.32,0.07,131.5,0.74,998.44,05-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Jan-2020 - 00:00,43.32,136.09,29.08,91.64,4.09,1.01,94.64,154.55,5.37,0.63,1.56,6.05,16.85,15.63,0.01,88.42,92.34,0.0,221.93,0.31,998.15,06-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Jan-2020 - 00:00,48.52,130.39,32.26,81.69,4.5,0.86,129.25,228.4,5.29,0.45,1.38,6.15,18.04,15.11,0.0,93.01,89.81,0.0,158.86,0.57,999.7,07-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Jan-2020 - 00:00,49.22,118.49,33.77,69.27,4.87,0.9,86.79,151.01,4.75,0.32,1.41,5.08,24.9,16.46,0.01,156.31,80.64,0.0,231.52,0.34,998.57,08-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Jan-2020 - 00:00,50.56,135.27,36.31,85.74,4.94,1.04,104.87,169.44,5.24,0.3,1.86,6.57,22.98,17.69,0.01,145.65,76.95,0.0,181.8,0.36,998.87,09-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Jan-2020 - 00:00,42.1,78.46,34.46,36.6,5.32,0.78,75.19,120.47,3.58,0.23,1.01,4.31,24.43,18.68,0.01,152.49,75.02,0.0,200.02,0.36,998.53,10-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Jan-2020 - 00:00,33.9,79.25,37.88,45.37,4.57,0.78,109.52,157.72,3.72,0.18,0.87,3.81,20.84,16.61,0.01,113.6,88.18,0.0,196.11,0.32,998.71,11-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Jan-2020 - 00:00,25.24,36.38,29.33,11.15,3.87,0.71,84.66,119.31,3.14,0.07,0.32,2.85,22.05,16.46,0.01,147.34,89.2,0.0,221.94,0.37,999.14,12-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
