from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,116.59,170.31,52.31,38.88,91.19,11.4,11.25,1.04,66.21,9.23,10.29,10.24,22.36,68.72,,224.9,0.77,171.59,02-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
02-Jan-2020 - 00:00,124.65,166.14,50.48,5.64,56.12,11.59,5.7,0.75,71.53,7.34,7.26,11.88,23.71,71.99,,229.3,0.88,171.82,03-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
03-Jan-2020 - 00:00,101.95,144.73,49.62,10.43,60.05,11.12,6.86,0.75,61.77,6.62,10.35,10.37,22.97,70.0,,222.78,1.0,179.83,04-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
04-Jan-2020 - 00:00,90.79,129.37,45.26,7.31,52.57,11.06,8.88,0.63,72.93,10.72,11.06,8.23,22.33,65.36,,228.05,1.22,191.09,05-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
05-Jan-2020 - 00:00,94.37,145.55,47.14,12.96,60.1,14.12,9.93,0.73,63.09,7.84,11.06,9.87,24.0,66.75,,229.49,1.08,146.58,06-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
06-Jan-2020 - 00:00,66.59,114.48,44.87,8.43,53.3,16.3,8.39,0.55,59.66,8.6,7.76,9.99,26.14,65.07,,228.15,1.25,159.82,07-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
07-Jan-2020 - 00:00,106.79,166.78,26.99,61.53,88.32,17.33,10.42,1.04,41.84,8.0,9.62,9.74,25.48,78.13,,219.75,0.8,201.02,08-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
08-Jan-2020 - 00:00,66.0,94.46,35.42,5.0,40.43,15.02,6.8,0.5,62.82,7.88,9.81,9.05,25.49,72.64,,236.69,1.11,207.92,09-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
09-Jan-2020 - 00:00,65.78,112.52,51.24,11.21,62.45,12.15,11.57,0.6,58.45,8.41,11.48,13.45,23.35,65.4,,239.26,1.26,199.98,10-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
10-Jan-2020 - 00:00,70.14,128.14,47.0,12.88,59.88,13.34,13.83,0.64,52.25,12.98,17.38,22.76,24.76,63.69,,239.91,1.04,159.02,11-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
