from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
01-Jan-2020 - 00:00,64.78,44.95,13.07,79.9,25.76,70.46,1.4,308.9,252.93,3.04,12.13,13.81,30.05,743.0,59.18,0.0,2.02,156.88,57.49,02-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Jan-2020 - 00:00,73.65,47.88,10.72,92.43,52.7,65.91,1.52,274.78,203.02,2.9,9.95,16.7,29.72,742.93,55.5,0.0,1.55,176.38,59.06,03-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Jan-2020 - 00:00,63.61,58.98,30.82,87.24,40.23,56.98,1.31,171.24,120.97,1.94,6.31,16.79,30.39,742.34,59.54,0.0,1.28,148.08,60.72,04-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Jan-2020 - 00:00,88.12,97.47,62.11,102.5,22.0,72.55,1.2,255.16,203.01,2.43,13.76,15.97,30.93,742.12,62.3,0.01,0.87,215.49,55.16,05-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Jan-2020 - 00:00,68.27,45.78,11.52,57.67,24.83,63.0,1.22,238.49,179.06,1.62,11.1,14.7,29.5,742.28,59.4,0.0,2.43,275.02,40.41,06-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Jan-2020 - 00:00,57.78,38.28,9.4,58.54,24.22,39.27,0.76,222.13,162.9,1.73,11.87,14.9,30.2,742.58,60.12,0.0,1.97,235.44,28.11,07-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Jan-2020 - 00:00,28.86,17.2,3.56,69.3,15.2,39.27,1.36,153.85,127.99,1.57,6.31,15.51,28.02,742.1,65.69,0.0,2.71,129.26,33.69,08-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Jan-2020 - 00:00,22.15,13.8,4.65,80.45,11.61,19.4,1.44,172.93,154.46,1.73,5.31,14.93,31.2,742.0,71.53,0.03,2.22,167.11,17.83,09-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Jan-2020 - 00:00,40.93,30.55,10.79,46.09,27.03,54.56,0.88,138.72,109.64,1.08,6.84,12.99,29.48,743.0,64.66,0.0,3.53,282.04,76.02,10-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Jan-2020 - 00:00,49.07,35.89,12.48,46.54,18.6,53.54,1.7,192.43,132.16,1.52,14.43,12.75,29.99,742.73,65.32,0.0,2.76,284.81,62.6,11-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
