from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,751.92,180.41,61.34,0.0,125.06,0.73,7.69,1.54,5.85,0.97,1.07,8.63,12.94,32.92,45.85,52.03,7.65,02-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jan-2018 - 00:00,752.69,207.47,68.53,0.0,132.47,0.56,8.27,1.56,5.52,1.5,1.06,8.63,13.34,33.44,46.78,54.13,11.48,03-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jan-2018 - 00:00,753.46,250.56,88.33,0.0,163.56,0.48,13.81,3.43,11.48,5.27,1.48,10.45,24.84,45.91,70.75,37.94,11.17,04-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jan-2018 - 00:00,752.91,163.78,59.02,0.0,124.96,0.46,8.86,1.31,5.24,1.86,0.65,8.33,16.92,30.4,46.45,56.7,5.58,05-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jan-2018 - 00:00,752.5,144.3,60.89,,86.9,0.66,7.26,0.97,3.6,1.05,1.08,7.48,10.82,23.35,34.16,66.41,9.35,06-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jan-2018 - 00:00,752.0,180.63,67.1,0.0,158.19,0.84,10.24,2.0,6.56,2.41,1.2,9.05,17.73,34.62,52.35,40.87,8.8,07-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jan-2018 - 00:00,752.99,154.26,59.91,0.0,143.07,0.83,8.35,1.97,6.23,1.92,1.03,8.07,15.97,30.1,46.07,51.81,22.29,08-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jan-2018 - 00:00,754.46,186.92,63.85,0.0,145.77,0.52,10.65,3.45,10.33,3.64,1.5,9.83,25.76,43.5,69.26,28.37,11.24,09-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jan-2018 - 00:00,755.95,197.14,71.79,0.0,136.49,0.56,10.26,4.03,12.42,5.26,1.66,9.83,24.96,40.09,65.05,48.83,8.32,10-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jan-2018 - 00:00,755.99,199.18,69.5,0.0,185.53,0.5,11.75,4.51,15.14,5.71,0.96,10.51,28.0,43.97,71.97,33.06,9.86,11-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jan-2018 - 00:00,755.12,181.0,60.36,0.0,221.68,0.54,10.55,5.8,11.56,6.65,0.0,14.87,26.89,54.0,80.85,22.37,13.28,12-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jan-2018 - 00:00,754.18,216.46,78.75,0.0,201.61,0.45,4.95,1.32,4.12,1.33,0.0,38.86,48.6,42.3,90.85,27.58,12.6,13-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jan-2018 - 00:00,754.35,202.05,73.74,0.0,159.73,0.34,3.64,1.08,3.71,0.62,0.0,40.96,76.36,56.27,132.64,27.14,9.08,14-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jan-2018 - 00:00,753.55,200.84,74.51,0.0,229.83,0.69,3.71,0.59,2.11,0.4,0.0,21.21,45.12,27.94,63.58,41.09,11.55,15-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jan-2018 - 00:00,754.32,162.21,62.78,0.0,197.82,0.55,3.28,0.87,2.77,0.45,0.0,38.28,52.93,8.05,53.4,29.5,9.35,16-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jan-2018 - 00:00,757.03,118.45,52.64,0.0,188.58,0.49,1.77,0.43,1.81,0.34,0.0,48.11,25.5,16.94,42.44,46.87,4.2,17-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jan-2018 - 00:00,762.73,83.45,46.89,0.0,106.86,0.73,0.83,0.08,0.29,0.05,0.0,32.76,14.8,15.21,30.78,71.96,7.37,18-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jan-2018 - 00:00,763.74,159.8,64.74,0.0,142.4,0.62,2.65,0.84,2.53,0.36,0.0,37.43,27.9,12.91,40.44,46.3,11.02,19-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jan-2018 - 00:00,764.31,143.45,58.33,0.0,125.44,0.81,1.56,0.38,1.58,0.16,0.0,38.23,28.09,14.71,42.79,41.74,7.28,20-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jan-2018 - 00:00,764.04,171.42,63.58,0.0,175.4,0.66,1.93,0.41,1.45,0.13,0.0,28.95,15.78,18.0,33.76,50.6,9.98,21-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jan-2018 - 00:00,758.24,140.07,59.33,0.0,157.23,0.29,1.7,0.21,0.8,0.11,0.0,35.25,23.12,12.37,34.0,42.9,7.42,22-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jan-2018 - 00:00,761.01,149.21,51.95,0.0,129.91,0.85,1.26,3.31,3.55,0.52,0.61,19.46,13.02,17.99,30.97,56.7,11.05,23-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jan-2018 - 00:00,759.91,137.61,49.72,0.01,180.23,0.85,1.1,4.94,5.3,4.13,0.62,18.22,11.59,15.45,26.82,44.52,7.8,24-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jan-2018 - 00:00,762.43,142.93,51.46,0.0,235.19,0.89,1.24,0.23,0.74,0.38,0.91,29.21,12.63,13.67,26.3,59.79,7.62,25-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jan-2018 - 00:00,762.22,129.14,50.05,0.0,172.85,0.71,2.32,0.51,1.74,0.86,1.32,32.68,30.43,14.22,33.69,40.14,5.66,26-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
