from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,13.18,733.0,619.0,481.62,71.69,160.22,22.05,140.8,0.32,3.38,10.6,7.3,115.81,80.43,89.52,289.06,27.43,21.63,02-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Jan-2018 - 00:00,11.63,733.0,470.33,359.67,71.9,160.34,23.47,197.44,0.34,3.63,8.94,4.84,78.95,64.06,83.81,240.51,33.64,23.5,03-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Jan-2018 - 00:00,12.41,733.0,488.92,287.71,67.28,167.41,14.9,248.7,0.32,1.82,7.33,4.92,72.81,67.96,86.46,270.51,28.9,20.49,04-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Jan-2018 - 00:00,11.76,733.0,555.96,351.62,69.67,166.28,21.88,151.16,0.76,1.15,8.35,4.43,72.87,66.3,92.6,190.49,35.19,21.87,05-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Jan-2018 - 00:00,11.22,733.0,416.21,306.25,67.88,168.71,21.68,105.42,0.8,2.03,7.61,4.29,62.04,43.4,81.87,199.78,28.93,21.62,06-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Jan-2018 - 00:00,12.85,733.0,595.17,324.75,61.9,170.21,22.05,239.39,0.31,3.55,10.59,8.17,94.99,88.64,123.85,433.46,22.31,22.36,07-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Jan-2018 - 00:00,13.66,733.0,466.5,242.08,56.3,174.67,12.17,261.95,0.57,2.72,6.74,4.52,87.33,88.58,104.15,322.68,15.38,21.57,08-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Jan-2018 - 00:00,14.45,733.0,422.59,175.05,49.38,172.95,13.76,249.01,0.39,3.23,7.07,5.98,84.3,92.48,127.82,493.51,15.21,23.48,09-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Jan-2018 - 00:00,14.21,732.99,433.52,375.22,54.37,171.79,21.24,246.51,0.38,3.55,10.22,9.41,114.02,91.12,138.44,702.86,16.32,23.48,10-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Jan-2018 - 00:00,15.63,732.52,483.12,245.79,49.12,171.8,11.02,271.22,0.66,2.73,5.65,3.64,77.56,89.05,108.89,295.24,18.2,22.99,11-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Jan-2018 - 00:00,16.02,732.53,419.17,203.12,47.66,172.06,11.64,269.5,0.77,4.47,6.4,3.81,88.39,78.78,106.34,308.65,19.62,23.31,12-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Jan-2018 - 00:00,16.64,733.0,444.74,231.46,46.89,167.17,15.18,261.61,0.44,2.32,7.21,6.15,95.35,78.73,127.68,430.72,21.1,30.28,13-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Jan-2018 - 00:00,16.16,733.0,502.58,388.08,50.59,169.25,31.34,237.16,0.35,4.66,12.72,13.81,118.6,70.87,138.17,801.26,20.06,24.98,14-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Jan-2018 - 00:00,16.01,733.0,562.89,302.62,48.09,169.6,16.89,246.91,0.39,2.49,8.68,7.11,86.04,72.23,122.85,535.93,22.32,24.83,15-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Jan-2018 - 00:00,15.98,733.0,515.83,240.96,50.45,169.86,11.32,264.26,0.71,1.84,5.68,4.1,78.1,83.77,101.49,322.61,21.87,20.95,16-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Jan-2018 - 00:00,17.19,733.0,289.67,164.95,42.85,170.47,20.94,242.28,0.47,2.05,6.0,5.5,66.97,65.47,112.71,463.79,26.2,27.99,17-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Jan-2018 - 00:00,14.02,733.0,402.21,294.38,64.78,166.5,26.05,88.52,1.19,1.2,6.86,4.84,88.01,49.81,72.23,169.44,23.55,17.61,18-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Jan-2018 - 00:00,16.99,733.0,627.43,451.83,62.99,168.27,35.99,173.87,0.3,3.9,11.37,9.36,107.58,57.51,143.52,208.33,24.85,33.11,19-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Jan-2018 - 00:00,17.37,733.0,525.36,409.32,58.2,163.19,20.42,256.4,0.35,2.34,8.81,8.11,150.06,85.63,149.9,309.82,21.02,21.69,20-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Jan-2018 - 00:00,13.77,733.0,346.73,235.55,60.66,129.91,7.71,272.22,0.4,1.52,4.38,1.8,118.31,74.49,109.46,272.46,18.53,22.79,21-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Jan-2018 - 00:00,20.66,733.0,390.09,183.85,33.06,275.81,23.62,176.73,0.4,2.67,5.82,6.13,84.37,50.25,158.76,328.75,59.94,34.09,22-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Jan-2018 - 00:00,17.81,733.0,493.14,247.94,48.15,195.56,19.14,117.89,0.61,2.9,7.35,7.62,118.45,68.71,122.84,196.03,48.28,29.78,23-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Jan-2018 - 00:00,14.05,733.0,322.72,196.4,61.87,149.21,16.71,114.02,1.82,2.09,4.31,2.08,87.94,50.92,86.8,151.57,18.71,24.86,24-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Jan-2018 - 00:00,13.42,733.0,239.81,162.97,66.09,198.31,10.94,240.56,0.71,2.08,3.77,1.63,65.33,76.92,72.06,215.04,22.81,25.29,25-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Jan-2018 - 00:00,5.84,290.15,132.27,76.21,26.05,58.62,,101.3,0.33,10.11,,,29.87,97.37,363.16,94.09,,10.92,26-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Jan-2018 - 00:00,12.76,733.0,287.04,191.67,71.39,186.28,,240.74,0.78,2.61,,,53.83,58.46,80.82,119.83,,16.85,27-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Jan-2018 - 00:00,13.25,733.0,412.38,223.46,62.76,189.39,,235.65,0.49,3.51,,,39.67,74.36,181.77,106.68,9.1,15.08,28-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Jan-2018 - 00:00,14.31,732.95,396.29,235.79,61.73,190.27,,218.5,0.73,2.99,,,48.52,77.6,158.11,131.49,8.1,15.77,29-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Jan-2018 - 00:00,15.46,732.89,434.71,242.21,56.39,189.79,,263.52,1.0,3.74,,,33.69,84.24,303.2,114.13,3.7,12.75,30-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Jan-2018 - 00:00,19.03,732.96,299.08,134.25,42.95,190.46,,272.7,2.14,3.67,,,45.87,68.67,145.51,118.26,,18.55,31-Jan-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Jan-2018 - 00:00,18.84,732.96,316.0,144.0,47.81,192.28,,271.33,2.49,5.16,,,40.18,72.09,154.39,104.69,,14.99,01-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Feb-2018 - 00:00,20.09,733.0,448.75,193.92,46.1,187.95,,256.95,0.81,4.09,,,40.08,109.16,336.89,117.14,31.63,13.67,02-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Feb-2018 - 00:00,20.04,733.0,331.54,129.08,48.39,188.8,,257.34,1.03,2.28,,,46.6,85.86,232.83,131.3,5.2,16.41,03-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Feb-2018 - 00:00,18.91,732.92,256.5,105.12,39.99,190.55,,252.0,1.12,4.15,,,40.05,81.39,204.26,112.97,6.55,17.59,04-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Feb-2018 - 00:00,17.18,732.9,281.65,136.11,42.21,185.58,7.22,270.92,1.57,6.35,11.21,6.6,36.69,89.23,240.65,97.46,2.0,14.94,05-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Feb-2018 - 00:00,16.92,733.0,429.71,178.25,36.92,191.73,6.11,264.79,0.92,2.17,7.52,2.53,35.35,118.55,305.72,121.03,22.44,14.23,06-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Feb-2018 - 00:00,17.62,733.0,325.17,130.33,38.77,188.83,6.89,266.81,1.82,1.83,6.28,1.97,41.6,90.77,182.89,132.5,23.73,18.07,07-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Feb-2018 - 00:00,17.45,733.0,292.0,136.5,37.31,195.19,4.96,266.92,1.74,1.95,7.21,0.87,27.8,97.42,196.97,99.15,39.47,13.38,08-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Feb-2018 - 00:00,16.76,733.0,411.25,232.33,43.77,194.4,7.96,238.46,0.71,3.32,12.66,2.33,26.16,124.53,178.95,91.07,14.98,17.26,09-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Feb-2018 - 00:00,17.25,733.0,491.05,228.17,43.75,192.89,5.38,227.4,0.74,2.73,7.89,2.53,29.38,120.7,210.39,112.04,15.1,13.14,10-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Feb-2018 - 00:00,18.04,733.0,419.68,309.75,41.21,188.25,7.31,151.46,0.39,3.94,9.51,1.4,26.15,136.44,129.76,76.26,18.92,25.63,11-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Feb-2018 - 00:00,18.59,733.0,359.13,165.12,38.81,186.25,8.15,102.46,1.56,1.84,16.42,1.89,46.66,78.4,132.08,103.14,22.8,17.32,12-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Feb-2018 - 00:00,16.12,733.0,149.46,62.0,60.92,175.19,1.26,87.31,3.94,2.79,2.59,0.7,33.75,39.52,55.25,60.92,17.37,7.17,13-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Feb-2018 - 00:00,17.49,733.0,237.48,118.92,62.48,195.76,9.48,203.83,1.12,2.08,8.45,1.81,46.12,68.07,147.16,120.54,24.57,18.82,14-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Feb-2018 - 00:00,17.44,733.0,218.5,69.25,49.69,197.99,5.15,277.66,2.65,1.58,2.97,1.03,36.52,71.2,110.63,125.99,20.01,19.32,15-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Feb-2018 - 00:00,18.2,733.0,217.77,91.25,51.7,200.17,4.48,278.17,2.52,1.6,4.13,1.09,38.09,76.96,141.62,126.57,22.25,18.66,16-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Feb-2018 - 00:00,19.4,733.0,291.97,123.94,53.1,198.23,4.97,272.75,1.1,1.76,6.75,2.81,35.99,100.21,210.82,121.23,22.52,12.96,17-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Feb-2018 - 00:00,20.16,733.0,347.79,135.17,51.22,197.91,6.38,268.61,1.39,2.88,5.83,2.33,39.45,90.92,192.83,135.38,20.15,16.86,18-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Feb-2018 - 00:00,19.77,733.0,343.44,161.5,49.19,198.36,6.94,248.55,1.2,2.93,7.82,1.7,35.36,98.13,160.3,114.3,20.34,17.04,19-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Feb-2018 - 00:00,20.03,733.0,386.2,261.25,44.66,195.99,10.35,225.01,0.71,3.45,16.55,3.21,35.28,130.5,152.91,93.84,18.81,21.48,20-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Feb-2018 - 00:00,21.52,732.93,516.43,231.17,45.77,195.02,10.04,218.9,0.94,3.43,18.96,1.87,37.79,117.38,202.56,116.25,20.7,19.25,21-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Feb-2018 - 00:00,23.58,732.57,381.79,251.17,45.69,189.48,14.88,189.58,0.52,3.02,19.51,5.61,43.66,110.11,173.97,114.6,37.52,21.81,22-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Feb-2018 - 00:00,23.41,732.57,441.58,214.75,54.82,191.24,11.24,186.13,0.47,2.78,25.89,4.07,41.39,98.34,217.95,131.32,15.94,17.46,23-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Feb-2018 - 00:00,24.26,732.66,543.08,238.29,53.91,186.83,12.76,156.27,0.37,2.62,17.74,3.61,56.25,93.75,206.58,147.25,18.86,19.24,24-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Feb-2018 - 00:00,24.13,732.46,415.08,183.33,53.03,191.36,18.03,85.59,1.46,2.4,16.7,3.27,41.6,65.18,97.83,110.61,23.19,15.1,25-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Feb-2018 - 00:00,22.79,732.6,312.38,125.0,55.14,191.8,11.0,222.33,1.28,1.72,10.7,1.09,48.37,67.46,114.64,125.18,22.17,22.85,26-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Feb-2018 - 00:00,21.24,732.76,252.12,63.17,58.01,201.57,5.93,276.58,2.88,2.07,3.83,0.9,36.69,71.7,99.48,123.85,19.82,14.5,27-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Feb-2018 - 00:00,23.02,732.59,270.25,89.5,56.22,194.43,9.58,265.72,1.46,3.64,7.01,2.94,35.75,87.55,166.19,152.44,15.74,14.46,28-Feb-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Feb-2018 - 00:00,23.73,732.57,380.62,151.17,59.42,195.78,15.24,233.64,0.73,2.44,10.61,4.07,44.65,83.3,163.35,141.69,19.63,17.8,01-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Mar-2018 - 00:00,23.09,732.55,438.42,141.71,54.36,196.91,15.38,221.29,0.78,2.17,14.4,4.0,35.55,86.77,185.31,129.97,13.54,18.01,02-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Mar-2018 - 00:00,24.1,732.46,362.46,179.5,54.95,196.42,14.61,220.53,1.02,2.9,22.7,7.36,34.48,70.41,167.68,94.05,31.25,17.5,03-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Mar-2018 - 00:00,25.02,732.58,249.25,105.25,49.98,193.05,11.95,201.16,0.65,3.27,12.33,4.0,40.91,70.2,145.38,117.03,19.97,20.23,04-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Mar-2018 - 00:00,23.51,732.48,258.29,99.58,50.04,198.41,11.33,225.18,1.11,1.35,13.12,4.09,33.62,61.53,115.24,92.83,22.07,16.76,05-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Mar-2018 - 00:00,22.62,732.54,232.17,75.46,50.88,200.57,12.64,255.99,1.47,1.53,10.37,3.68,30.51,77.72,144.43,112.39,20.68,15.94,06-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Mar-2018 - 00:00,22.2,732.6,247.62,75.67,50.65,202.96,11.37,271.97,2.02,3.93,8.57,3.45,31.48,74.32,127.49,121.44,26.16,14.54,07-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Mar-2018 - 00:00,22.86,732.51,268.0,95.35,48.55,202.67,12.36,263.1,1.51,2.74,16.11,3.44,27.63,83.94,136.16,106.5,24.35,15.78,08-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Mar-2018 - 00:00,23.94,732.67,521.88,226.08,50.4,196.46,30.56,115.53,0.61,2.69,89.78,7.54,34.5,110.63,117.44,82.08,34.13,34.4,09-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Mar-2018 - 00:00,24.8,732.52,352.16,156.12,46.07,197.9,26.26,233.15,1.06,2.35,44.57,6.74,43.61,88.81,160.12,118.36,29.26,34.39,10-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Mar-2018 - 00:00,25.21,732.39,224.75,67.79,42.92,200.55,14.4,268.12,1.68,1.77,10.55,3.4,31.44,68.17,105.28,114.69,24.84,16.55,11-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Mar-2018 - 00:00,25.66,732.61,222.1,79.6,45.5,239.01,11.96,270.74,1.22,1.25,9.56,1.89,35.32,72.13,112.6,122.79,25.9,19.0,12-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Mar-2018 - 00:00,30.11,732.55,376.69,79.77,27.28,233.45,28.3,163.12,0.73,3.1,36.82,5.62,42.65,104.21,185.09,140.24,30.2,21.5,15-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Mar-2018 - 00:00,25.95,732.74,446.91,141.42,44.0,205.3,17.23,209.52,1.38,1.79,35.45,3.87,45.53,89.77,158.14,103.71,29.32,18.91,16-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Mar-2018 - 00:00,24.78,732.41,374.56,154.5,45.07,204.14,6.27,236.47,1.39,0.9,13.48,1.26,40.84,73.25,131.17,118.62,31.6,18.45,17-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Mar-2018 - 00:00,21.68,732.27,272.18,93.91,48.81,170.7,3.32,271.18,1.39,0.75,3.54,0.32,33.33,74.65,127.5,105.05,24.09,14.47,18-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Mar-2018 - 00:00,29.58,732.94,502.0,166.57,32.93,121.76,41.97,116.21,0.7,1.48,33.59,6.4,43.85,105.21,191.63,121.71,73.92,39.92,21-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Mar-2018 - 00:00,26.15,733.0,358.25,166.25,47.97,201.36,15.15,190.83,1.26,0.89,11.87,1.91,52.45,56.02,86.77,114.46,43.33,30.26,22-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Mar-2018 - 00:00,24.69,733.0,258.0,110.71,51.34,207.31,5.9,220.02,1.43,1.04,6.44,0.87,37.79,52.52,73.06,82.86,28.09,19.78,23-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Mar-2018 - 00:00,24.66,733.0,209.21,63.75,48.49,213.78,8.07,269.07,1.33,1.16,7.44,1.03,31.03,66.94,100.86,110.11,30.62,14.23,24-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Mar-2018 - 00:00,26.29,733.0,259.85,80.0,45.52,243.88,6.8,272.97,1.88,0.5,8.78,1.78,27.88,65.22,104.21,90.86,32.53,14.69,25-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Mar-2018 - 00:00,29.3,733.0,287.52,72.41,35.59,265.81,11.17,273.39,2.46,1.03,5.07,1.96,35.52,61.35,78.35,131.65,39.74,18.09,26-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Mar-2018 - 00:00,27.56,733.0,286.0,91.19,40.14,212.22,12.58,273.61,2.0,1.08,13.88,3.76,29.55,73.8,120.81,101.7,27.59,16.67,27-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Mar-2018 - 00:00,28.78,733.0,428.91,158.88,33.6,210.23,13.76,218.79,1.05,1.95,25.74,3.76,33.25,88.91,205.22,104.77,30.6,28.32,28-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Mar-2018 - 00:00,30.01,733.0,372.14,171.25,32.94,207.33,23.78,235.07,1.5,1.1,35.84,3.78,37.29,82.26,83.37,99.9,42.56,34.76,29-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Mar-2018 - 00:00,29.37,733.0,328.87,116.53,31.89,209.53,11.87,270.89,1.93,0.95,13.3,3.27,31.45,74.22,135.4,84.28,35.3,14.88,30-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Mar-2018 - 00:00,26.3,733.0,391.27,129.45,43.73,175.05,11.09,244.78,1.07,1.33,9.98,4.27,37.09,87.45,149.9,141.87,16.6,21.19,31-Mar-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Apr-2018 - 00:00,30.38,733.0,206.08,73.92,37.49,245.18,15.53,81.33,2.53,0.84,9.9,2.45,22.94,50.62,74.16,74.52,52.01,11.16,02-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Apr-2018 - 00:00,29.15,733.0,275.83,110.17,40.05,209.52,16.89,82.8,2.16,1.72,12.59,1.72,29.28,49.52,86.83,72.18,54.43,23.9,03-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Apr-2018 - 00:00,31.05,733.0,265.02,111.17,37.38,205.63,5.46,94.16,1.65,0.6,5.97,0.74,25.59,55.65,77.98,65.78,45.8,11.99,04-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Apr-2018 - 00:00,31.77,733.0,366.46,143.79,37.44,206.05,12.42,118.58,0.93,1.35,8.7,1.04,44.48,73.81,143.94,126.93,53.05,20.19,05-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Apr-2018 - 00:00,31.8,733.0,401.33,212.13,39.09,204.6,6.94,179.27,0.79,1.64,9.99,1.44,54.46,87.71,169.65,137.85,57.95,24.35,06-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Apr-2018 - 00:00,29.64,733.0,278.88,97.67,37.98,185.34,8.65,149.02,1.58,1.16,4.97,0.5,47.06,59.0,104.5,120.77,32.43,22.52,07-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Apr-2018 - 00:00,27.76,733.0,167.96,54.96,45.61,215.82,5.5,100.28,2.39,1.19,7.38,0.17,28.04,44.77,59.16,76.53,44.04,8.31,08-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Apr-2018 - 00:00,28.64,733.0,160.35,49.38,44.64,216.72,1.62,82.77,3.77,1.1,8.12,0.09,20.59,36.52,47.82,55.52,41.2,5.42,09-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Apr-2018 - 00:00,24.6,733.0,140.53,49.13,59.66,213.2,1.94,114.99,3.23,1.25,3.22,0.26,29.31,38.59,49.5,67.72,29.26,6.41,10-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Apr-2018 - 00:00,31.1,733.0,293.2,80.56,39.71,232.89,1.07,153.91,1.77,1.12,6.58,0.05,19.94,65.78,97.5,54.89,63.56,3.11,11-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Apr-2018 - 00:00,25.73,733.0,151.7,54.62,54.45,202.17,0.99,105.84,3.2,1.51,7.49,0.26,14.12,39.05,61.2,42.39,20.62,3.4,12-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Apr-2018 - 00:00,27.48,735.3,282.37,66.37,45.55,210.91,4.35,204.56,1.52,1.62,5.42,1.53,20.12,68.36,112.65,73.24,34.94,8.69,13-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Apr-2018 - 00:00,29.04,737.86,365.75,140.58,27.94,221.34,5.53,218.81,1.23,1.94,8.21,1.08,21.98,87.8,113.03,59.83,59.3,9.85,14-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Apr-2018 - 00:00,30.48,737.72,328.39,163.05,24.68,277.39,2.56,241.41,1.49,1.16,6.38,1.88,25.25,121.46,107.93,52.65,66.92,7.65,15-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Apr-2018 - 00:00,32.96,737.45,181.47,132.0,25.54,105.47,15.8,180.47,0.42,4.41,57.75,0.69,32.69,108.54,141.16,88.79,41.59,27.65,16-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
