from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
01-Jan-2018 - 00:00,191.0,192.2,83.92,-0.6,746.0,20.04,7.51,0.3,159.26,1.08,17.7,13.94,117.54,15.19,44.22,2.82,0.0,0.59,02-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jan-2018 - 00:00,153.79,222.19,82.23,-0.6,746.0,20.09,6.05,0.3,139.93,0.94,18.47,16.57,111.62,20.59,46.15,2.48,0.0,0.88,03-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jan-2018 - 00:00,158.71,330.92,79.23,-0.58,746.0,27.5,8.08,0.3,131.3,0.99,18.87,16.18,136.07,20.36,53.06,2.73,0.0,0.43,04-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jan-2018 - 00:00,147.46,323.07,79.39,-0.57,746.36,38.61,5.79,0.3,166.71,1.2,19.79,14.76,122.26,21.27,49.69,2.96,0.0,0.57,05-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jan-2018 - 00:00,106.96,342.14,83.98,-0.65,747.0,29.15,4.43,0.3,162.4,1.22,18.77,5.7,111.37,21.73,51.59,2.6,56.94,0.36,06-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jan-2018 - 00:00,168.65,388.62,69.92,-0.66,747.0,57.86,9.14,0.3,138.98,1.61,24.7,26.64,133.27,56.24,76.48,0.58,79.63,0.42,07-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jan-2018 - 00:00,53.53,491.87,72.06,-0.7,747.0,60.24,10.58,0.3,182.32,1.61,24.15,24.08,158.58,45.75,76.71,,,,08-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jan-2018 - 00:00,87.7,374.92,69.0,-0.7,747.0,62.22,12.97,0.48,181.48,1.22,23.4,22.28,134.27,22.34,53.88,,,,09-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jan-2018 - 00:00,143.35,368.98,73.55,-0.7,747.0,58.71,14.84,0.3,149.88,1.2,18.56,22.48,135.91,13.84,48.62,3.46,0.0,0.31,10-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jan-2018 - 00:00,176.83,432.08,74.72,-0.7,747.0,51.96,15.28,0.3,142.19,1.55,23.62,23.42,132.1,42.56,66.9,3.88,0.02,0.32,11-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jan-2018 - 00:00,163.44,365.13,79.59,-0.7,747.0,48.14,13.12,0.3,175.6,1.15,17.54,17.82,105.83,16.3,41.59,3.8,0.0,0.18,12-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jan-2018 - 00:00,122.92,365.0,82.36,-0.7,747.0,34.99,11.57,1.6,189.06,1.23,18.08,7.37,102.17,13.88,38.89,3.22,0.0,0.4,13-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jan-2018 - 00:00,222.92,404.14,76.99,-0.7,747.0,47.44,15.82,1.45,147.29,1.51,19.37,25.17,124.85,20.39,49.85,3.41,0.0,1.02,14-Jan-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
