from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,7.6,5.23,15.15,7.69,762.77,185.83,90.09,0.0,44.78,206.25,16.33,265.69,2.22,1.36,51.52,23.75,78.51,0.0,32.03,14.66,02-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Jan-2018 - 00:00,8.87,7.91,20.86,10.82,761.95,164.9,67.69,0.0,31.46,213.17,15.93,237.35,2.34,1.7,46.24,58.76,72.42,0.0,29.13,15.59,03-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Jan-2018 - 00:00,10.97,9.24,23.09,12.16,759.78,183.37,82.6,0.0,43.14,220.05,14.62,251.52,2.16,1.86,53.13,58.97,73.86,0.0,22.49,11.01,04-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Jan-2018 - 00:00,10.94,8.51,20.16,11.06,759.91,182.42,75.84,0.0,44.82,222.0,15.55,263.6,2.44,0.44,56.09,56.15,71.17,0.0,18.94,11.93,05-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Jan-2018 - 00:00,9.27,7.79,20.09,10.48,762.7,183.38,122.45,0.0,44.24,221.32,16.03,229.43,2.26,0.0,53.52,40.47,62.93,0.0,24.23,13.31,06-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Jan-2018 - 00:00,6.89,5.67,15.52,8.01,763.44,195.04,87.59,0.0,49.86,209.64,15.36,240.52,2.24,0.0,50.7,27.3,64.17,45.42,24.64,16.68,07-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Jan-2018 - 00:00,7.36,4.53,13.11,6.63,761.87,190.01,77.83,0.0,44.16,215.07,15.85,225.91,2.06,0.0,47.96,35.18,66.66,101.51,25.43,11.39,08-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Jan-2018 - 00:00,12.96,11.21,28.56,15.07,761.42,226.51,95.56,0.0,47.26,213.48,15.62,241.85,2.15,0.0,54.56,74.56,78.98,153.48,22.08,15.25,09-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Jan-2018 - 00:00,12.06,10.19,25.66,13.34,761.84,224.71,99.89,0.0,48.18,209.07,16.25,244.54,2.16,0.0,48.28,56.41,84.85,141.27,22.75,22.51,10-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Jan-2018 - 00:00,12.75,10.37,26.46,14.06,761.53,216.85,99.74,0.0,53.06,214.18,16.61,247.72,2.24,0.0,54.97,56.26,77.76,132.6,19.71,17.56,11-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Jan-2018 - 00:00,10.53,8.05,21.51,11.3,761.62,181.61,84.84,0.0,48.7,218.06,17.63,273.69,2.43,0.0,53.69,35.71,67.5,101.97,21.94,7.65,12-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Jan-2018 - 00:00,12.93,11.03,27.36,14.49,761.02,222.77,98.57,0.0,45.59,216.99,18.58,224.99,2.21,0.0,61.0,66.63,77.18,141.26,19.24,12.56,13-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Jan-2018 - 00:00,14.04,12.12,30.19,15.97,761.74,235.04,103.34,0.0,45.45,220.29,20.16,233.06,2.06,0.0,66.54,82.53,81.21,166.08,16.57,14.6,14-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Jan-2018 - 00:00,9.02,5.88,16.73,8.6,760.94,196.52,92.3,0.0,50.76,220.54,20.11,241.84,2.32,0.0,57.52,34.66,71.55,106.0,21.39,15.12,15-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Jan-2018 - 00:00,11.48,10.12,25.81,13.5,762.98,215.56,81.28,0.0,47.98,210.02,19.36,248.23,2.29,0.0,58.41,66.26,72.28,118.88,14.05,11.0,16-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Jan-2018 - 00:00,12.75,9.48,18.76,11.53,763.78,211.5,88.96,0.0,38.01,248.12,20.79,225.64,2.35,0.0,66.38,48.92,65.92,113.55,21.2,10.01,17-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Jan-2018 - 00:00,6.54,4.82,11.68,6.52,766.85,174.14,62.12,0.0,45.72,230.26,19.56,245.33,2.36,0.0,48.26,33.75,41.2,72.46,10.23,5.83,18-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Jan-2018 - 00:00,2.51,1.89,4.83,2.59,765.72,151.81,57.89,0.0,41.83,229.78,18.91,239.17,2.11,0.0,26.48,55.79,29.58,85.34,13.09,7.03,19-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Jan-2018 - 00:00,2.25,1.2,2.98,1.6,775.38,172.86,82.97,0.0,46.94,216.54,18.69,255.32,2.22,0.0,53.24,64.78,20.06,84.22,30.82,10.04,20-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Jan-2018 - 00:00,0.94,0.47,1.03,0.52,778.94,150.23,71.4,0.0,46.19,220.34,18.71,246.09,2.14,0.0,54.6,65.05,16.91,81.87,46.01,21.26,21-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Jan-2018 - 00:00,2.34,0.74,0.12,0.61,773.03,122.98,102.67,0.0,46.97,227.76,18.72,271.39,2.41,0.0,41.06,42.58,15.01,57.56,43.67,8.73,22-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Jan-2018 - 00:00,4.2,3.14,5.09,3.13,771.86,140.65,74.17,0.0,45.26,227.0,19.55,228.0,2.27,0.0,45.79,40.2,12.74,52.73,39.41,11.26,23-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Jan-2018 - 00:00,2.56,2.47,6.41,2.89,767.41,142.69,75.74,0.0,41.02,233.33,18.6,266.64,2.37,0.0,27.36,20.37,8.38,28.6,47.75,5.64,24-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Jan-2018 - 00:00,2.44,3.44,6.09,1.89,768.1,150.92,67.53,0.0,32.7,223.45,17.6,258.58,2.23,0.0,25.65,30.96,5.2,35.83,48.61,5.67,25-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
