from date,NO,NOx,NO2,SO2,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,CO,BP,station
01-Jan-2018 - 00:00,16.79,,56.3,3.74,25.44,39.43,0.56,165.27,24.97,,,,,,57.28,-0.13,-99.99,02-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jan-2018 - 00:00,10.7,,50.95,3.95,25.8,35.23,0.65,132.51,25.19,,,,,,68.8,-0.13,-99.99,03-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jan-2018 - 00:00,16.63,,59.8,3.37,34.89,28.77,0.65,77.42,25.29,,,,,,68.65,-0.13,-99.99,04-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jan-2018 - 00:00,8.5,,50.17,3.09,47.73,23.96,0.68,72.42,24.18,,,,,,71.53,-0.12,-99.99,05-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jan-2018 - 00:00,11.51,,65.47,3.74,50.66,24.43,0.67,84.39,21.21,,,,,,67.68,-0.13,-99.99,06-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jan-2018 - 00:00,11.69,,61.02,3.45,60.26,31.52,0.61,105.16,20.96,,,,,,74.54,-0.13,-99.99,07-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jan-2018 - 00:00,12.66,,64.62,3.62,62.34,38.76,0.65,82.16,20.38,,,,,,68.0,-0.13,-99.99,08-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jan-2018 - 00:00,5.47,,54.07,10.32,79.14,35.45,0.72,66.37,20.78,,,,,,53.67,-0.1,-99.99,09-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jan-2018 - 00:00,14.04,46.83,69.86,44.95,68.69,28.7,0.71,68.18,21.05,,,,,,80.09,-0.11,-99.99,10-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jan-2018 - 00:00,20.97,56.51,74.79,2.86,35.99,26.18,0.71,67.43,20.64,,,,,,100.27,-0.11,-99.99,11-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jan-2018 - 00:00,29.49,71.85,90.76,11.21,18.45,24.55,0.69,81.98,22.07,,,,,,76.07,-0.12,-99.99,12-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jan-2018 - 00:00,18.8,50.91,67.5,14.65,21.31,37.6,0.7,75.74,21.83,,,,,,73.8,-0.13,-99.99,13-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jan-2018 - 00:00,24.17,63.12,82.32,1.95,22.17,25.78,0.73,73.34,22.22,,,,,,55.98,-0.11,-99.99,14-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jan-2018 - 00:00,29.84,70.6,87.85,2.45,33.48,24.29,0.72,75.36,21.34,,,,,,56.35,-0.1,-99.99,15-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jan-2018 - 00:00,12.62,42.07,60.11,2.55,38.91,30.99,0.7,75.66,21.43,,,,,,56.83,-0.12,-99.99,16-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jan-2018 - 00:00,17.44,56.08,79.23,2.87,37.58,30.49,0.71,65.12,21.25,,,,,,59.77,-0.12,-99.99,17-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jan-2018 - 00:00,12.01,44.18,65.0,2.35,41.55,30.69,0.69,67.51,21.18,,,,,,64.27,-0.12,-99.99,18-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jan-2018 - 00:00,13.02,49.59,74.61,2.15,42.92,26.25,0.74,68.06,20.84,,,,,,41.58,-0.1,-99.99,19-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
