from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Toluene,MP-Xylene,Xylene,Eth-Benzene,Ozone,to date,station
01-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.52,0.0,0.33,0.0,0.0,3.3,0.0,1.19,0.0,02-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
02-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.94,0.0,1.84,0.0,0.0,4.14,0.0,1.64,0.0,03-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
03-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.19,0.0,3.58,0.0,0.0,4.36,0.0,1.81,0.0,04-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
04-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.6,0.0,3.46,0.0,0.0,4.21,0.0,1.81,0.0,05-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
05-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.04,0.0,2.78,0.0,0.0,2.44,0.0,1.09,0.0,06-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
06-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.88,0.0,2.9,0.0,0.0,3.38,0.0,1.5,0.0,07-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
07-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,0.0,2.62,0.0,0.0,2.34,0.0,0.91,0.0,08-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
08-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24,0.0,2.46,0.0,0.0,2.23,0.0,0.82,0.0,09-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
09-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.78,0.0,2.15,0.0,0.0,2.67,0.0,1.22,0.0,10-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
10-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.3,0.0,2.42,0.0,0.0,4.43,0.0,1.88,0.0,11-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
