from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
01-Jan-2018 - 00:00,30.48,0.92,45.74,3.5,43.58,26.02,29.01,15.46,56.14,115.18,0.64,11.13,0.25,22.92,53.8,0.42,144.33,111.55,718.12,02-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Jan-2018 - 00:00,30.47,0.63,61.12,1.71,32.98,18.94,24.83,9.17,63.95,119.7,0.33,3.23,0.06,22.83,56.33,0.47,103.83,105.49,718.06,03-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Jan-2018 - 00:00,30.28,0.78,57.05,1.79,33.85,19.47,24.6,9.84,73.67,141.08,0.33,5.51,0.2,22.36,58.06,0.45,129.23,99.18,719.35,04-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Jan-2018 - 00:00,30.55,0.72,71.07,1.5,35.07,19.88,22.24,14.93,76.15,154.62,0.39,6.12,0.34,22.25,50.55,0.39,91.74,94.94,719.94,05-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Jan-2018 - 00:00,30.21,0.75,68.18,1.63,37.49,21.27,20.81,14.23,74.88,158.76,0.4,6.88,0.52,22.31,48.89,0.38,121.14,97.16,719.07,06-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Jan-2018 - 00:00,31.09,0.83,63.21,2.01,45.72,25.96,23.09,15.46,71.8,137.22,0.48,8.73,0.34,23.01,47.39,1.07,135.76,97.57,720.49,07-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Jan-2018 - 00:00,30.59,0.94,60.12,3.18,49.55,28.95,27.84,15.66,70.54,137.44,0.53,7.62,0.27,24.46,49.81,1.88,121.26,94.68,725.07,08-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Jan-2018 - 00:00,30.41,1.08,70.64,1.58,33.85,19.29,23.21,8.58,73.56,136.27,0.33,4.8,0.1,24.1,51.91,1.7,112.89,96.33,725.84,09-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Jan-2018 - 00:00,30.22,0.82,71.33,2.09,39.4,22.67,27.33,13.95,77.07,156.02,0.35,5.55,0.1,23.44,59.43,1.49,103.8,93.06,727.17,10-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Jan-2018 - 00:00,30.4,1.37,78.02,2.22,38.05,22.04,23.48,13.77,72.75,152.47,0.28,5.04,0.05,24.66,54.46,1.61,95.38,98.9,727.43,11-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Jan-2018 - 00:00,30.66,0.72,88.98,1.87,34.49,19.86,23.23,13.87,70.55,140.11,0.28,3.85,0.06,26.12,50.22,1.23,91.97,93.39,726.93,12-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Jan-2018 - 00:00,30.68,0.63,85.11,1.95,44.89,25.46,26.08,24.88,71.67,148.34,0.36,6.71,0.13,26.92,46.35,0.99,86.8,98.76,726.42,13-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Jan-2018 - 00:00,30.78,0.69,87.65,1.48,32.64,18.56,21.26,28.04,64.64,137.9,0.24,3.72,0.03,26.92,43.95,1.28,79.29,100.59,726.22,14-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Jan-2018 - 00:00,30.8,0.56,79.34,1.6,27.01,15.67,23.81,17.57,66.72,116.0,0.37,4.16,0.05,27.03,46.38,1.0,95.19,97.96,726.3,15-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Jan-2018 - 00:00,30.32,0.68,78.75,1.26,19.64,11.47,28.94,9.74,71.57,111.9,0.22,2.62,0.14,27.01,54.98,1.28,134.22,88.51,726.11,16-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Jan-2018 - 00:00,30.44,0.64,64.48,2.25,27.41,16.41,27.71,11.24,60.01,116.1,0.38,6.0,0.08,26.67,51.95,1.17,116.0,104.22,725.51,17-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Jan-2018 - 00:00,30.44,0.75,67.76,1.49,29.65,16.99,24.76,12.97,63.87,122.0,0.3,6.33,0.11,25.7,51.67,1.12,95.78,76.81,725.5,18-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Jan-2018 - 00:00,30.37,1.05,52.21,5.19,50.27,30.97,38.34,17.59,62.62,136.67,0.66,17.32,0.25,25.65,51.53,1.09,90.64,111.0,725.79,19-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Jan-2018 - 00:00,30.78,0.56,66.3,2.3,38.33,22.26,21.73,20.01,53.26,126.2,0.33,5.21,0.07,25.29,43.93,1.21,73.33,107.32,726.24,20-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Jan-2018 - 00:00,30.86,0.95,78.36,5.0,46.82,28.97,40.25,27.8,57.99,129.35,0.66,16.26,0.46,24.87,43.35,0.94,77.82,112.19,725.89,21-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
