from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
01-Jan-2018 - 00:00,0.2,161.07,0.8,4.17,12.76,74.43,62.73,993.76,13.7,520.27,156.25,15.74,32.11,14.91,1.12,,29.27,0.0,0.0,0.0,0.82,0.0,02-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Jan-2018 - 00:00,0.26,168.97,1.59,3.08,11.59,73.93,63.47,994.7,13.7,630.55,206.58,15.51,31.43,0.0,1.12,,28.15,0.0,0.0,0.0,1.41,0.0,03-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Jan-2018 - 00:00,0.2,139.18,1.48,2.25,11.58,69.17,64.95,995.08,13.7,366.86,131.16,17.05,29.65,0.0,1.37,,21.76,0.0,0.0,0.0,1.57,0.0,04-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Jan-2018 - 00:00,0.51,305.4,3.64,10.07,10.87,73.78,72.42,995.23,13.7,323.72,223.67,16.57,30.42,0.0,1.29,,26.33,0.0,0.0,0.0,3.42,0.0,05-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Jan-2018 - 00:00,0.56,304.22,2.02,2.71,9.89,75.22,67.57,994.51,13.7,330.63,224.11,16.5,30.36,0.0,1.28,,24.81,0.0,0.0,0.0,2.07,0.0,06-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Jan-2018 - 00:00,0.22,118.66,1.39,4.67,12.78,60.63,70.24,993.67,13.69,421.11,279.16,16.43,30.75,0.0,1.25,,25.75,0.0,0.0,0.0,1.39,0.0,07-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Jan-2018 - 00:00,0.22,87.17,2.7,,11.72,64.08,110.44,994.94,13.69,305.58,188.91,17.97,29.96,0.0,1.36,,24.58,0.0,0.0,0.0,0.6,0.0,08-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Jan-2018 - 00:00,,,,,,,,,,317.72,180.93,17.18,31.14,0.0,1.28,,25.82,0.0,0.0,0.0,0.0,0.0,09-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Jan-2018 - 00:00,,,,,,,,,,386.42,230.75,18.98,32.79,0.0,1.22,,26.07,0.0,0.0,0.0,0.0,0.0,10-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Jan-2018 - 00:00,0.67,96.79,3.74,12.54,16.35,42.69,72.69,996.92,13.69,294.61,188.06,16.99,32.01,0.0,1.26,,25.38,0.0,0.0,0.0,2.48,0.0,11-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
