from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
01-Jan-2018 - 00:00,53.64,134.43,56.53,125.95,26.99,719.66,94.19,-0.08,1.02,0.0,,51.34,54.25,4.73,33.4,21.53,4.08,14.31,32.75,15.24,02-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
02-Jan-2018 - 00:00,75.85,147.92,58.23,103.67,27.44,719.76,182.9,-0.08,1.09,0.01,1.82,74.33,56.48,2.15,32.47,24.14,5.37,13.12,29.22,13.69,03-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
03-Jan-2018 - 00:00,87.25,166.98,59.21,110.78,28.5,719.85,194.11,-0.08,1.39,0.0,0.72,77.51,54.83,2.33,31.71,24.76,8.23,12.45,26.85,13.09,04-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
04-Jan-2018 - 00:00,87.66,169.18,53.7,117.34,28.26,720.26,189.91,-0.09,1.21,0.0,1.17,71.06,67.42,8.93,43.94,23.04,14.22,12.95,31.76,15.81,05-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
05-Jan-2018 - 00:00,67.57,147.81,51.97,118.68,27.67,720.17,177.07,-0.07,0.99,0.0,1.3,80.32,73.19,2.9,42.13,23.84,12.7,12.68,29.71,16.04,06-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
06-Jan-2018 - 00:00,68.05,153.2,51.72,121.9,27.29,720.43,203.25,-0.08,0.96,0.0,1.23,71.95,78.61,3.71,45.78,22.5,8.42,13.61,32.13,16.92,07-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
07-Jan-2018 - 00:00,71.02,147.28,53.22,119.03,27.76,720.08,226.82,-0.07,1.29,0.0,1.07,85.59,59.47,1.66,33.69,22.7,8.12,11.31,29.75,12.88,08-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
08-Jan-2018 - 00:00,71.95,144.65,55.34,121.75,26.57,724.31,219.1,-0.06,1.28,0.0,1.11,77.07,64.61,1.87,36.63,23.02,6.6,10.3,20.08,13.17,09-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
09-Jan-2018 - 00:00,77.21,156.65,63.0,116.98,26.33,720.58,206.66,-0.07,1.21,0.0,1.23,81.56,62.97,2.0,35.86,27.0,6.5,11.77,27.23,13.81,10-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
10-Jan-2018 - 00:00,70.19,160.52,58.7,125.05,26.82,719.74,199.12,-0.06,1.31,0.0,1.08,83.97,58.43,1.78,33.2,25.95,9.76,12.16,28.47,12.93,11-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
11-Jan-2018 - 00:00,78.26,173.87,54.84,120.24,27.76,719.02,191.85,-0.07,0.91,0.0,1.21,79.79,75.47,3.29,43.71,27.17,11.23,14.67,35.37,16.05,12-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
12-Jan-2018 - 00:00,72.46,160.23,51.52,129.46,27.77,718.62,195.32,-0.06,0.96,0.0,1.38,75.07,87.07,4.32,50.89,27.64,17.06,14.06,37.24,19.16,13-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
13-Jan-2018 - 00:00,64.08,148.06,47.54,131.29,27.97,718.51,187.66,-0.05,1.25,0.0,1.15,75.78,71.54,2.02,40.54,24.25,25.45,15.08,45.18,16.95,14-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
14-Jan-2018 - 00:00,73.58,123.91,50.21,128.03,27.84,718.57,214.96,-0.07,1.26,0.0,1.12,76.03,56.5,1.82,32.21,27.52,12.04,12.59,31.65,11.45,15-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
15-Jan-2018 - 00:00,78.95,106.4,57.55,117.86,27.61,725.15,210.03,-0.08,1.12,0.0,1.03,80.56,37.16,1.18,21.15,27.87,4.73,8.93,18.67,8.44,16-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
16-Jan-2018 - 00:00,62.49,119.78,55.73,134.1,27.76,724.91,178.29,-0.04,1.28,0.0,1.0,61.07,45.11,1.74,25.94,25.88,5.86,9.93,27.75,11.03,17-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
17-Jan-2018 - 00:00,57.62,121.17,54.89,132.74,27.38,722.93,209.61,-0.07,1.27,0.0,0.97,69.89,54.25,2.01,31.12,23.0,6.9,9.7,26.98,11.15,18-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
18-Jan-2018 - 00:00,59.03,132.54,55.59,144.97,26.38,723.4,185.22,-0.04,1.31,0.0,1.27,57.21,63.57,4.4,38.22,22.52,6.0,11.09,28.51,17.26,19-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
19-Jan-2018 - 00:00,54.73,136.28,49.11,139.77,28.8,719.92,190.71,-0.04,1.13,0.0,0.97,60.69,67.14,3.27,39.21,19.67,13.45,11.54,35.98,14.79,20-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
20-Jan-2018 - 00:00,57.09,135.74,49.84,145.92,27.8,720.47,185.33,-0.08,0.99,0.0,1.36,62.75,75.87,8.93,48.63,24.85,21.25,19.05,52.03,17.32,21-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
21-Jan-2018 - 00:00,63.35,132.42,54.62,141.71,27.76,720.56,206.51,-0.08,1.17,0.0,1.1,68.91,67.07,3.74,39.54,26.68,9.38,10.48,26.44,11.45,22-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
22-Jan-2018 - 00:00,66.73,127.68,56.68,139.56,27.66,720.43,223.26,-0.07,1.34,0.0,1.28,83.16,56.2,1.35,31.64,25.14,5.63,9.05,21.77,10.34,23-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
23-Jan-2018 - 00:00,54.39,114.28,56.47,138.51,27.6,719.56,214.38,-0.1,1.37,0.0,0.89,74.3,52.87,1.9,30.29,21.72,3.98,7.95,17.07,9.69,24-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
24-Jan-2018 - 00:00,59.69,123.62,58.48,130.07,27.46,719.93,131.78,-0.01,1.39,0.0,0.81,71.82,45.35,1.38,25.77,23.49,5.86,9.14,19.21,8.04,25-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
25-Jan-2018 - 00:00,67.62,157.31,52.49,137.6,27.71,720.02,127.08,-0.03,1.22,0.0,1.08,66.28,66.19,6.46,41.32,28.44,16.08,15.95,48.56,9.83,26-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
26-Jan-2018 - 00:00,64.7,148.08,47.41,138.25,27.87,719.58,176.5,-0.06,0.96,0.0,1.08,83.45,68.44,2.88,39.57,24.18,19.88,12.17,32.76,10.01,27-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
27-Jan-2018 - 00:00,65.99,147.85,50.04,133.86,27.78,719.69,210.69,-0.06,1.16,0.0,1.18,73.73,66.2,2.5,38.03,25.4,10.29,12.23,29.28,10.89,28-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
28-Jan-2018 - 00:00,63.6,136.4,56.0,134.83,27.75,719.46,212.24,-0.07,1.42,0.0,0.97,68.98,51.31,1.79,29.36,27.2,4.5,8.52,19.66,8.99,29-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
29-Jan-2018 - 00:00,61.61,180.83,56.4,142.03,25.89,731.5,206.76,-0.05,1.37,0.0,1.01,68.98,50.8,1.73,29.03,25.9,5.72,7.98,19.62,8.9,30-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
30-Jan-2018 - 00:00,52.15,165.12,44.68,153.33,27.66,719.67,178.05,0.0,1.51,0.0,0.85,67.82,61.1,2.05,34.88,21.8,15.82,9.9,33.4,8.82,31-Jan-2018 - 00:00,"Central University, Hyderabad - TSPCB"
31-Jan-2018 - 00:00,46.84,133.58,42.53,159.59,27.79,725.62,195.28,-0.02,1.37,0.0,1.26,43.77,87.31,9.72,55.5,23.98,16.15,15.76,41.92,16.32,01-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
01-Feb-2018 - 00:00,42.74,121.3,38.78,157.86,28.4,719.72,200.69,-0.01,1.35,0.0,1.21,44.89,85.13,8.93,53.63,18.99,11.02,11.35,32.01,14.35,02-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
02-Feb-2018 - 00:00,42.04,116.27,39.85,158.78,28.38,719.51,222.76,-0.06,1.27,0.0,1.12,44.88,91.03,8.94,56.88,19.15,9.82,10.93,30.6,15.0,03-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
03-Feb-2018 - 00:00,35.1,101.5,41.55,153.56,27.91,719.12,220.97,-0.08,1.86,0.0,0.94,76.7,50.3,1.53,28.59,18.47,7.9,6.76,29.65,7.9,04-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
04-Feb-2018 - 00:00,31.41,90.88,43.82,155.22,28.46,719.25,216.5,-0.09,1.74,0.0,0.86,78.3,36.12,1.35,20.75,17.09,7.21,5.2,16.8,5.58,05-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
05-Feb-2018 - 00:00,33.57,101.19,49.45,147.92,28.66,719.25,185.32,-0.08,1.9,0.0,0.88,75.24,45.71,1.69,26.21,20.31,4.36,5.76,12.75,6.86,06-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
06-Feb-2018 - 00:00,40.59,100.7,51.29,157.4,28.31,719.89,202.33,-0.07,1.43,0.0,1.02,47.64,69.04,6.14,42.59,22.95,4.72,8.81,24.01,10.94,07-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
07-Feb-2018 - 00:00,50.45,131.12,48.51,75.32,29.35,720.05,171.98,-0.07,0.76,0.0,1.1,48.15,92.84,8.71,57.64,24.41,8.49,12.88,35.42,18.15,08-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
