from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,3.67,1.14,,3.79,808.04,32.03,109.59,0.0,34.83,16.7,196.29,2.23,1.37,41.34,10.16,40.9,42.88,38.94,3.32,02-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jan-2018 - 00:00,5.05,1.87,,5.74,759.21,251.52,119.09,0.0,45.24,14.0,213.03,1.83,1.91,45.44,23.99,41.04,65.03,37.34,4.41,03-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jan-2018 - 00:00,5.52,2.68,,6.42,759.61,37.03,128.66,0.0,45.87,13.69,128.76,1.57,1.53,48.43,26.92,42.64,69.56,34.36,6.12,04-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jan-2018 - 00:00,6.55,2.25,,7.63,759.22,41.42,142.99,0.0,46.97,14.27,159.95,1.97,1.68,45.26,36.42,61.25,97.66,29.47,11.15,05-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jan-2018 - 00:00,6.34,1.79,,7.55,758.59,,142.2,0.0,52.35,15.04,166.43,1.61,1.42,45.05,40.16,67.74,107.86,27.16,7.8,06-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jan-2018 - 00:00,4.21,1.36,,5.1,758.45,72.58,127.61,0.0,50.78,15.11,182.3,1.74,1.06,39.04,23.29,56.93,80.15,33.47,5.88,07-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jan-2018 - 00:00,4.62,0.82,4.78,4.89,759.8,461.48,138.82,0.0,47.01,14.87,145.63,1.77,1.19,35.11,16.92,50.39,67.23,49.92,5.89,08-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jan-2018 - 00:00,4.54,0.29,3.51,5.76,760.87,603.5,133.15,0.0,39.92,14.52,208.3,1.53,1.23,34.97,23.35,56.32,79.58,39.0,5.23,09-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jan-2018 - 00:00,4.92,0.13,,5.61,762.41,49.72,137.75,0.0,42.54,14.55,182.67,1.68,1.26,35.68,22.33,59.88,82.12,35.68,5.48,10-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jan-2018 - 00:00,4.94,0.02,,5.71,762.59,610.23,163.98,0.0,41.15,15.24,199.91,1.79,1.26,37.24,31.32,57.7,88.99,31.69,5.89,11-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jan-2018 - 00:00,4.25,0.01,,5.23,761.89,56.79,131.87,0.0,37.47,15.57,198.62,1.96,1.17,35.86,28.66,54.12,82.77,34.84,8.2,12-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jan-2018 - 00:00,5.67,0.0,,7.02,760.79,64.76,144.79,0.0,33.32,17.73,193.15,1.75,1.57,39.19,48.46,54.79,103.19,34.71,10.35,13-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jan-2018 - 00:00,5.91,0.0,,7.69,760.55,71.25,151.23,0.0,43.86,17.97,217.68,1.66,1.33,44.47,41.39,60.37,101.75,29.91,11.63,14-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jan-2018 - 00:00,4.63,0.0,,6.09,760.57,44.04,125.56,0.01,44.31,18.2,207.11,1.84,1.13,39.31,27.74,52.06,79.78,38.42,7.02,15-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jan-2018 - 00:00,3.98,0.0,,6.07,761.03,43.52,98.36,0.0,34.77,17.55,171.97,1.87,1.15,35.59,29.82,48.32,78.11,28.66,7.06,16-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jan-2018 - 00:00,5.09,0.0,,7.23,758.92,53.85,120.1,0.0,34.56,16.43,148.65,1.83,1.35,39.4,47.21,54.11,101.3,28.57,10.27,17-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jan-2018 - 00:00,6.44,0.0,,6.07,758.36,56.16,112.46,0.0,40.79,19.29,189.63,2.17,1.16,40.7,25.19,53.73,78.89,31.47,18.67,18-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jan-2018 - 00:00,7.07,0.0,,7.16,759.84,67.16,143.94,0.0,41.25,17.79,189.57,1.8,1.35,47.34,35.03,52.87,87.87,29.0,11.19,19-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jan-2018 - 00:00,4.84,0.0,,4.79,760.59,55.08,130.81,0.0,44.47,18.25,257.17,2.55,0.82,46.05,7.09,38.95,45.92,39.97,8.62,20-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jan-2018 - 00:00,3.68,0.0,,3.63,760.29,58.02,137.62,0.0,38.57,17.09,234.77,2.8,1.14,36.91,19.5,44.5,63.94,52.87,10.4,21-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jan-2018 - 00:00,2.83,0.0,,3.22,758.93,47.39,149.16,0.0,42.38,16.57,128.96,2.18,1.31,38.51,22.5,63.21,85.66,37.37,10.09,22-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jan-2018 - 00:00,2.12,0.12,,3.14,757.29,35.16,143.19,0.0,49.43,18.33,149.63,2.68,1.2,42.38,27.54,67.08,94.55,40.61,12.1,23-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jan-2018 - 00:00,1.96,0.0,,3.29,756.07,50.51,146.27,0.0,39.86,18.68,243.2,4.32,0.49,31.53,3.1,38.3,41.28,83.84,9.97,24-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jan-2018 - 00:00,2.38,0.24,,2.59,758.82,75.66,143.37,0.0,44.06,15.1,219.4,3.36,1.05,31.5,16.83,45.37,62.14,58.81,5.28,25-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jan-2018 - 00:00,2.93,0.44,,3.51,758.53,68.56,144.55,0.0,44.85,15.33,197.01,2.32,1.28,55.5,44.34,49.86,93.6,38.41,8.72,26-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jan-2018 - 00:00,1.62,0.0,,0.17,758.67,71.23,164.34,0.0,38.78,15.99,158.97,1.85,1.38,41.52,52.51,58.77,111.28,28.93,9.29,27-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jan-2018 - 00:00,1.27,0.0,,0.17,758.49,82.37,136.03,0.0,36.31,16.74,209.05,1.68,1.4,40.93,51.23,56.78,108.02,31.46,8.6,28-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jan-2018 - 00:00,0.71,0.0,,0.1,759.23,64.86,136.66,0.0,39.41,16.7,183.39,1.71,1.13,38.86,40.46,60.57,101.03,32.18,13.21,29-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jan-2018 - 00:00,0.59,0.0,,0.16,760.75,54.03,144.07,0.0,42.6,17.64,172.32,1.86,1.34,40.54,36.19,60.09,96.28,41.93,11.48,30-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jan-2018 - 00:00,0.33,0.0,,0.08,761.27,37.43,141.13,0.0,38.95,19.21,188.22,1.87,1.13,36.37,29.9,53.54,83.46,33.95,9.7,31-Jan-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Jan-2018 - 00:00,0.56,0.0,,0.2,760.79,48.08,139.03,0.0,40.54,19.81,166.08,2.56,1.3,33.98,24.69,29.85,54.25,31.38,8.65,01-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Feb-2018 - 00:00,0.47,0.0,,0.18,760.16,36.53,146.11,0.0,38.34,20.37,159.68,2.59,1.4,36.68,26.67,34.09,60.69,34.85,10.78,02-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Feb-2018 - 00:00,1.06,0.38,,0.5,758.44,55.26,132.81,0.0,37.47,20.7,213.39,3.08,0.7,26.97,5.7,29.24,34.58,50.79,11.93,03-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Feb-2018 - 00:00,1.12,0.81,,0.53,760.07,53.16,108.01,0.0,33.17,18.89,125.12,3.0,0.49,17.31,2.78,16.18,18.01,69.09,7.38,04-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Feb-2018 - 00:00,1.01,0.83,,0.69,760.88,31.18,85.79,0.0,29.93,17.05,98.16,3.46,0.8,19.7,8.27,21.86,30.1,68.4,19.11,05-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Feb-2018 - 00:00,0.93,0.82,,0.72,762.66,51.27,115.93,0.0,32.38,17.5,172.79,3.39,0.74,26.21,19.68,41.52,60.8,48.73,13.42,06-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Feb-2018 - 00:00,0.97,0.85,,0.75,762.8,44.9,124.84,0.0,31.98,17.97,114.72,3.27,0.98,25.7,8.02,31.13,38.76,54.2,10.81,07-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Feb-2018 - 00:00,1.09,0.91,,0.89,760.85,56.03,170.14,0.0,31.71,17.42,128.0,2.0,1.07,32.46,18.09,28.74,46.8,45.08,10.3,08-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Feb-2018 - 00:00,1.24,0.97,,1.06,759.58,46.46,129.55,0.0,30.78,17.22,217.24,1.78,1.04,26.22,32.43,24.0,55.73,37.38,7.31,09-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Feb-2018 - 00:00,6.59,0.39,,0.43,759.72,53.81,121.38,0.0,31.16,17.32,165.47,1.82,1.42,23.07,33.24,13.93,47.15,37.15,12.94,10-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Feb-2018 - 00:00,1.73,0.33,,0.19,760.37,38.32,106.85,0.0,30.87,19.52,151.74,2.92,0.55,20.54,8.12,8.73,16.14,58.8,11.04,11-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Feb-2018 - 00:00,0.78,0.55,,0.31,759.45,39.04,137.9,0.0,34.99,19.8,118.46,2.94,0.69,25.64,2.41,14.22,16.28,82.76,11.95,12-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Feb-2018 - 00:00,1.73,0.49,,0.45,761.47,35.21,113.31,0.0,46.73,18.22,212.73,3.5,1.22,36.8,18.94,37.02,55.94,41.14,7.0,13-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Feb-2018 - 00:00,1.31,0.39,,0.5,765.6,33.79,99.03,0.0,52.38,18.1,86.02,3.04,0.87,34.48,8.48,17.74,26.22,49.23,4.92,14-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Feb-2018 - 00:00,1.01,0.39,,0.46,766.45,19.37,73.53,0.0,32.02,18.45,178.35,2.51,0.57,25.85,6.89,12.95,19.84,58.02,5.55,15-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Feb-2018 - 00:00,1.44,0.39,,0.56,764.57,64.18,118.79,0.0,31.83,22.68,203.36,3.43,1.28,23.73,28.75,14.25,43.0,49.38,7.5,16-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Feb-2018 - 00:00,1.16,0.39,,0.52,764.07,42.99,100.44,0.0,39.71,20.65,211.95,2.99,0.85,21.67,18.13,13.32,31.45,44.84,9.44,17-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Feb-2018 - 00:00,,0.39,,,,,,,,,156.49,4.28,,,,,,,,21-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Feb-2018 - 00:00,,,,,,43.94,90.78,,,,,,1.15,,,47.11,,,7.44,28-Feb-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Feb-2018 - 00:00,,,,,,50.6,117.58,,,,,,0.94,39.93,,,,,9.73,01-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Mar-2018 - 00:00,,,,,,54.23,124.27,,,,,,0.75,33.01,,,,,11.27,02-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Mar-2018 - 00:00,,,,,,39.23,96.3,,,,,,0.52,,,34.65,,,13.48,03-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Mar-2018 - 00:00,,,,,,,107.92,,,,,,0.34,24.72,,26.19,,,9.26,04-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Mar-2018 - 00:00,,,,,,43.31,,,,,,,0.64,29.1,,25.46,,,9.28,05-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Mar-2018 - 00:00,,,,,,36.32,,,,,,,0.85,33.06,,38.69,,,7.8,06-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Mar-2018 - 00:00,,,,,,25.07,68.11,,,,,,0.63,,,28.53,,,24.84,07-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Mar-2018 - 00:00,,,,,,,97.3,,,,,,1.33,41.71,,51.74,,,7.45,08-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Mar-2018 - 00:00,,,,,,,96.58,,,,,,0.79,97.67,,39.88,,,7.12,09-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Mar-2018 - 00:00,,,,,,35.23,78.64,,,,,,0.77,29.94,,32.16,,,,10-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Mar-2018 - 00:00,,,,,,34.72,94.34,,,,,,1.04,,,45.39,,,10.33,11-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Mar-2018 - 00:00,,,,,,33.66,110.01,,,,,,0.0,35.74,,52.22,,,11.2,12-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Mar-2018 - 00:00,,,,,,47.61,136.95,,,,,,0.97,45.41,,,,,10.45,13-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Mar-2018 - 00:00,,,,,,35.95,98.65,,,,,,0.28,32.55,,38.99,,,9.52,14-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Mar-2018 - 00:00,,,,,,45.18,122.19,,,,,,0.57,26.48,,22.95,,,7.46,15-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Mar-2018 - 00:00,,,,,,62.56,147.68,,,,,,0.76,28.82,,31.89,,,9.29,16-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Mar-2018 - 00:00,,,,,,59.54,145.47,,,,,,0.75,30.7,,35.76,,,6.91,17-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Mar-2018 - 00:00,,,,,,37.71,94.45,,,,,,0.77,30.92,,38.78,,,10.48,18-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Mar-2018 - 00:00,,,,,,38.54,107.09,,,,,,0.82,32.21,,45.87,,,9.66,19-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Mar-2018 - 00:00,,,,,,49.14,127.37,,,,,,0.66,26.25,,25.5,,,12.06,20-Mar-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
