from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
01-Jan-2018 - 00:00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,02-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
02-Jan-2018 - 00:00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,03-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
03-Jan-2018 - 00:00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,04-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
04-Jan-2018 - 00:00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,05-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
05-Jan-2018 - 00:00,5.03,,389.06,0.53,5.89,19.27,28.89,14.53,50.14,0.0,31.88,4.29,30.05,,0.0,167.41,0.43,,06-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
06-Jan-2018 - 00:00,7.58,,747.0,0.95,16.05,33.71,31.64,30.93,120.42,0.0,61.15,8.41,46.44,,0.0,332.39,1.28,,07-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
07-Jan-2018 - 00:00,7.78,0.6,747.0,1.37,23.19,29.56,35.36,16.62,155.6,0.0,61.31,8.59,46.6,0.96,0.0,311.54,0.47,119.57,08-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
08-Jan-2018 - 00:00,9.66,0.38,747.39,1.47,20.4,30.44,32.77,15.53,143.89,0.0,57.26,9.77,46.73,0.55,0.0,243.69,0.75,95.35,09-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
09-Jan-2018 - 00:00,8.91,0.32,747.79,1.33,15.83,29.26,29.04,16.79,124.51,0.0,62.89,8.24,44.53,0.55,0.0,226.04,0.88,75.86,10-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
10-Jan-2018 - 00:00,8.79,2.84,747.72,1.26,19.94,29.4,32.52,17.0,108.8,0.0,63.82,8.41,40.89,2.37,-0.0,218.02,1.19,11.47,11-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
11-Jan-2018 - 00:00,8.4,3.2,747.19,1.0,10.04,28.72,23.93,15.37,97.7,0.0,64.63,7.26,42.36,0.0,0.0,109.1,0.89,0.0,12-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
12-Jan-2018 - 00:00,9.49,1.74,747.11,0.85,9.26,29.12,23.5,24.99,75.61,0.0,62.16,7.41,38.53,3.93,0.0,270.42,1.08,40.28,13-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
13-Jan-2018 - 00:00,7.52,0.42,747.11,1.26,16.76,28.22,29.24,7.5,92.05,0.0,68.6,9.21,24.74,0.48,0.0,295.28,1.01,46.39,14-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
14-Jan-2018 - 00:00,10.76,0.38,747.16,0.95,9.75,27.26,22.91,14.57,106.68,0.0,61.89,7.04,42.12,0.34,0.0,340.33,0.76,61.7,15-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
15-Jan-2018 - 00:00,11.33,0.23,747.14,1.11,12.18,28.37,25.53,16.74,82.16,0.0,60.96,7.07,41.67,0.19,0.0,338.68,0.98,38.8,16-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
16-Jan-2018 - 00:00,12.63,0.05,747.03,0.86,9.22,28.94,23.37,21.67,106.08,0.0,57.64,6.66,44.46,0.06,0.0,339.74,0.86,5.27,17-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
17-Jan-2018 - 00:00,12.26,0.27,747.1,0.98,12.28,29.09,26.0,16.17,99.94,0.0,60.48,7.14,42.09,1.42,0.0,330.46,0.64,41.89,18-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
18-Jan-2018 - 00:00,10.5,0.41,715.97,1.25,15.76,27.21,29.11,13.26,88.98,0.0,60.23,8.28,44.64,0.48,0.0,328.53,0.76,44.5,19-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
19-Jan-2018 - 00:00,12.87,0.18,731.51,1.24,17.79,28.44,30.88,14.14,109.73,0.0,55.49,7.14,40.59,2.42,0.0,292.34,0.76,15.0,20-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
20-Jan-2018 - 00:00,14.36,0.13,747.0,1.11,14.13,26.77,26.52,13.07,117.45,0.0,54.93,5.72,60.62,0.12,-0.0,164.82,1.29,9.81,21-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
21-Jan-2018 - 00:00,14.0,26.45,747.0,1.45,14.5,32.99,29.32,9.89,94.07,0.0,51.55,7.13,8.0,26.33,0.0,291.75,0.34,137.5,22-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
22-Jan-2018 - 00:00,13.93,20.0,747.0,1.2,14.24,29.72,27.98,10.28,121.1,0.0,53.28,7.37,45.74,15.12,0.0,320.78,0.81,171.24,23-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
23-Jan-2018 - 00:00,15.71,23.25,747.0,1.12,11.36,28.32,24.8,9.28,214.51,0.0,49.31,6.9,45.57,13.46,0.0,252.16,0.65,186.29,24-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
