from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
01-Jan-2018 - 00:00,105.57,22.54,0.71,12.54,44.37,28.35,,0.95,,38.27,215.77,87.2,0.0,0.0,0.0,,0.0,,23.32,9.08,02-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Jan-2018 - 00:00,101.31,22.77,0.75,58.36,64.85,76.5,0.09,1.02,113.98,34.93,267.19,112.87,0.0,0.0,0.0,,0.0,751.08,26.24,9.47,03-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Jan-2018 - 00:00,84.64,21.48,0.61,66.64,69.87,148.6,0.34,1.52,84.16,9.88,336.51,137.1,0.0,0.42,0.0,,0.02,752.0,34.61,12.31,04-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Jan-2018 - 00:00,81.35,21.37,0.62,61.99,41.91,71.46,0.43,1.24,135.08,27.91,256.18,115.22,0.0,0.03,0.0,,0.0,752.41,35.74,10.06,05-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Jan-2018 - 00:00,78.04,22.55,0.68,36.38,28.04,44.03,0.55,0.97,195.8,18.8,264.02,114.01,0.0,0.0,0.0,,0.0,753.35,39.3,7.24,06-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Jan-2018 - 00:00,79.31,22.37,0.7,10.17,18.69,18.1,0.8,0.83,198.63,22.54,260.57,120.26,0.0,0.0,0.0,,0.0,753.21,39.05,7.67,07-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Jan-2018 - 00:00,62.22,21.0,0.78,26.83,26.31,35.07,0.5,1.04,143.62,54.58,244.02,96.7,0.0,0.02,0.0,,0.0,751.51,37.53,7.21,08-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Jan-2018 - 00:00,145.77,23.15,0.85,15.61,34.49,30.51,0.64,1.46,53.61,40.77,232.65,62.98,0.0,0.0,0.0,,0.0,752.07,33.75,6.54,09-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Jan-2018 - 00:00,106.28,25.67,0.88,19.22,43.76,37.33,0.61,1.23,49.44,13.33,294.58,104.12,0.0,0.05,0.0,,0.0,751.29,33.35,7.16,10-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Jan-2018 - 00:00,74.87,23.38,0.91,8.39,29.01,23.08,0.58,0.8,91.76,40.96,238.45,92.01,0.0,0.0,0.0,,0.0,749.68,35.24,9.26,11-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Jan-2018 - 00:00,42.28,20.92,1.14,70.52,36.0,70.95,0.4,1.49,53.6,38.75,345.12,122.63,0.0,0.27,0.0,0.0,0.0,748.57,34.46,7.98,12-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Jan-2018 - 00:00,70.69,23.14,0.11,90.92,39.19,89.16,0.22,1.24,132.29,24.02,383.63,175.47,0.0,0.11,0.0,0.0,0.0,751.22,28.79,6.98,13-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Jan-2018 - 00:00,73.02,24.68,-0.31,61.21,37.89,64.62,0.25,1.07,99.16,36.01,349.63,154.73,0.0,0.05,0.0,0.0,0.0,752.09,29.29,5.76,14-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
14-Jan-2018 - 00:00,78.23,25.35,0.14,42.52,33.4,47.31,0.38,0.94,130.05,20.02,307.73,136.92,0.0,0.04,0.0,0.0,0.0,752.14,26.48,7.33,15-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
15-Jan-2018 - 00:00,89.72,24.65,1.02,92.59,36.18,98.2,0.45,1.62,103.21,26.24,387.31,166.98,0.0,0.48,0.0,0.0,0.01,751.53,24.1,8.37,16-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Jan-2018 - 00:00,82.32,23.79,0.41,86.12,32.16,81.65,0.36,1.11,150.37,19.99,323.19,148.51,0.0,0.28,0.0,0.0,0.01,753.66,24.72,6.06,17-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
17-Jan-2018 - 00:00,81.37,23.82,0.15,56.09,26.53,54.35,0.55,1.15,179.56,21.51,279.31,120.46,0.0,0.04,0.0,0.0,0.0,754.33,31.44,7.26,18-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
18-Jan-2018 - 00:00,83.28,24.08,0.44,25.26,23.85,28.3,0.36,0.7,175.19,27.53,255.21,108.33,0.0,0.02,0.0,0.0,0.0,752.45,32.84,6.61,19-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
19-Jan-2018 - 00:00,74.02,23.76,0.39,6.21,14.24,7.85,0.96,0.64,177.57,31.1,283.9,140.56,0.0,0.0,0.0,0.0,0.0,751.58,32.99,7.83,20-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
20-Jan-2018 - 00:00,84.76,22.91,-0.07,4.63,6.8,6.08,0.67,0.8,146.42,24.48,245.8,103.32,0.0,0.0,0.0,0.0,0.0,751.62,26.19,13.01,21-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
21-Jan-2018 - 00:00,83.15,22.68,0.15,7.83,13.91,24.4,0.38,1.25,125.17,22.34,308.71,128.52,0.0,0.13,0.0,0.0,0.0,753.2,25.54,13.33,22-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
22-Jan-2018 - 00:00,74.1,22.99,0.36,16.28,31.95,26.82,0.42,0.62,133.03,25.74,268.73,119.67,0.0,0.0,0.0,0.0,0.0,755.01,30.27,8.35,23-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
23-Jan-2018 - 00:00,75.75,23.36,0.72,15.05,31.12,28.19,1.39,0.77,257.33,17.46,249.48,92.64,0.0,0.0,0.0,0.0,0.0,755.64,38.72,8.46,24-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
24-Jan-2018 - 00:00,78.54,21.42,1.15,15.62,28.92,26.68,0.63,1.61,168.03,37.41,357.84,167.74,0.0,0.39,0.0,0.0,0.0,752.69,42.07,5.45,25-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
25-Jan-2018 - 00:00,82.08,21.72,1.18,13.59,27.76,24.63,0.47,1.24,139.07,68.64,284.67,133.6,0.0,0.14,0.0,0.0,0.0,753.38,40.18,6.15,26-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
26-Jan-2018 - 00:00,85.07,21.94,1.22,11.22,31.55,24.49,0.31,1.19,176.69,75.66,303.34,140.74,0.0,0.45,0.0,0.0,0.0,753.4,39.52,7.94,27-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
27-Jan-2018 - 00:00,85.06,22.48,1.32,11.67,31.18,26.02,0.22,1.38,157.23,79.39,325.76,149.49,0.0,0.48,0.0,0.0,0.0,753.87,39.01,6.06,28-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
28-Jan-2018 - 00:00,84.73,23.79,1.22,11.67,31.92,22.42,0.28,0.95,148.75,83.86,304.07,136.01,0.0,0.27,0.0,0.0,0.0,753.45,35.07,8.19,29-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
29-Jan-2018 - 00:00,69.31,23.89,1.1,10.64,34.02,22.97,0.33,1.66,125.8,42.46,361.61,152.38,0.0,0.72,0.0,0.0,0.06,752.01,36.22,11.16,30-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
30-Jan-2018 - 00:00,90.63,24.97,1.23,11.27,33.72,20.72,0.49,1.17,195.63,15.07,375.93,150.58,0.0,1.14,0.0,0.0,0.09,751.57,39.82,8.73,31-Jan-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
31-Jan-2018 - 00:00,95.79,25.9,1.11,14.28,27.48,25.84,0.5,1.52,125.74,17.69,267.74,113.4,0.0,0.2,0.0,0.0,0.0,752.73,39.08,11.86,01-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
01-Feb-2018 - 00:00,73.26,25.07,0.83,18.79,32.2,30.26,0.24,1.48,190.01,21.48,312.69,142.07,0.0,0.18,0.0,0.0,0.0,752.74,36.11,7.91,02-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Feb-2018 - 00:00,71.1,25.45,0.52,21.19,33.45,32.5,0.94,1.04,220.56,21.13,275.88,109.84,0.0,0.0,0.0,0.0,0.0,754.52,28.86,7.21,03-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Feb-2018 - 00:00,81.8,24.7,0.41,12.52,21.23,27.46,0.69,0.85,113.52,26.11,276.33,102.71,0.0,0.09,0.0,0.0,0.0,752.88,24.01,8.12,04-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Feb-2018 - 00:00,87.43,23.71,0.59,37.96,37.29,80.58,0.91,1.01,38.0,48.41,239.66,99.96,0.0,0.07,0.0,0.0,0.0,752.12,22.24,11.91,05-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Feb-2018 - 00:00,50.41,23.94,0.5,44.15,42.1,67.93,0.94,1.0,69.28,48.64,253.44,100.12,0.0,0.07,0.0,0.0,0.0,751.46,21.95,10.11,06-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Feb-2018 - 00:00,58.08,24.61,0.51,57.75,65.36,95.99,0.93,0.93,71.25,40.34,266.69,88.82,0.0,0.26,0.0,0.0,0.0,751.22,23.73,6.48,07-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
