from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2018 - 00:00,,227.19,98.97,80.7,51.42,33.62,59.03,,22.96,,0.29,,,282.61,55.41,,,,,,02-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
02-Jan-2018 - 00:00,,215.14,97.72,86.29,42.13,31.08,50.23,,22.87,,0.28,,,274.29,55.38,,,,,,03-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
03-Jan-2018 - 00:00,,245.9,95.59,95.19,45.44,28.85,51.71,,23.02,,0.3,,,317.91,55.51,,,,,,04-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
04-Jan-2018 - 00:00,,136.55,97.92,83.92,41.27,27.4,47.6,,21.33,,0.41,,,361.02,51.57,,,,,,05-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
05-Jan-2018 - 00:00,,103.19,96.51,82.71,44.35,24.32,48.43,,19.36,,0.41,,,406.01,46.21,,,,,,06-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
06-Jan-2018 - 00:00,,246.06,87.75,104.59,66.85,19.4,63.79,,19.89,,0.36,,,424.77,46.18,,,,,,07-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
07-Jan-2018 - 00:00,,239.92,77.07,131.3,32.66,23.36,38.56,,20.83,,0.41,,,269.09,46.02,,,,,,08-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
08-Jan-2018 - 00:00,,213.0,75.86,130.85,39.17,21.72,42.9,,21.01,,0.36,,,287.31,46.07,,,,,,09-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
09-Jan-2018 - 00:00,,235.21,77.4,124.95,51.75,21.56,52.86,,20.92,,0.38,,,367.83,45.99,,,,,,10-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
10-Jan-2018 - 00:00,,243.42,72.04,133.66,36.18,23.7,41.55,,21.47,,0.45,,,326.25,45.85,,,,,,11-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
11-Jan-2018 - 00:00,,252.38,70.16,133.78,31.35,22.74,37.18,,21.55,,0.43,,,248.24,45.82,,,,,,12-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
12-Jan-2018 - 00:00,,202.68,69.36,123.72,48.06,20.02,49.1,,21.74,,0.37,,,297.3,46.12,,,,,,13-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
13-Jan-2018 - 00:00,,201.99,70.3,130.76,61.67,21.19,60.62,,21.62,,0.32,,,428.01,45.95,,,,,,14-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
14-Jan-2018 - 00:00,,213.4,69.97,133.65,41.56,22.01,44.96,,21.65,,0.39,,,340.76,46.08,,,,,,15-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
15-Jan-2018 - 00:00,,244.34,71.97,136.98,38.43,21.55,42.2,,21.55,,0.45,,,257.18,45.93,,,,,,16-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
16-Jan-2018 - 00:00,,204.96,66.71,146.04,42.7,20.62,45.1,,21.97,,0.39,,,222.93,46.24,,,,,,17-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
17-Jan-2018 - 00:00,,130.49,79.74,121.75,73.67,20.06,69.59,,21.07,,0.34,,,350.29,46.14,,,,,,18-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
18-Jan-2018 - 00:00,,210.83,85.25,107.71,76.34,19.91,71.63,,21.03,,0.29,,,417.27,46.4,,,,,,19-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
19-Jan-2018 - 00:00,,245.16,83.11,119.56,55.87,24.13,57.54,,21.29,,0.34,,,398.8,46.17,,,,,,20-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
20-Jan-2018 - 00:00,,228.06,74.67,138.94,37.67,22.8,42.27,,21.45,,0.4,,,259.57,46.31,,,,,,21-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
21-Jan-2018 - 00:00,,193.24,71.22,138.8,49.51,19.12,49.78,,21.58,,0.32,,,258.76,46.77,,,,,,22-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
22-Jan-2018 - 00:00,,118.64,70.98,113.5,66.39,20.36,63.94,,21.75,,0.31,,,272.95,46.84,,,,,,23-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
23-Jan-2018 - 00:00,,128.35,93.34,45.69,57.62,21.22,57.38,,20.13,,0.44,,,233.53,46.75,,,,,,24-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
24-Jan-2018 - 00:00,,230.79,94.69,107.31,47.09,20.58,48.62,,20.1,,0.26,,,166.56,46.39,,,,,,25-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
25-Jan-2018 - 00:00,,258.18,98.07,103.56,39.88,21.25,43.22,,19.73,,0.41,,,149.3,46.34,,,,,,26-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
26-Jan-2018 - 00:00,,266.04,98.11,89.34,41.06,19.85,43.41,,19.59,,0.26,,,131.0,46.65,,,,,,27-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
27-Jan-2018 - 00:00,,229.61,89.1,126.65,38.88,21.56,42.57,,20.3,,0.25,,,211.74,46.68,,,,,,28-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
28-Jan-2018 - 00:00,,207.49,85.69,141.55,42.57,19.99,44.69,,20.51,,0.34,,,146.64,46.55,,,,,,29-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
29-Jan-2018 - 00:00,,233.45,78.83,146.72,44.83,20.81,46.94,,21.13,,0.37,,,198.75,46.55,,,,,,30-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
30-Jan-2018 - 00:00,,247.74,68.13,160.19,37.87,22.26,42.13,,22.47,,0.49,,,184.22,46.38,,,,,,31-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
31-Jan-2018 - 00:00,,248.53,70.12,144.47,33.56,23.8,39.51,,22.41,,0.55,,,185.52,46.51,,,,,,01-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
01-Feb-2018 - 00:00,,212.81,69.43,150.03,47.83,22.34,50.15,,22.63,,0.34,,,250.5,46.83,,,,,,02-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
02-Feb-2018 - 00:00,,204.69,99.43,7.59,54.46,19.31,53.83,,19.74,,0.24,,,111.44,46.97,,,,,,03-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
05-Feb-2018 - 00:00,,255.56,38.92,155.23,31.14,21.29,36.24,,24.41,,0.22,,,159.09,46.26,,,,,,06-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
