from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Feb-2018 - 00:00,22.27,985.88,44.95,178.33,301.23,1.69,360.73,,0.0,,,,35.88,69.59,84.73,188.11,20.95,,2.35,02-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Feb-2018 - 00:00,18.91,984.03,63.12,120.92,302.5,1.58,329.28,,0.0,,,,45.11,43.37,127.0,89.7,28.48,4.0,1.5,03-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Feb-2018 - 00:00,17.65,986.6,52.15,123.11,311.32,1.62,286.8,56.5,0.0,,,,37.61,39.34,125.78,92.04,29.56,,1.43,04-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Feb-2018 - 00:00,16.51,987.1,51.91,131.06,293.73,2.22,293.42,,0.0,0.0,0.0,0.0,36.98,22.0,90.33,71.45,28.87,3.71,0.93,05-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Feb-2018 - 00:00,16.05,989.3,44.1,97.92,297.9,1.55,340.29,,0.0,0.0,0.0,0.0,37.27,51.09,111.82,132.03,34.94,42.05,1.66,06-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Feb-2018 - 00:00,17.05,989.08,46.1,83.44,302.83,2.04,326.25,57.67,0.0,0.0,0.0,0.0,37.73,37.27,123.24,91.61,37.94,37.88,1.34,07-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Feb-2018 - 00:00,16.37,986.17,46.86,131.09,295.77,2.22,300.58,,0.0,0.0,0.0,0.0,36.19,35.12,71.21,127.75,38.8,64.51,1.72,08-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Feb-2018 - 00:00,15.72,985.3,52.23,113.36,272.98,1.25,350.4,53.0,0.0,,,,37.08,63.14,113.22,165.76,33.46,41.75,2.08,09-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Feb-2018 - 00:00,16.03,985.3,55.04,117.53,289.54,1.38,379.36,,0.0,,,,40.79,67.03,120.74,163.27,34.76,51.39,1.93,10-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Feb-2018 - 00:00,17.09,987.83,47.72,108.39,179.79,0.75,313.25,58.0,0.0,,,,36.27,52.36,118.78,147.36,41.09,63.97,1.95,11-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Feb-2018 - 00:00,17.56,987.24,49.45,104.71,140.27,1.33,282.77,,0.0,,,,38.13,30.56,76.93,97.0,51.74,64.78,1.26,12-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Feb-2018 - 00:00,15.61,989.49,79.51,75.25,121.32,2.14,142.31,59.0,0.0,,,,32.78,1.72,32.32,28.17,26.42,55.16,0.87,13-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Feb-2018 - 00:00,16.38,993.66,77.32,113.66,230.27,1.24,193.09,,0.0,,,,39.25,31.17,103.16,69.34,32.68,40.94,1.37,14-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Feb-2018 - 00:00,16.89,993.31,61.49,136.28,302.92,2.71,179.14,42.6,0.0,,,,31.59,12.37,66.14,54.54,29.49,46.3,0.84,15-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Feb-2018 - 00:00,17.68,991.17,63.07,127.33,298.95,2.6,211.73,53.0,0.0,,,,35.96,19.26,81.29,62.37,34.32,51.06,1.06,16-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Feb-2018 - 00:00,18.67,989.77,66.34,134.56,296.09,1.91,262.65,,0.0,,,,42.34,26.28,102.13,74.68,37.05,42.15,1.22,17-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Feb-2018 - 00:00,19.6,984.71,62.64,154.23,292.09,2.22,249.81,,0.0,,,,39.04,32.1,80.3,90.67,29.7,63.54,1.4,18-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Feb-2018 - 00:00,19.25,983.88,58.08,167.28,285.57,1.83,235.54,50.61,0.0,,,,37.56,31.9,95.33,82.78,23.97,60.76,1.32,19-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Feb-2018 - 00:00,19.4,985.42,51.0,162.01,282.37,1.36,311.72,55.97,0.0,1.58,1.02,1.0,41.51,57.26,121.2,142.22,37.65,54.04,1.94,20-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Feb-2018 - 00:00,20.84,985.1,50.98,158.67,276.35,1.55,321.44,52.83,0.0,2.55,1.08,1.1,42.81,46.5,103.14,113.4,39.75,56.73,2.16,21-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Feb-2018 - 00:00,22.83,982.82,48.62,146.09,212.89,0.88,329.42,59.0,0.0,2.79,1.63,1.27,40.8,49.7,94.97,126.23,40.56,57.2,2.37,22-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Feb-2018 - 00:00,23.0,981.96,59.76,138.9,235.66,1.0,294.76,,0.0,4.05,2.64,1.42,46.25,59.26,122.94,150.14,38.03,50.58,2.47,23-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Feb-2018 - 00:00,23.52,982.24,59.68,112.61,147.38,0.74,342.81,,0.0,3.8,1.99,0.92,53.96,68.91,108.55,182.39,45.88,30.08,2.78,24-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Feb-2018 - 00:00,23.56,983.94,59.1,160.98,135.95,1.2,307.71,,0.0,1.13,1.85,0.71,51.98,19.61,80.64,78.71,43.36,61.71,1.66,25-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Feb-2018 - 00:00,25.23,986.84,51.57,182.29,262.99,2.24,151.57,55.5,0.0,1.0,,,37.24,6.39,45.74,41.37,27.82,99.06,1.03,26-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Feb-2018 - 00:00,21.5,985.19,61.98,168.52,308.56,2.89,142.95,39.74,0.0,0.73,0.38,0.63,33.58,10.69,51.69,41.76,23.47,61.12,1.04,27-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Feb-2018 - 00:00,23.08,984.54,59.45,157.03,305.91,2.25,160.2,44.97,0.0,0.68,0.44,0.96,32.56,20.08,70.78,66.05,23.51,55.61,1.34,28-Feb-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Feb-2018 - 00:00,23.54,984.68,65.19,143.37,291.27,1.26,223.94,,0.0,1.54,1.44,0.75,41.92,42.99,117.07,96.3,28.94,56.23,1.84,01-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Mar-2018 - 00:00,22.95,983.15,58.28,143.17,272.28,1.24,224.57,49.96,0.0,2.3,1.48,0.89,38.34,54.22,116.82,109.27,39.83,54.63,1.51,02-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Mar-2018 - 00:00,24.27,981.49,51.8,160.02,274.93,1.43,252.16,47.0,0.0,0.8,1.19,0.77,38.33,49.36,75.64,79.54,20.89,11.54,0.1,03-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Mar-2018 - 00:00,25.14,979.59,51.64,142.88,242.25,1.37,219.65,44.38,0.0,0.58,0.72,0.59,39.98,29.42,67.83,60.64,25.91,39.18,1.17,04-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Mar-2018 - 00:00,23.34,980.82,52.79,141.93,264.45,1.62,186.23,45.68,0.0,0.67,0.41,0.86,34.0,24.54,75.93,56.96,34.3,50.63,1.23,05-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
