from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
01-Jan-2018 - 00:00,162.29,292.99,2.79,7.78,30.4,38.18,3.7,1.68,18.75,5.83,11.34,10.56,14.23,141.82,216.14,1.08,73.37,02-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Jan-2018 - 00:00,140.79,246.76,3.03,9.21,31.03,40.24,3.88,1.71,18.86,5.22,10.84,9.19,10.82,153.03,127.94,1.25,94.86,03-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Jan-2018 - 00:00,89.22,182.84,3.67,7.51,29.99,37.5,3.66,1.44,18.72,4.73,8.46,5.63,9.15,178.64,151.04,1.09,98.92,04-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,0.0,0.0,,,,,12-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Jan-2018 - 00:00,102.45,201.76,5.41,5.24,76.07,90.67,13.91,1.5,26.35,12.36,10.07,6.2,,,,,,13-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Jan-2018 - 00:00,104.45,189.27,3.33,7.41,78.13,86.15,14.21,1.66,19.77,6.06,10.29,9.47,,,,,,14-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Jan-2018 - 00:00,117.8,190.57,5.78,25.29,95.4,137.71,17.02,1.86,20.2,9.47,10.26,8.63,,,,,,15-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Jan-2018 - 00:00,68.55,142.97,3.3,15.8,85.54,101.65,15.61,1.4,23.57,8.98,8.57,7.72,12.86,131.43,173.23,0.74,76.62,16-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Jan-2018 - 00:00,74.99,153.22,10.02,7.05,79.16,86.67,14.28,1.43,23.13,12.97,10.17,10.53,15.19,266.54,201.68,0.99,62.0,17-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Jan-2018 - 00:00,78.89,153.34,3.31,5.2,77.4,96.46,14.01,1.23,19.17,5.37,7.96,7.1,15.1,259.35,123.11,1.78,71.56,18-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Jan-2018 - 00:00,72.0,143.35,5.07,5.82,78.1,84.08,14.17,1.2,19.17,4.94,7.99,6.49,16.4,273.74,229.56,0.97,66.59,19-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Jan-2018 - 00:00,61.52,131.65,3.56,5.36,77.5,96.34,14.1,1.24,20.26,4.69,7.6,5.82,15.72,257.93,283.54,1.12,59.43,20-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Jan-2018 - 00:00,72.34,159.06,3.88,5.86,77.09,82.95,13.99,1.23,21.09,8.25,8.17,6.6,15.59,263.39,255.94,1.12,51.34,21-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Jan-2018 - 00:00,72.44,159.67,3.15,6.16,76.94,83.1,13.91,1.21,22.65,7.27,8.39,6.94,15.04,263.03,179.91,1.06,63.09,22-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Jan-2018 - 00:00,60.05,133.27,2.87,5.37,77.11,82.63,13.85,1.1,19.73,5.33,7.7,6.47,14.63,252.79,142.64,1.12,69.77,23-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
