from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
01-Jan-2018 - 00:00,56.22,115.02,28.89,101.51,716.42,60.77,0.0,223.59,0.74,-0.01,21.69,0.22,0.51,15.43,41.49,3.36,22.87,14.78,16.99,0.77,3.06,02-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Jan-2018 - 00:00,63.57,133.47,28.87,87.69,716.68,63.61,0.0,140.55,0.73,0.04,21.92,0.25,0.58,15.02,44.24,4.2,27.6,18.09,14.29,0.78,2.26,03-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Jan-2018 - 00:00,72.61,136.55,28.9,95.98,716.43,61.74,0.0,130.79,0.9,0.06,22.28,0.17,0.42,15.33,41.97,2.42,26.29,15.95,13.75,0.75,1.89,04-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Jan-2018 - 00:00,68.25,147.67,29.34,316.58,712.25,44.33,0.0,107.67,1.42,0.15,26.12,0.1,0.36,22.12,94.17,0.57,17.42,9.74,12.95,0.8,1.01,05-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Jan-2018 - 00:00,70.88,142.73,29.5,121.63,715.25,49.13,0.0,159.92,0.76,0.03,23.84,0.16,0.49,21.36,78.82,23.19,30.67,26.06,14.13,0.87,1.59,06-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Jan-2018 - 00:00,71.56,152.97,28.86,89.89,717.23,61.06,0.0,130.68,0.63,0.04,20.57,0.21,0.83,15.79,34.6,4.39,35.73,22.57,13.72,1.1,2.41,07-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Jan-2018 - 00:00,68.19,137.57,28.88,95.6,717.07,59.11,0.0,120.09,0.74,0.05,21.32,0.14,0.66,14.16,46.61,1.29,25.82,14.77,12.82,0.85,1.86,08-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Jan-2018 - 00:00,68.46,140.72,28.87,96.73,717.36,61.6,0.0,96.66,0.93,0.09,20.79,0.13,0.66,14.07,44.65,2.5,28.02,16.85,13.09,0.84,1.45,09-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Jan-2018 - 00:00,77.07,157.15,28.98,91.07,717.05,65.77,0.0,79.31,0.92,0.07,21.18,0.17,0.66,16.14,73.06,3.51,31.29,19.5,15.69,0.86,1.71,10-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Jan-2018 - 00:00,71.34,152.47,28.97,97.98,716.16,62.35,0.0,94.48,0.91,0.08,22.23,0.18,0.81,15.34,62.61,3.13,27.95,17.41,14.02,0.83,1.98,11-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Jan-2018 - 00:00,74.55,163.88,29.21,94.41,715.81,59.97,0.0,215.27,0.73,0.01,23.03,0.2,0.56,20.31,46.75,5.02,32.72,21.31,16.32,0.91,2.47,12-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Jan-2018 - 00:00,68.16,156.24,28.84,98.25,715.71,60.22,0.0,94.45,0.73,0.02,23.42,0.24,0.8,21.93,33.39,6.11,33.78,22.93,16.54,0.94,2.84,13-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Jan-2018 - 00:00,68.86,160.11,28.86,101.08,715.98,58.28,0.0,55.69,0.88,0.05,23.24,0.34,0.75,22.54,34.08,7.81,34.74,24.83,16.72,1.02,3.57,14-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Jan-2018 - 00:00,69.19,147.85,28.73,98.45,715.9,59.64,0.0,64.76,0.85,0.08,23.39,0.21,0.8,15.21,38.96,9.09,28.44,22.35,14.01,0.98,2.31,15-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Jan-2018 - 00:00,61.72,111.38,28.83,93.32,715.41,61.76,0.0,155.52,0.68,-0.0,24.01,0.14,0.31,13.74,33.84,1.09,16.47,9.63,14.03,0.73,1.49,16-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Jan-2018 - 00:00,57.2,114.08,28.73,104.26,715.75,60.12,0.0,195.68,1.04,-0.03,23.58,0.14,0.42,12.08,28.44,1.82,18.89,11.54,12.89,0.73,1.74,17-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Jan-2018 - 00:00,59.34,129.51,28.63,102.78,716.16,61.1,0.0,128.52,0.87,0.03,22.72,0.16,0.44,15.93,27.76,4.47,23.68,16.23,12.56,0.72,1.99,18-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Jan-2018 - 00:00,64.03,151.63,29.11,104.73,716.34,61.01,0.0,179.5,0.94,-0.04,22.45,0.22,1.11,18.95,40.22,6.81,28.99,20.95,14.66,0.82,2.58,19-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Jan-2018 - 00:00,58.97,142.63,28.94,103.9,716.8,58.53,0.0,190.14,0.81,-0.01,21.51,0.37,0.82,23.04,23.57,10.7,29.96,24.62,14.58,0.89,3.21,20-Jan-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
