from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
01-Jan-2018 - 00:00,29.44,0.8,31.06,14.94,90.36,57.19,33.46,15.86,50.61,107.62,3.17,24.34,1.34,23.56,51.74,1.05,178.89,120.27,718.19,0.0,0.0,02-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Jan-2018 - 00:00,29.47,0.91,36.57,15.75,91.13,58.08,28.43,7.14,64.1,137.67,2.0,25.94,0.99,23.8,54.38,1.27,156.4,112.94,717.99,0.0,0.0,03-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Jan-2018 - 00:00,29.62,0.85,58.03,11.41,73.93,46.3,27.94,12.45,71.73,140.72,1.88,19.66,0.79,23.39,54.82,1.39,121.11,110.8,721.18,0.0,0.0,04-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Jan-2018 - 00:00,30.72,0.84,54.16,13.79,77.2,49.49,31.45,27.76,74.89,160.76,2.17,19.88,1.76,22.83,52.56,1.59,137.05,111.88,723.09,0.0,0.0,05-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Jan-2018 - 00:00,29.64,0.93,18.53,16.63,90.5,58.29,25.4,26.48,73.61,157.86,1.95,22.1,12.49,22.64,52.04,1.31,167.23,113.66,721.38,0.0,0.0,06-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Jan-2018 - 00:00,29.85,0.86,20.4,11.21,91.82,55.7,28.2,16.21,69.82,145.08,2.17,25.64,7.47,22.53,49.42,1.34,161.93,115.9,720.04,0.0,0.0,07-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Jan-2018 - 00:00,33.79,0.82,27.98,8.9,74.76,45.22,25.31,11.93,68.94,128.23,0.94,12.17,1.34,18.15,62.55,1.31,187.91,2.0,720.05,0.0,0.0,08-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Jan-2018 - 00:00,30.05,0.78,46.81,9.4,63.09,39.32,17.86,7.58,65.77,123.89,0.67,4.85,0.44,24.16,46.66,1.97,148.41,159.25,723.79,0.01,0.0,09-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Jan-2018 - 00:00,29.74,0.85,25.96,11.87,78.55,49.04,18.15,7.22,77.17,158.85,1.02,6.98,0.54,21.89,60.01,1.46,138.51,111.33,726.74,0.0,0.0,10-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Jan-2018 - 00:00,29.82,0.91,22.31,16.25,84.5,54.86,21.58,14.83,70.78,154.8,1.94,15.03,0.72,23.51,56.56,1.5,122.54,116.52,727.52,0.0,0.0,11-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Jan-2018 - 00:00,29.73,0.95,20.75,13.65,89.39,55.89,30.25,33.53,77.95,165.18,2.87,30.76,14.9,25.01,50.72,1.17,130.05,110.8,726.46,0.0,0.0,12-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Jan-2018 - 00:00,29.79,0.95,21.12,13.99,89.25,56.02,33.25,9.25,76.24,159.34,2.56,30.56,8.14,25.54,50.78,1.31,141.15,116.14,724.94,0.0,0.0,13-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Jan-2018 - 00:00,30.1,0.9,21.2,13.17,89.29,55.55,22.92,8.45,69.57,158.14,1.73,16.7,3.26,25.42,47.91,1.64,151.04,117.17,724.34,0.0,0.0,14-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Jan-2018 - 00:00,29.95,1.0,22.33,19.11,88.82,58.89,24.19,8.91,67.88,139.7,1.45,22.93,10.16,25.52,48.62,1.33,135.93,116.15,724.8,0.0,0.0,15-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Jan-2018 - 00:00,31.47,0.78,17.38,8.61,73.3,44.27,23.05,3.33,62.4,103.6,0.58,7.98,0.75,25.57,53.96,1.38,151.63,114.64,724.54,0.0,0.0,16-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Jan-2018 - 00:00,31.48,1.25,27.45,11.96,61.89,39.03,29.05,7.59,62.61,130.14,0.84,7.85,1.09,27.27,43.47,1.97,171.12,157.05,723.25,0.01,0.0,17-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Jan-2018 - 00:00,31.32,0.85,28.15,10.97,66.63,42.16,29.21,10.38,65.02,122.41,1.23,14.53,0.47,25.59,49.17,1.63,149.87,128.23,722.38,0.01,0.0,18-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Jan-2018 - 00:00,28.5,0.86,14.58,13.97,77.53,49.78,25.97,13.54,65.32,131.59,1.21,20.59,3.03,24.12,53.27,1.43,160.96,129.37,724.35,0.0,0.0,19-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Jan-2018 - 00:00,29.17,0.9,12.91,17.95,88.57,58.06,30.92,24.34,63.99,139.85,1.83,28.51,6.48,23.81,46.99,1.4,151.03,123.61,725.69,0.0,0.0,20-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Jan-2018 - 00:00,30.18,0.93,33.54,17.89,82.46,54.77,29.77,25.38,66.22,145.22,1.65,29.83,11.44,23.24,44.67,1.3,174.71,132.01,724.46,0.0,0.0,21-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Jan-2018 - 00:00,30.01,0.87,20.55,11.13,86.39,52.76,27.72,12.25,69.89,131.75,1.13,18.99,3.25,22.84,49.98,1.56,147.1,129.86,722.65,0.0,0.0,22-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Jan-2018 - 00:00,31.39,0.92,32.42,11.04,75.06,46.68,34.01,6.5,74.18,136.97,1.02,9.89,0.41,24.39,47.56,1.63,147.05,147.15,720.21,0.01,0.0,23-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Jan-2018 - 00:00,29.89,0.73,25.78,7.81,65.16,39.45,16.99,3.82,54.74,96.9,0.15,3.11,0.63,23.3,54.44,1.84,217.14,127.68,719.44,0.0,0.0,24-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
