from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2018 - 00:00,388.23,271.83,20.23,25.46,,1.26,,40.59,02-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Jan-2018 - 00:00,370.22,216.74,22.49,23.75,,1.43,,33.39,03-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Jan-2018 - 00:00,268.36,171.52,23.38,23.16,,1.49,,31.16,04-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Jan-2018 - 00:00,270.21,178.71,22.79,23.97,,1.45,,35.79,05-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Jan-2018 - 00:00,283.78,184.1,22.36,23.85,,1.42,,33.81,06-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Jan-2018 - 00:00,287.92,193.19,22.02,24.18,,1.39,,35.53,07-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Jan-2018 - 00:00,226.33,144.0,22.32,23.92,,1.41,,34.32,08-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Jan-2018 - 00:00,248.66,144.23,22.31,24.04,,1.41,,35.32,09-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Jan-2018 - 00:00,294.04,180.35,21.08,24.9,,1.32,,38.68,10-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Jan-2018 - 00:00,245.47,155.32,22.01,24.17,,1.39,,35.48,11-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Jan-2018 - 00:00,208.14,119.47,22.77,23.73,,1.45,,34.08,12-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Jan-2018 - 00:00,247.26,128.32,23.17,23.57,,1.48,,33.6,13-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Jan-2018 - 00:00,299.98,169.64,21.21,24.8,,1.33,,38.04,14-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Jan-2018 - 00:00,258.46,141.31,21.76,24.46,,1.37,,36.89,15-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Jan-2018 - 00:00,272.97,133.24,20.95,24.95,,1.31,,38.66,16-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Jan-2018 - 00:00,228.47,102.74,21.41,24.72,,1.35,,38.04,17-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Jan-2018 - 00:00,313.03,183.77,20.73,25.14,45.76,1.29,,39.75,18-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Jan-2018 - 00:00,329.7,207.08,20.38,25.41,45.79,1.27,,40.79,19-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Jan-2018 - 00:00,346.18,232.08,20.53,25.24,45.77,1.28,,39.73,20-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Jan-2018 - 00:00,242.85,138.58,21.85,24.31,46.17,1.38,,36.17,21-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Jan-2018 - 00:00,259.33,122.9,22.09,24.21,46.3,1.4,,35.85,22-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Jan-2018 - 00:00,290.89,153.0,19.66,26.33,45.99,1.21,,47.28,23-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Jan-2018 - 00:00,226.23,136.57,22.51,23.75,46.26,1.43,,33.38,24-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Jan-2018 - 00:00,190.86,115.26,24.33,22.48,46.81,1.56,,28.5,25-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Jan-2018 - 00:00,148.42,68.29,25.9,21.74,47.64,1.68,,26.37,26-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Jan-2018 - 00:00,194.16,1.33,24.59,22.51,47.09,1.58,,28.99,27-Jan-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
