from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
01-Jan-2018 - 00:00,33.1,2.67,46.05,27.43,48.18,29.87,51.86,276.19,0.48,2.98,1.11,9.77,90.59,0.3,204.25,20.86,754.66,-0.14,02-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Jan-2018 - 00:00,33.06,2.44,22.15,15.1,21.03,16.0,33.65,226.76,0.61,3.0,1.89,10.84,87.54,0.3,238.78,28.0,754.52,-0.16,03-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Jan-2018 - 00:00,32.63,2.55,21.31,70.8,87.72,68.2,46.32,247.78,0.54,2.66,1.84,10.11,87.35,0.3,228.96,14.98,754.65,-0.15,04-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Jan-2018 - 00:00,33.05,2.49,41.51,24.83,53.06,29.42,36.65,283.14,0.56,2.8,1.43,9.8,84.51,0.3,224.68,24.75,755.42,-0.15,05-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Jan-2018 - 00:00,33.05,2.26,25.0,11.21,20.49,12.36,30.77,250.03,0.65,3.03,1.39,6.96,92.78,0.3,223.14,25.19,754.84,-0.15,06-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Jan-2018 - 00:00,32.92,2.18,46.03,50.43,72.42,50.4,33.27,239.43,0.49,2.81,1.34,7.99,83.93,0.3,209.44,28.59,754.35,-0.13,07-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Jan-2018 - 00:00,32.8,2.41,43.26,71.63,96.69,69.96,57.7,284.56,0.57,3.37,1.33,7.72,89.29,0.3,186.67,27.75,754.71,-0.13,08-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Jan-2018 - 00:00,32.76,2.95,35.0,57.95,91.99,60.24,60.93,318.9,0.8,3.87,1.98,9.03,88.45,0.3,149.9,28.68,755.69,-0.13,09-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Jan-2018 - 00:00,32.6,2.5,30.67,21.64,42.81,24.73,52.73,235.84,0.69,3.06,1.57,8.77,88.91,0.3,206.72,31.85,756.29,-0.13,10-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Jan-2018 - 00:00,32.97,2.05,38.32,53.39,58.92,56.45,42.45,206.01,0.56,2.82,1.58,7.1,91.71,0.3,219.16,14.35,756.19,-0.16,11-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Jan-2018 - 00:00,32.27,2.03,23.54,49.91,77.45,51.41,67.14,215.41,0.57,2.74,1.42,6.55,95.72,0.3,213.91,4.4,755.65,-0.15,12-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Jan-2018 - 00:00,29.56,2.52,46.93,67.82,93.47,66.75,70.26,252.4,0.56,3.21,1.37,8.7,84.31,0.3,204.44,22.35,755.22,-0.13,13-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Jan-2018 - 00:00,30.18,2.51,31.39,33.77,68.01,38.91,49.62,250.38,0.62,2.57,1.26,8.8,90.56,0.3,215.91,18.07,755.05,-0.14,14-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Jan-2018 - 00:00,30.92,2.0,29.16,11.27,28.0,14.71,43.42,184.01,0.68,2.88,0.98,8.5,94.84,0.3,201.6,23.18,755.51,-0.11,15-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Jan-2018 - 00:00,31.57,2.2,49.39,50.21,66.11,49.46,49.7,212.68,0.52,2.83,1.46,10.88,87.36,0.3,213.38,30.21,754.9,-0.14,16-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Jan-2018 - 00:00,33.06,2.58,21.68,88.13,78.7,83.11,58.22,217.93,0.88,3.68,2.54,9.36,93.36,0.3,196.82,18.47,754.66,-0.11,17-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Jan-2018 - 00:00,33.69,2.54,37.2,20.74,34.3,21.92,50.04,173.51,0.8,3.87,2.14,9.24,93.94,0.3,225.75,26.24,754.8,-0.12,18-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Jan-2018 - 00:00,33.67,1.74,36.58,22.49,27.97,21.25,43.59,190.66,0.61,3.72,2.0,10.45,88.44,0.3,212.23,29.84,754.89,-0.12,19-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Jan-2018 - 00:00,33.36,3.45,35.25,56.87,48.53,49.73,43.49,146.57,0.86,3.84,2.69,10.32,91.54,0.3,200.52,26.09,755.23,-0.11,20-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Jan-2018 - 00:00,33.65,2.78,21.77,35.41,63.08,38.61,48.49,115.68,0.7,3.01,1.7,9.62,94.61,0.3,203.18,19.54,754.61,-0.12,21-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Jan-2018 - 00:00,33.77,2.98,35.42,27.57,65.83,34.5,47.3,177.17,0.63,3.49,1.43,11.83,87.73,0.3,188.26,33.77,754.5,-0.13,22-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Jan-2018 - 00:00,33.75,3.4,38.15,28.05,43.86,28.98,48.78,201.16,0.69,3.72,2.02,12.32,86.45,0.3,199.89,34.38,754.02,-0.13,23-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Jan-2018 - 00:00,32.27,3.18,35.2,53.83,69.4,53.0,48.05,195.82,0.73,3.74,2.79,14.37,80.97,0.3,199.36,37.54,753.27,-0.12,24-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Jan-2018 - 00:00,31.26,1.91,42.63,22.32,35.46,23.71,47.58,167.68,0.58,3.26,2.23,16.24,74.8,0.3,193.89,29.76,752.73,-0.16,25-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Jan-2018 - 00:00,31.88,1.22,55.6,7.13,21.4,10.08,49.66,115.04,0.35,2.7,1.22,15.42,76.25,0.3,229.72,35.23,753.26,-0.13,26-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
