from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
01-Jan-2018 - 00:00,0.0,199.33,755.41,54.9,181.05,43.56,63.88,50.89,0.0,0.21,193.86,89.11,0.68,15.77,420.93,,67.34,25.84,02-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jan-2018 - 00:00,0.0,294.51,755.7,50.76,222.71,36.63,44.64,31.44,0.0,0.2,141.52,88.57,0.67,14.34,453.42,,48.43,7.64,03-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jan-2018 - 00:00,0.0,272.51,755.93,62.73,211.14,36.96,46.56,33.63,0.0,0.22,154.6,81.18,0.7,15.22,550.41,,51.04,7.91,04-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jan-2018 - 00:00,0.0,131.51,755.96,57.22,120.3,60.96,62.94,38.14,0.0,0.18,190.0,85.46,0.68,14.5,238.63,,62.76,18.97,05-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jan-2018 - 00:00,0.0,74.31,755.74,56.14,281.78,52.21,77.12,61.69,0.0,0.15,151.88,83.64,0.7,14.39,382.31,,72.06,16.16,06-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jan-2018 - 00:00,0.0,236.83,755.24,68.06,242.29,61.86,115.08,102.71,0.0,0.14,207.07,74.03,0.72,15.71,108.29,,99.43,35.55,07-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jan-2018 - 00:00,0.0,243.19,755.55,77.9,81.97,50.04,51.44,31.03,0.0,0.14,136.76,57.58,0.78,17.45,425.23,,55.57,18.0,08-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jan-2018 - 00:00,0.0,270.63,756.39,87.31,208.21,43.22,52.03,36.3,0.0,0.11,104.71,50.39,0.77,17.74,549.17,,49.58,10.37,09-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jan-2018 - 00:00,0.0,254.76,757.2,82.22,189.29,52.82,70.41,52.4,0.68,0.1,135.87,53.89,0.76,18.12,382.08,,63.83,16.36,10-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jan-2018 - 00:00,0.0,248.57,756.82,63.52,115.69,49.86,75.52,23.38,0.8,0.12,110.5,49.04,0.8,19.03,345.77,,50.74,9.54,11-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jan-2018 - 00:00,0.0,249.57,756.22,82.32,173.99,54.59,49.36,25.4,0.93,0.15,100.5,44.8,0.82,19.7,482.79,,55.28,6.16,12-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jan-2018 - 00:00,0.0,266.65,739.75,75.99,314.42,55.81,66.74,45.78,1.26,0.1,102.94,46.57,0.75,19.4,226.08,,63.27,9.59,13-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jan-2018 - 00:00,0.0,250.27,756.0,87.53,440.65,59.3,121.94,113.0,1.7,0.1,154.21,53.14,0.73,19.28,166.03,,109.22,26.18,14-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jan-2018 - 00:00,0.0,255.83,755.96,79.04,161.38,48.58,61.5,44.57,1.06,0.08,135.99,46.36,0.75,19.57,356.36,,63.9,13.55,15-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jan-2018 - 00:00,0.0,251.44,756.01,76.35,208.33,44.3,47.05,30.45,0.57,0.11,109.86,49.39,0.8,19.62,435.04,,51.22,10.8,16-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jan-2018 - 00:00,0.0,193.85,754.89,86.05,479.46,47.24,73.12,59.99,1.01,0.08,84.88,42.87,0.78,19.81,296.39,,64.95,4.15,17-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jan-2018 - 00:00,0.0,91.29,755.48,67.62,294.03,49.6,73.6,59.03,0.99,0.03,145.92,75.29,0.73,17.17,160.39,,74.82,15.72,18-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jan-2018 - 00:00,0.0,118.37,722.76,54.07,835.12,75.81,110.39,81.59,1.67,0.01,188.04,72.55,0.66,18.34,29.24,,98.71,25.76,19-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jan-2018 - 00:00,0.0,239.08,755.91,55.32,391.58,65.89,85.91,67.36,1.28,0.04,147.21,65.46,0.74,20.36,161.29,,105.05,37.99,20-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jan-2018 - 00:00,32.64,257.43,755.48,75.03,334.11,63.55,48.08,18.75,1.07,0.04,97.48,48.5,0.78,19.69,453.21,,90.81,10.62,21-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jan-2018 - 00:00,0.0,154.25,755.22,77.08,521.83,83.96,92.51,59.81,1.36,-0.04,110.77,53.08,0.65,18.15,170.05,,110.16,16.45,22-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jan-2018 - 00:00,0.0,100.52,754.63,76.16,488.3,100.31,92.19,48.55,1.19,-0.06,127.38,56.33,0.7,18.79,167.72,,115.88,20.66,23-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jan-2018 - 00:00,0.0,107.04,753.73,27.24,208.28,69.04,55.71,23.73,1.25,-0.05,106.6,69.72,0.75,17.13,159.09,,84.83,13.4,24-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jan-2018 - 00:00,0.0,257.88,731.31,77.48,283.26,48.01,39.42,17.35,0.49,0.0,75.7,71.58,0.75,16.6,148.39,,78.48,8.56,25-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jan-2018 - 00:00,0.0,253.22,754.57,117.73,266.21,50.04,40.21,16.99,0.84,0.08,77.02,76.52,0.8,17.24,406.19,,75.09,6.06,26-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jan-2018 - 00:00,10.51,290.61,715.31,90.9,215.93,32.77,27.66,13.45,0.66,0.05,73.52,83.45,0.71,14.21,25.77,,64.51,7.0,27-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jan-2018 - 00:00,0.0,295.06,755.01,82.79,345.17,44.75,40.48,20.84,0.75,-0.68,90.33,73.09,0.7,16.1,192.78,,69.93,4.22,28-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jan-2018 - 00:00,0.0,298.47,755.34,100.3,323.52,45.73,40.24,19.89,0.8,-2.98,101.14,69.58,0.73,16.96,137.13,,64.24,8.89,29-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
