from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
01-Jan-2018 - 00:00,38.58,38.44,0.0,,,36.58,282.11,227.45,,02-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
02-Jan-2018 - 00:00,41.95,28.03,0.0,,,34.81,345.04,232.5,,03-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
03-Jan-2018 - 00:00,34.12,22.1,26.52,,,30.93,370.33,261.67,,04-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
04-Jan-2018 - 00:00,69.56,11.93,62.85,,,39.28,366.65,267.89,,05-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
05-Jan-2018 - 00:00,108.49,41.05,109.5,,,57.52,383.32,275.81,,06-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
06-Jan-2018 - 00:00,214.24,24.5,207.98,,,92.8,410.68,295.01,,07-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
07-Jan-2018 - 00:00,,,,,,,273.15,207.14,,08-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
08-Jan-2018 - 00:00,108.84,32.99,105.76,,,55.56,247.82,167.11,,09-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
09-Jan-2018 - 00:00,89.2,35.47,91.22,,,50.59,359.53,258.94,,10-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
10-Jan-2018 - 00:00,22.61,40.77,36.94,,,32.02,247.75,188.23,,11-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
11-Jan-2018 - 00:00,13.72,43.19,32.82,,,30.59,203.74,160.19,,12-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
12-Jan-2018 - 00:00,140.33,46.18,138.16,,,67.61,266.25,185.99,,13-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
13-Jan-2018 - 00:00,188.56,40.5,172.74,,,79.05,348.27,262.18,,14-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
14-Jan-2018 - 00:00,,,,,,,277.68,225.81,,15-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
15-Jan-2018 - 00:00,46.27,127.19,161.54,,,63.12,235.65,187.92,,16-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
16-Jan-2018 - 00:00,22.86,27.99,231.98,,,16.78,231.44,139.62,,17-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
17-Jan-2018 - 00:00,,,,,,,395.29,270.33,,18-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
18-Jan-2018 - 00:00,,,,,,,470.35,329.05,,19-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
19-Jan-2018 - 00:00,,,,,,,407.46,278.14,,20-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
20-Jan-2018 - 00:00,,,,,,,289.71,183.47,,21-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
21-Jan-2018 - 00:00,,,,,,,300.65,189.31,,22-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
22-Jan-2018 - 00:00,114.82,72.49,131.91,,,54.93,368.61,240.27,,23-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
23-Jan-2018 - 00:00,2.78,14.93,10.2,,,6.85,266.07,187.53,,24-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
24-Jan-2018 - 00:00,57.05,94.9,92.24,,,40.25,193.62,145.07,,25-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
25-Jan-2018 - 00:00,75.13,74.82,100.88,,,42.11,168.07,127.57,,26-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
26-Jan-2018 - 00:00,56.03,62.07,78.57,,,34.9,223.62,150.16,,27-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
27-Jan-2018 - 00:00,107.78,77.88,139.44,,,58.33,288.5,186.32,,28-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
28-Jan-2018 - 00:00,104.7,73.99,136.02,,,61.23,254.05,162.1,,29-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
29-Jan-2018 - 00:00,130.45,80.75,158.4,,,65.85,261.94,158.15,,30-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
30-Jan-2018 - 00:00,43.08,72.75,73.72,,,35.42,195.86,112.17,,31-Jan-2018 - 00:00,"ITO, Delhi - CPCB"
31-Jan-2018 - 00:00,43.16,70.93,72.81,,,35.1,203.55,123.9,,01-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
01-Feb-2018 - 00:00,94.69,97.94,129.08,,,56.9,244.94,149.84,,02-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
02-Feb-2018 - 00:00,96.52,90.18,126.44,,,55.28,185.8,102.89,,03-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
03-Feb-2018 - 00:00,89.9,85.68,118.66,,,51.83,171.53,93.11,,04-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
04-Feb-2018 - 00:00,71.49,76.9,99.03,,,43.86,168.28,103.49,,05-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
05-Feb-2018 - 00:00,136.37,94.21,160.98,,,66.73,197.72,128.55,,06-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
06-Feb-2018 - 00:00,71.98,87.03,104.81,,,45.93,156.39,104.02,,07-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
07-Feb-2018 - 00:00,78.31,101.57,115.08,,,50.82,147.85,103.61,,08-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
08-Feb-2018 - 00:00,159.39,110.74,219.39,,,122.29,250.93,164.96,,09-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
09-Feb-2018 - 00:00,195.47,100.42,220.81,,,90.83,280.48,193.2,,10-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
10-Feb-2018 - 00:00,31.23,108.08,136.83,,,178.6,319.8,191.15,,11-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
11-Feb-2018 - 00:00,188.49,82.18,237.28,,,96.68,254.08,142.73,,12-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
12-Feb-2018 - 00:00,93.54,66.41,111.22,,,50.99,118.0,68.89,,13-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
13-Feb-2018 - 00:00,127.1,70.32,140.95,,,57.32,149.86,99.68,,14-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
14-Feb-2018 - 00:00,25.9,64.66,55.35,,,27.06,113.48,61.7,,15-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
15-Feb-2018 - 00:00,29.61,73.04,62.73,,,30.44,131.56,76.23,,16-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
16-Feb-2018 - 00:00,46.16,87.37,83.89,,,37.01,182.85,118.65,,17-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
17-Feb-2018 - 00:00,46.18,88.74,84.66,,,37.29,206.85,125.03,,18-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
18-Feb-2018 - 00:00,61.19,71.14,135.71,,,57.67,182.81,122.11,,19-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
19-Feb-2018 - 00:00,125.6,70.29,205.84,,,109.5,221.23,143.31,,20-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
20-Feb-2018 - 00:00,152.48,75.85,225.37,,,93.5,249.83,146.4,,21-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
21-Feb-2018 - 00:00,75.19,87.36,194.96,,,138.57,289.18,154.61,,22-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
22-Feb-2018 - 00:00,185.47,84.12,196.89,,,77.05,216.52,127.06,,23-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
23-Feb-2018 - 00:00,199.61,80.72,220.25,,,88.39,235.58,134.21,,24-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
24-Feb-2018 - 00:00,187.48,93.25,202.86,,,82.87,253.8,137.39,,25-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
25-Feb-2018 - 00:00,54.18,61.74,76.77,,,35.98,111.3,66.61,,26-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
26-Feb-2018 - 00:00,23.03,58.76,49.76,,,27.25,81.55,37.22,,27-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
27-Feb-2018 - 00:00,79.55,72.32,104.84,,,44.92,123.77,65.07,,28-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
28-Feb-2018 - 00:00,143.54,78.19,161.46,,,64.95,225.79,134.45,,01-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
01-Mar-2018 - 00:00,169.06,75.89,177.75,,,70.32,199.6,111.7,,02-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
