from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,1.08,0.04,0.0,754.05,2.5,140.23,90.62,0.0,42.51,125.03,17.9,119.19,0.97,0.51,20.53,4.29,22.95,27.24,44.36,4.97,02-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jan-2018 - 00:00,0.83,0.03,0.0,754.28,1.74,124.91,61.11,0.0,28.34,148.95,20.04,71.5,1.21,0.53,17.37,2.8,25.59,28.38,53.04,5.59,03-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jan-2018 - 00:00,1.38,0.27,0.06,754.49,2.39,114.27,70.89,0.0,36.48,131.87,18.31,147.1,1.0,0.78,18.45,6.85,30.91,37.75,41.94,10.22,04-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jan-2018 - 00:00,1.97,0.47,0.12,754.28,3.51,128.15,78.52,0.0,43.68,129.32,18.56,182.79,1.06,0.81,22.52,7.36,29.05,36.41,44.15,30.99,05-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jan-2018 - 00:00,1.8,0.75,0.2,754.0,4.0,122.36,70.48,0.0,51.57,145.73,18.81,183.47,0.91,0.96,19.14,13.15,28.6,41.74,37.13,15.78,06-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jan-2018 - 00:00,2.05,0.8,0.21,754.09,3.96,184.6,104.71,0.0,44.64,134.12,18.56,188.9,0.84,0.77,23.51,12.21,29.7,41.91,42.57,25.97,07-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jan-2018 - 00:00,1.76,0.38,0.09,755.0,3.15,158.53,151.93,0.0,41.75,132.89,17.67,182.36,0.88,0.8,23.71,8.11,33.58,41.69,42.34,23.28,08-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jan-2018 - 00:00,1.17,0.03,0.0,755.37,2.17,130.58,78.92,0.0,42.94,139.97,17.94,73.97,0.97,0.5,22.57,4.49,26.53,29.59,52.08,7.4,09-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jan-2018 - 00:00,0.67,0.01,0.0,756.18,1.46,125.24,68.35,0.0,41.9,142.05,20.26,70.39,1.46,0.42,20.76,2.17,16.87,19.04,76.79,5.92,10-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jan-2018 - 00:00,0.69,0.0,0.0,756.63,1.58,124.74,70.1,0.0,41.83,145.0,20.51,80.07,1.18,0.49,21.18,2.56,21.47,24.03,66.39,5.92,11-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jan-2018 - 00:00,2.09,0.61,0.16,756.41,4.4,175.52,257.78,0.0,44.13,134.76,19.93,171.91,0.94,1.13,19.57,11.54,42.25,53.78,51.49,17.78,12-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jan-2018 - 00:00,2.65,1.07,0.34,755.56,5.47,190.36,117.66,0.0,45.84,156.79,20.5,160.57,0.82,1.26,21.49,19.27,32.48,51.75,34.86,6.75,13-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jan-2018 - 00:00,1.25,0.14,0.02,755.12,2.93,169.08,90.18,0.0,41.93,153.11,22.76,128.1,0.86,1.08,21.72,4.35,30.23,34.57,39.51,6.12,14-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jan-2018 - 00:00,1.85,0.5,0.12,755.14,3.87,168.3,93.91,0.0,45.26,141.17,22.43,157.47,1.0,0.93,18.3,9.98,33.85,43.82,37.56,6.48,15-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jan-2018 - 00:00,1.58,0.42,0.1,755.57,3.33,145.18,82.65,0.0,41.3,136.91,21.53,133.13,0.98,0.93,25.95,11.66,30.79,42.44,36.89,3.65,16-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jan-2018 - 00:00,1.66,0.44,0.11,753.88,3.31,146.56,79.08,0.0,41.86,137.11,21.33,154.63,0.99,0.96,26.36,5.73,24.43,30.06,36.51,11.83,17-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jan-2018 - 00:00,1.41,0.31,0.08,755.16,2.94,127.85,68.52,1.13,47.24,141.28,21.99,205.69,1.12,0.81,23.02,7.17,24.37,31.45,35.35,30.97,18-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jan-2018 - 00:00,1.95,0.74,0.19,758.67,3.7,148.68,77.36,0.0,54.62,153.69,19.66,171.61,0.73,1.16,23.93,17.53,34.33,47.36,34.53,27.79,19-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Jan-2018 - 00:00,1.49,0.36,0.1,759.21,2.07,171.13,97.71,0.0,47.74,146.98,19.6,164.55,1.13,0.81,24.56,4.2,23.51,27.71,48.0,13.29,20-Jan-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
