from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,RH,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
01-Jan-2018 - 00:00,0.0,0.0,0.0,27.43,0.0,0.0,,0.0,0.0,925.38,53.04,0.0,0.0,0.0,31.85,0.12,22.75,1.21,02-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
02-Jan-2018 - 00:00,0.0,0.0,0.0,30.94,0.0,0.0,,0.0,0.0,896.95,39.64,0.0,0.0,0.0,34.09,0.26,55.2,1.54,03-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
03-Jan-2018 - 00:00,0.0,0.0,0.0,30.09,0.0,0.0,,0.0,0.0,921.44,48.39,0.0,0.0,0.0,32.48,0.25,62.67,1.5,04-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
04-Jan-2018 - 00:00,0.0,0.0,0.0,33.36,0.0,0.0,,0.0,0.0,878.13,24.09,0.0,0.0,0.0,32.66,0.37,63.87,1.76,05-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
05-Jan-2018 - 00:00,0.0,0.0,0.0,26.44,0.0,0.0,,0.0,0.0,900.21,25.44,0.0,0.0,0.0,34.05,0.19,44.76,1.4,06-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
06-Jan-2018 - 00:00,0.0,0.0,0.0,27.33,0.0,0.0,,0.0,0.0,791.93,27.72,0.0,0.0,0.0,18.61,0.09,41.68,1.16,07-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
07-Jan-2018 - 00:00,0.0,0.0,0.0,28.04,0.0,0.0,,0.0,0.0,947.85,47.97,0.0,0.0,0.0,32.9,0.07,46.26,1.08,08-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
08-Jan-2018 - 00:00,0.0,0.0,0.0,29.68,0.0,0.0,,0.0,0.0,948.26,44.21,0.0,0.0,0.0,35.03,0.15,72.7,1.29,09-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
09-Jan-2018 - 00:00,0.0,0.0,0.0,30.62,0.0,0.0,,0.0,0.0,947.53,44.54,0.0,0.0,0.0,33.75,0.19,94.92,1.39,10-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
10-Jan-2018 - 00:00,0.0,0.0,0.0,35.06,0.0,0.0,,0.0,0.0,944.97,39.24,0.0,0.0,0.0,29.02,0.35,124.89,1.76,11-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
11-Jan-2018 - 00:00,0.0,0.0,0.0,36.01,0.0,0.0,,0.0,0.0,941.24,36.98,0.0,0.0,83.33,33.41,0.4,85.35,1.85,12-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
12-Jan-2018 - 00:00,0.0,0.0,0.0,30.93,0.0,0.0,,0.0,0.0,913.3,38.36,0.0,0.0,0.0,28.49,0.28,91.69,1.6,13-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
13-Jan-2018 - 00:00,0.0,0.0,0.0,30.25,0.0,0.0,,0.0,0.0,796.91,19.66,0.0,0.0,0.0,18.0,0.28,83.04,1.55,14-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
14-Jan-2018 - 00:00,0.0,0.0,0.0,30.95,0.0,0.0,,0.0,0.0,949.4,1.28,0.0,0.0,0.0,31.2,0.18,36.47,1.38,15-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
15-Jan-2018 - 00:00,0.0,0.0,0.0,32.37,0.0,0.0,,0.0,0.0,949.46,28.32,0.0,0.0,0.0,29.63,0.23,56.12,1.48,16-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
16-Jan-2018 - 00:00,0.0,0.0,0.0,29.64,0.0,0.0,,0.0,0.0,948.31,39.87,0.0,0.0,0.0,27.17,0.15,59.32,1.27,17-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
17-Jan-2018 - 00:00,0.0,0.0,0.0,31.63,0.0,0.0,,0.0,0.0,948.15,61.39,0.0,0.0,0.0,24.19,0.1,44.25,1.16,18-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
18-Jan-2018 - 00:00,0.0,0.0,0.0,34.04,0.0,0.0,,0.0,0.0,948.94,66.25,0.0,0.0,0.0,18.39,0.2,80.72,1.35,19-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Jan-2018 - 00:00,0.0,0.0,0.0,33.19,0.0,0.0,,0.0,0.0,911.09,60.12,0.0,0.0,0.0,19.21,0.19,85.15,1.35,20-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Jan-2018 - 00:00,0.0,0.0,0.0,29.9,0.0,0.0,,0.0,0.0,526.07,64.56,0.0,0.0,0.0,0.0,0.17,74.22,1.28,21-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Jan-2018 - 00:00,0.0,0.0,0.0,31.07,0.0,0.0,,0.0,0.0,946.75,67.21,0.0,0.0,0.0,21.4,0.13,77.89,1.21,22-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Jan-2018 - 00:00,0.0,0.0,0.0,29.55,0.0,0.0,,0.0,0.0,946.02,53.96,0.0,0.0,0.0,26.77,0.09,42.0,1.18,23-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Jan-2018 - 00:00,0.0,0.0,0.0,29.28,0.0,0.0,,0.0,0.0,938.8,72.68,0.0,0.0,0.0,30.06,0.04,14.16,1.02,24-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Jan-2018 - 00:00,0.0,0.0,0.0,32.09,0.0,0.0,,0.0,0.0,946.83,70.94,0.0,0.0,0.0,33.47,0.14,71.89,1.3,25-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Jan-2018 - 00:00,0.0,0.0,0.0,30.43,0.0,0.0,,0.0,0.0,936.15,72.22,0.0,0.0,0.0,27.98,0.15,51.74,1.34,26-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Jan-2018 - 00:00,0.0,0.0,0.0,29.79,0.0,0.0,,0.0,0.0,871.18,75.41,0.0,0.0,0.0,25.37,0.14,64.4,1.3,27-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Jan-2018 - 00:00,0.0,0.0,0.0,28.29,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,57.07,1.27,28-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Jan-2018 - 00:00,0.0,0.0,0.0,26.66,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,49.39,1.31,29-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Jan-2018 - 00:00,0.0,0.0,0.0,26.16,0.0,0.0,,0.0,0.0,79.2,0.0,0.0,0.0,0.0,1.53,0.28,74.21,1.67,30-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Jan-2018 - 00:00,0.0,0.0,0.0,30.35,0.0,0.0,145.6,0.0,0.0,768.78,52.06,0.0,0.0,0.0,21.19,0.38,88.06,1.81,31-Jan-2018 - 00:00,"Karve Road, Pune - MPCB"
