from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,267.94,338.73,6.63,8.49,0.04,1.96,,14.81,0.0,0.0,0.0,0.0,0.0,02-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
02-Jan-2018 - 00:00,,,,,,,,,,245.35,294.18,6.6,8.49,3.75,1.42,,12.2,0.0,0.0,0.0,0.0,0.0,03-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
03-Jan-2018 - 00:00,,,,,,,,,,241.71,227.45,6.58,8.48,13.74,1.38,,14.74,0.0,0.0,0.0,0.0,0.0,04-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
04-Jan-2018 - 00:00,,,,,,,,,,553.17,249.71,6.57,8.48,0.0,1.18,0.0,14.11,0.0,0.0,0.0,0.0,0.0,05-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
05-Jan-2018 - 00:00,,,,,,,,,,403.56,242.57,9.99,8.49,0.09,1.13,,11.29,0.0,0.0,0.0,0.0,0.0,06-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
06-Jan-2018 - 00:00,,,,,,,,,,368.43,243.49,6.61,8.49,0.0,1.73,,16.05,0.0,0.0,0.0,0.0,0.0,07-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
07-Jan-2018 - 00:00,,,,,,,,,,273.09,157.4,6.71,8.49,0.0,1.13,,16.46,0.0,0.0,0.0,0.0,0.0,08-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
08-Jan-2018 - 00:00,,,,,,,,,,244.13,131.22,6.73,8.48,0.0,0.95,,17.32,0.0,0.0,0.0,0.0,0.0,09-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
09-Jan-2018 - 00:00,,,,,,,,,,332.29,192.81,6.8,8.48,0.0,1.53,,17.13,0.0,0.0,0.0,0.0,0.0,10-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
10-Jan-2018 - 00:00,,,,,,,,,,284.83,166.95,13.58,8.48,0.0,1.13,,16.44,0.0,0.0,0.0,0.0,0.0,11-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
11-Jan-2018 - 00:00,,,,,,,,,,243.94,136.92,6.89,8.48,0.0,0.68,,18.41,0.0,0.0,0.0,0.0,0.0,12-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
12-Jan-2018 - 00:00,,,,,,,,,,275.9,137.8,6.73,8.49,0.0,1.12,,17.27,0.0,0.0,0.0,0.0,0.0,13-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
13-Jan-2018 - 00:00,,,,,,,,,,293.67,169.98,6.76,8.48,0.0,2.27,,17.03,0.0,0.0,0.0,0.0,0.0,14-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
14-Jan-2018 - 00:00,,,,,,,,,,269.26,149.18,6.76,8.48,0.0,1.48,,17.94,0.0,0.0,0.0,0.0,0.0,15-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
15-Jan-2018 - 00:00,,,,,,,,,,312.06,161.05,9.84,12.54,0.0,1.11,,17.6,0.0,0.0,0.0,0.0,0.0,16-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
16-Jan-2018 - 00:00,,,,,,,,,,225.84,99.21,17.67,16.75,32.52,1.11,0.0,22.42,0.0,0.0,0.0,0.0,0.0,17-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
17-Jan-2018 - 00:00,,,,,,,,,,368.96,206.94,47.95,14.81,62.79,1.78,,14.92,0.0,0.0,0.0,0.0,0.0,18-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
18-Jan-2018 - 00:00,,,,,,,,,,378.48,225.44,33.75,14.56,48.32,1.78,,18.51,0.0,0.0,0.0,0.0,0.0,19-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
19-Jan-2018 - 00:00,,,,,,,,,,347.21,203.77,37.16,14.9,52.06,1.43,,16.75,0.0,0.0,0.0,0.0,0.0,20-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
20-Jan-2018 - 00:00,,,,,,,,,,259.97,129.58,17.49,13.82,31.31,0.93,,17.56,0.0,0.0,0.0,0.0,0.0,21-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
21-Jan-2018 - 00:00,,,,,,,,,,248.99,122.16,36.96,13.77,50.73,1.1,,20.93,0.0,0.0,0.0,0.0,0.0,22-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
22-Jan-2018 - 00:00,,,,,,,,,,358.48,175.73,39.66,15.3,54.96,1.65,,19.58,0.0,0.0,0.0,0.0,0.0,23-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
23-Jan-2018 - 00:00,,,,,,,,,,263.56,165.42,19.72,14.32,34.04,0.97,,12.19,0.0,0.0,0.0,0.0,0.0,24-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
24-Jan-2018 - 00:00,,,,,,,,,,220.93,144.22,13.57,13.04,26.59,0.56,,13.93,0.0,0.0,0.0,0.0,0.0,25-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
25-Jan-2018 - 00:00,0.57,1.62,0.9,3.6,4.78,69.57,127.92,,13.6,163.39,94.0,13.6,12.94,26.55,0.16,,12.86,0.0,0.0,0.0,0.62,0.0,26-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
26-Jan-2018 - 00:00,0.32,1.0,0.97,2.11,8.17,59.57,230.31,,13.6,217.43,121.42,16.12,13.25,29.37,0.67,,13.72,0.0,0.0,0.0,0.39,0.0,27-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
27-Jan-2018 - 00:00,0.14,1.42,0.51,1.92,7.22,63.12,250.1,,13.6,294.79,144.67,11.69,13.61,25.3,0.7,,16.48,0.0,0.0,0.0,0.37,0.0,28-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
28-Jan-2018 - 00:00,0.35,1.0,0.92,2.75,7.07,60.69,232.99,,13.6,239.15,124.8,20.98,13.31,34.29,0.91,,16.46,0.0,0.0,0.0,0.81,0.0,29-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
