from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
01-Jan-2018 - 00:00,34.73,124.39,58.15,21.94,0.56,163.28,0.0,125.57,0.63,69.91,4.47,15.35,2.81,,,,0.0,1.94,02-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Jan-2018 - 00:00,46.19,125.55,61.3,21.53,0.52,187.83,0.0,142.5,0.69,63.45,4.7,13.52,2.75,,,,0.0,1.03,03-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Jan-2018 - 00:00,45.08,116.54,59.02,21.81,0.41,202.83,0.0,142.73,0.61,64.95,4.09,12.1,2.65,,,,0.0,2.0,04-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Jan-2018 - 00:00,37.49,120.09,58.71,21.02,0.37,160.89,0.0,143.92,0.68,53.16,9.5,19.18,5.52,,,,0.0,2.44,05-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Jan-2018 - 00:00,18.09,133.06,61.22,21.02,0.58,162.2,0.0,146.64,0.59,53.47,8.55,20.4,6.66,,,,0.0,1.15,06-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Jan-2018 - 00:00,15.95,146.19,52.73,23.26,0.66,161.94,0.0,134.8,0.67,69.55,4.81,14.22,4.83,,,,0.0,1.55,07-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Jan-2018 - 00:00,15.35,117.2,62.14,21.83,0.37,177.3,0.0,133.7,0.61,58.15,7.28,18.08,5.08,,,,0.0,1.5,08-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Jan-2018 - 00:00,16.27,116.2,61.01,21.6,0.57,138.65,0.0,123.9,0.68,64.48,5.07,13.71,3.26,,,,0.0,1.87,09-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Jan-2018 - 00:00,15.6,128.07,57.98,21.22,0.44,144.45,0.0,118.0,0.63,59.9,5.78,12.46,2.79,,,,0.0,2.42,10-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Jan-2018 - 00:00,27.99,119.7,56.85,21.8,0.38,172.24,0.0,126.08,0.67,47.54,4.81,10.59,2.44,9.02,12.4,13.81,5.76,2.72,11-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Jan-2018 - 00:00,45.94,133.0,50.22,24.49,0.38,217.11,0.0,145.19,0.77,49.21,6.9,15.04,4.33,6.01,9.3,10.4,14.22,3.83,12-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Jan-2018 - 00:00,47.45,124.38,55.07,23.62,0.39,208.07,0.0,140.11,0.6,59.33,6.01,15.61,4.27,6.21,6.71,9.57,12.86,1.65,13-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Jan-2018 - 00:00,37.96,122.92,49.76,23.91,0.42,151.74,0.0,124.11,0.66,56.13,3.86,10.8,2.5,5.99,4.92,9.76,10.93,2.45,14-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Jan-2018 - 00:00,38.82,116.16,54.24,24.04,0.52,154.39,0.0,127.17,0.7,55.27,4.62,12.58,3.78,6.2,4.38,9.7,10.41,1.86,15-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Jan-2018 - 00:00,37.6,121.47,50.68,25.64,0.52,164.32,0.0,109.76,0.66,69.59,3.83,10.94,2.55,6.22,3.51,9.85,9.44,1.56,16-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Jan-2018 - 00:00,33.14,133.42,52.16,24.03,0.56,171.92,0.0,102.99,0.65,60.99,3.48,8.95,1.91,6.87,7.23,8.46,11.17,1.59,17-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Jan-2018 - 00:00,23.82,123.37,48.75,22.99,0.71,149.87,0.0,77.22,0.73,45.47,12.99,21.26,20.19,8.72,15.99,6.11,17.85,1.47,18-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Jan-2018 - 00:00,24.13,143.5,46.98,22.92,0.86,188.15,0.0,80.94,0.68,58.43,3.05,9.1,4.63,8.73,18.42,6.88,19.14,1.49,19-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Jan-2018 - 00:00,28.89,125.26,50.93,21.17,0.67,168.73,0.0,83.75,0.67,46.54,3.44,8.81,2.42,8.9,16.4,6.84,18.22,1.63,20-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Jan-2018 - 00:00,24.17,,71.58,15.77,0.59,235.1,0.0,62.75,0.6,13.4,2.76,10.35,2.43,8.46,15.85,7.09,17.58,0.36,21-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Jan-2018 - 00:00,34.75,155.6,44.63,24.89,0.75,138.41,0.0,100.02,0.7,73.73,3.06,11.16,3.83,8.87,17.04,7.28,18.54,4.02,22-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Jan-2018 - 00:00,36.5,132.2,58.89,21.78,0.73,154.11,0.0,117.72,0.67,58.62,4.56,13.43,4.44,10.18,17.28,6.56,19.7,1.07,23-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Jan-2018 - 00:00,39.5,156.66,60.51,23.04,1.0,134.34,0.0,121.18,0.7,76.86,3.14,10.94,3.64,14.41,14.26,5.32,21.55,0.79,24-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jan-2018 - 00:00,38.64,149.88,61.4,22.9,0.8,207.72,0.0,110.53,0.69,62.82,2.71,7.36,1.68,16.04,14.27,4.33,22.78,1.06,25-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jan-2018 - 00:00,34.03,156.31,48.87,21.7,0.84,190.8,0.0,112.07,0.67,57.3,2.34,7.29,1.34,15.91,15.67,3.16,23.41,2.32,26-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Jan-2018 - 00:00,34.57,133.23,48.67,21.04,0.66,155.06,0.0,103.59,0.69,53.53,2.35,6.9,1.18,17.22,2.77,2.79,16.08,3.47,27-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jan-2018 - 00:00,33.26,110.13,60.53,17.9,0.71,193.68,0.0,98.08,0.68,44.94,2.21,4.72,0.98,16.23,1.38,3.05,14.29,1.69,28-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jan-2018 - 00:00,36.95,170.19,35.03,26.19,0.89,124.88,0.0,113.62,0.67,97.52,3.42,10.78,2.69,19.52,1.56,2.23,16.06,2.7,30-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jan-2018 - 00:00,40.59,164.6,49.97,22.59,0.69,153.06,0.0,134.74,0.7,52.19,6.07,12.29,3.25,20.5,1.44,1.98,16.18,3.07,31-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Jan-2018 - 00:00,35.2,157.29,45.94,23.0,0.67,185.61,0.0,120.72,0.68,46.88,5.22,11.45,2.71,21.55,1.37,2.17,16.21,1.96,01-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
