from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
01-Jan-2018 - 00:00,29.54,41.63,17.77,1.89,108.97,16.25,0.32,0.27,23.65,504.51,444.32,23.1,0.0,58.22,77.12,28.18,82.05,2.39,02-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jan-2018 - 00:00,25.75,32.96,15.57,1.26,107.39,12.84,0.29,0.16,18.74,148.52,77.58,22.31,0.0,48.24,84.29,28.17,69.1,2.62,03-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jan-2018 - 00:00,32.47,31.26,22.92,1.69,89.45,13.34,0.35,0.21,18.09,148.75,94.17,22.08,0.0,43.33,88.44,27.89,105.79,2.02,04-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jan-2018 - 00:00,45.65,45.92,38.81,2.13,61.52,15.12,0.57,0.41,21.45,214.4,119.71,22.53,0.0,54.86,82.7,27.99,158.56,1.27,05-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jan-2018 - 00:00,39.03,64.67,33.71,2.83,44.42,14.56,0.83,0.57,23.49,231.3,147.57,21.21,0.0,71.19,94.72,27.87,197.54,1.28,06-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jan-2018 - 00:00,32.92,30.72,19.32,2.05,98.56,14.06,0.3,0.17,16.16,153.18,67.74,23.76,0.0,43.03,26.79,27.47,67.29,2.69,09-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jan-2018 - 00:00,25.9,33.2,15.87,1.42,103.66,14.49,0.3,0.27,18.46,140.19,69.81,22.79,0.0,46.96,91.97,27.02,97.14,2.1,10-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jan-2018 - 00:00,32.43,43.29,23.61,2.02,76.16,15.66,0.4,0.28,19.21,176.72,98.86,22.46,0.0,47.91,99.48,26.65,114.23,1.71,11-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Jan-2018 - 00:00,32.44,49.3,23.37,2.0,71.78,14.72,0.45,0.36,18.61,188.3,107.81,22.73,0.0,50.65,94.38,25.85,137.93,1.53,12-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jan-2018 - 00:00,37.63,49.89,28.2,2.07,68.64,13.44,0.43,0.47,18.21,187.92,99.28,23.45,0.0,48.97,90.66,26.49,134.65,1.65,13-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jan-2018 - 00:00,38.36,44.63,23.2,2.04,70.57,13.86,0.38,0.49,15.81,165.6,75.68,24.46,0.0,42.39,54.94,26.36,115.53,1.42,14-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jan-2018 - 00:00,33.58,54.84,22.83,2.12,75.12,16.44,0.47,0.68,22.95,178.99,97.38,25.07,0.0,50.66,80.4,25.09,140.53,1.68,15-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jan-2018 - 00:00,26.84,40.09,16.07,1.59,102.0,16.54,0.31,0.51,21.09,136.46,69.29,25.07,0.0,45.45,97.67,25.23,109.75,1.8,16-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jan-2018 - 00:00,37.5,47.68,24.01,2.07,70.01,14.56,0.41,0.4,16.73,171.02,85.74,23.98,0.0,51.7,99.93,26.36,179.01,1.45,17-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jan-2018 - 00:00,34.69,45.06,25.98,2.03,53.37,18.81,0.4,0.64,19.76,159.4,74.97,24.22,0.0,54.26,95.42,25.58,176.91,1.32,18-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jan-2018 - 00:00,28.77,48.16,26.9,2.2,44.52,14.79,0.39,0.57,17.48,135.42,72.36,24.03,0.0,56.01,103.41,26.1,201.25,2.0,19-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Jan-2018 - 00:00,34.22,45.2,30.07,2.17,55.06,11.66,0.4,0.25,18.5,142.64,70.37,23.88,0.0,56.23,90.12,26.71,177.67,1.7,20-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Jan-2018 - 00:00,31.63,48.7,22.73,2.05,57.46,16.13,0.42,0.21,21.71,139.74,74.29,24.1,0.0,54.94,100.85,27.77,162.58,1.51,21-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Jan-2018 - 00:00,36.64,51.08,26.15,1.66,62.11,12.75,0.46,0.07,24.66,147.74,72.35,24.06,0.0,53.89,97.89,29.35,188.35,1.5,22-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Jan-2018 - 00:00,41.69,47.61,30.0,2.04,68.08,15.24,0.43,0.27,19.16,168.82,77.57,24.38,0.0,51.51,95.39,27.61,168.25,1.5,23-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Jan-2018 - 00:00,19.5,38.54,11.81,1.32,95.22,17.86,0.22,0.38,14.35,130.53,60.05,23.37,0.0,53.7,87.6,25.92,248.19,3.09,24-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Jan-2018 - 00:00,25.83,31.41,15.44,1.15,91.23,16.29,0.2,0.28,13.1,166.65,74.48,22.28,0.0,48.8,103.12,25.09,146.76,1.86,25-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Jan-2018 - 00:00,40.55,41.91,28.6,2.12,68.65,15.99,0.43,0.42,14.37,215.21,114.81,21.68,0.0,49.24,95.35,25.07,167.19,1.46,26-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Jan-2018 - 00:00,40.74,41.72,29.61,2.11,62.44,13.6,0.46,0.54,15.36,166.4,93.27,22.36,0.0,45.69,102.77,24.79,173.91,1.46,27-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Jan-2018 - 00:00,40.13,44.97,28.99,2.14,70.0,14.69,0.45,0.44,15.29,175.71,95.75,22.85,0.0,46.71,100.1,26.65,168.64,1.5,28-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Jan-2018 - 00:00,45.51,44.51,31.51,2.31,66.79,12.54,0.46,0.4,17.28,181.82,90.21,23.5,0.0,48.54,92.75,27.72,174.85,1.51,29-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Jan-2018 - 00:00,44.51,47.71,30.74,2.49,78.26,13.59,0.42,0.46,14.01,186.67,166.3,24.13,0.0,49.78,95.09,28.57,158.31,1.52,30-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Jan-2018 - 00:00,33.19,46.02,28.78,2.21,68.95,14.18,0.43,0.61,15.62,196.07,101.76,24.46,0.0,47.93,100.51,26.86,156.89,1.43,31-Jan-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Jan-2018 - 00:00,34.86,48.46,34.69,2.22,57.26,16.16,0.43,0.65,14.26,188.39,90.39,24.6,0.0,43.64,106.46,25.34,141.61,1.44,01-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Feb-2018 - 00:00,34.01,46.32,30.93,1.73,62.3,11.85,0.39,0.65,13.58,167.09,81.6,24.96,0.0,40.67,100.45,25.63,184.64,1.65,02-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Feb-2018 - 00:00,28.97,48.83,22.69,1.34,90.93,13.37,0.33,0.62,13.33,151.12,74.09,24.84,0.0,44.81,96.32,24.94,202.01,1.52,03-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Feb-2018 - 00:00,26.38,45.4,18.06,1.14,88.38,11.26,0.25,0.35,11.18,162.09,73.8,24.36,0.0,47.58,104.2,25.02,140.06,2.13,04-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Feb-2018 - 00:00,17.4,37.23,11.19,0.91,135.93,12.44,0.21,0.32,8.54,171.78,74.15,24.38,0.0,50.0,95.25,23.64,77.85,2.83,05-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Feb-2018 - 00:00,20.72,36.79,13.11,0.83,126.24,13.0,0.21,0.3,8.96,164.04,70.57,25.16,0.0,48.2,87.47,24.51,116.4,2.13,06-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Feb-2018 - 00:00,22.36,36.97,14.21,1.26,94.23,13.59,0.23,0.3,8.88,171.27,72.58,23.87,0.0,54.16,46.89,24.62,116.61,2.06,07-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Feb-2018 - 00:00,24.14,39.19,15.44,1.23,71.44,9.95,0.23,0.36,10.53,148.97,68.88,23.82,0.0,55.35,49.92,24.43,146.51,1.83,08-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Feb-2018 - 00:00,25.47,42.56,18.13,1.13,66.72,13.94,0.24,0.33,10.59,144.26,66.79,24.1,0.0,50.33,100.25,25.35,217.2,2.1,09-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Feb-2018 - 00:00,36.03,40.61,25.82,1.55,73.06,12.81,0.31,0.33,11.19,173.32,77.31,23.83,0.0,41.31,103.39,25.42,203.54,1.35,10-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Feb-2018 - 00:00,33.87,40.92,22.98,1.31,80.37,11.49,0.31,0.61,11.33,169.33,69.44,24.48,0.0,38.99,91.8,25.37,157.55,2.01,11-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Feb-2018 - 00:00,20.06,38.47,14.18,0.85,82.71,12.29,0.22,0.4,11.09,112.23,53.2,24.47,0.01,50.23,91.23,24.64,210.84,2.41,12-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Feb-2018 - 00:00,23.65,39.97,17.39,1.35,71.11,16.06,0.2,0.27,11.0,130.91,66.4,24.38,0.0,51.67,110.73,25.74,190.21,1.9,13-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Feb-2018 - 00:00,14.72,35.13,9.95,1.02,90.72,9.43,0.18,0.2,8.16,117.57,53.99,24.12,0.0,50.86,103.18,25.29,75.97,3.0,14-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Feb-2018 - 00:00,19.29,31.72,12.33,1.02,85.6,1.98,0.17,0.25,7.48,114.19,53.86,23.49,0.0,52.86,107.62,24.76,76.97,3.03,15-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Feb-2018 - 00:00,21.61,30.18,14.95,1.05,84.08,9.29,0.2,0.27,6.25,110.36,47.44,24.11,0.0,41.15,119.79,24.69,121.9,2.02,16-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Feb-2018 - 00:00,28.08,39.7,19.69,1.35,74.04,5.87,0.28,0.29,8.47,146.57,72.24,24.76,0.0,43.15,117.69,25.24,136.67,1.5,17-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Feb-2018 - 00:00,31.98,44.0,23.62,1.64,69.1,12.3,0.33,378.34,9.58,154.21,73.3,25.22,0.0,42.76,112.48,25.38,179.18,1.63,18-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Feb-2018 - 00:00,34.58,42.98,29.65,1.67,65.93,13.25,0.27,,9.1,188.22,73.18,25.42,0.0,41.73,108.61,25.19,188.43,1.33,19-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Feb-2018 - 00:00,27.3,40.29,20.73,1.36,81.08,8.4,0.3,0.39,8.91,206.66,68.32,26.13,0.0,34.47,106.64,25.48,133.29,1.82,20-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Feb-2018 - 00:00,30.69,35.14,20.19,1.28,82.45,9.55,0.25,0.3,7.89,176.41,60.75,26.5,0.0,32.27,115.27,26.0,112.5,1.88,21-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Feb-2018 - 00:00,35.92,45.64,29.97,1.6,66.18,8.64,0.35,0.45,9.39,168.04,67.68,26.19,0.0,37.32,116.71,25.66,191.21,1.72,22-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Feb-2018 - 00:00,25.08,41.57,19.61,1.08,79.7,8.16,0.26,0.3,8.33,145.82,54.98,26.42,0.0,36.39,112.12,25.99,213.25,1.82,23-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Feb-2018 - 00:00,24.13,38.37,16.4,0.84,83.1,13.78,0.2,0.19,7.91,140.96,57.84,26.69,0.0,36.95,113.15,25.74,214.39,2.01,24-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Feb-2018 - 00:00,28.58,43.15,19.1,1.19,77.48,12.09,0.24,0.29,8.76,159.08,70.36,26.85,0.0,41.33,101.85,25.17,200.8,1.75,25-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Feb-2018 - 00:00,25.44,42.12,16.92,1.26,77.11,12.27,0.25,0.25,8.01,178.55,66.39,27.02,0.0,39.49,107.81,25.48,109.78,2.1,26-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Feb-2018 - 00:00,16.67,31.11,10.87,0.64,94.82,9.47,0.15,0.17,6.52,129.3,38.78,27.3,0.0,33.03,120.39,26.61,94.03,2.52,27-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Feb-2018 - 00:00,25.33,37.12,17.52,1.17,78.55,12.21,0.22,0.28,7.82,136.51,46.92,27.3,0.0,32.02,121.43,25.97,129.83,1.73,28-Feb-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Feb-2018 - 00:00,37.44,53.5,30.14,1.54,58.24,11.28,0.36,0.5,9.08,196.6,77.18,27.49,0.0,37.53,114.31,25.88,158.07,1.48,01-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Mar-2018 - 00:00,33.55,59.03,24.48,1.63,71.46,7.59,0.36,0.47,7.69,189.56,91.49,28.09,0.01,36.71,104.32,25.81,171.17,1.41,02-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Mar-2018 - 00:00,24.43,51.79,16.59,1.24,98.41,13.3,0.3,0.41,6.79,185.67,99.58,27.96,0.0,31.99,112.73,24.46,167.49,1.81,03-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Mar-2018 - 00:00,13.61,40.24,9.7,0.4,107.05,7.1,0.13,0.18,5.72,119.09,47.52,27.33,0.0,29.21,117.53,25.8,247.29,2.48,04-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Mar-2018 - 00:00,21.79,44.8,17.57,1.0,85.87,11.19,0.21,0.31,7.48,165.77,63.64,27.23,0.0,30.96,89.71,25.04,205.02,1.57,05-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Mar-2018 - 00:00,22.38,50.57,15.28,1.18,78.79,8.22,0.26,0.28,7.28,155.25,65.14,27.11,0.0,35.01,108.67,26.18,158.69,1.88,06-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Mar-2018 - 00:00,16.13,36.53,9.56,0.63,100.11,9.5,0.16,5.51,9.1,111.02,34.33,27.26,0.0,30.77,124.88,26.21,94.45,2.62,07-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Mar-2018 - 00:00,22.88,32.74,13.67,0.75,94.9,7.35,0.14,0.29,6.09,117.76,33.86,26.66,0.0,27.36,69.34,25.86,84.65,2.52,08-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Mar-2018 - 00:00,17.26,36.16,10.19,1.0,123.05,10.25,0.12,0.25,6.58,127.82,43.79,27.72,0.0,32.93,107.52,26.71,139.76,2.63,09-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Mar-2018 - 00:00,27.72,39.93,16.78,1.21,107.3,10.3,0.17,0.38,7.35,142.36,70.58,27.81,0.0,35.89,115.64,26.57,167.7,1.69,10-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Mar-2018 - 00:00,38.16,44.24,24.11,1.37,91.31,10.63,0.25,0.52,6.23,177.74,79.53,27.84,0.0,35.41,101.32,24.65,158.32,1.54,11-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Mar-2018 - 00:00,24.21,38.32,14.56,0.85,97.19,10.35,0.19,0.39,6.88,113.44,51.57,28.08,0.0,26.34,128.48,25.22,200.64,1.89,12-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Mar-2018 - 00:00,18.14,32.73,12.29,0.54,93.63,8.29,0.14,0.2,5.89,101.65,36.25,27.72,0.0,21.66,135.96,25.85,221.68,2.34,13-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
