from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
01-Jan-2018 - 00:00,512.33,,-0.06,221.64,80.35,736.8,58.59,83.47,83.75,194.69,47.38,379.08,3.82,9.12,0.45,9.65,4.78,21.02,42.38,02-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
02-Jan-2018 - 00:00,524.83,,-0.0,235.33,80.07,736.77,63.48,33.75,78.22,119.57,10.21,328.92,3.87,8.5,0.58,5.06,3.94,14.63,39.14,03-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Jan-2018 - 00:00,384.62,,-0.0,247.68,77.63,736.73,76.39,33.73,61.9,104.49,24.64,253.62,3.26,8.15,0.8,10.93,3.11,12.15,32.65,04-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Jan-2018 - 00:00,408.75,,0.0,175.87,78.09,736.75,75.65,36.29,85.62,130.0,17.59,280.88,3.23,8.15,0.64,16.72,3.45,11.3,32.78,05-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Jan-2018 - 00:00,391.71,,0.03,181.98,78.02,736.74,72.67,62.07,77.9,159.22,6.42,267.83,4.44,7.64,0.78,14.55,2.99,8.3,32.9,06-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Jan-2018 - 00:00,373.62,,0.01,253.25,72.43,736.66,83.31,73.53,64.91,163.45,27.83,264.96,3.47,7.61,0.78,20.68,4.37,15.44,27.24,07-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Jan-2018 - 00:00,315.17,,0.01,240.55,68.24,736.49,92.15,24.75,58.96,89.15,27.9,213.79,2.49,8.9,1.07,16.07,2.8,9.07,26.49,08-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Jan-2018 - 00:00,275.17,,0.02,254.94,61.86,736.5,92.82,32.37,64.59,105.12,22.37,163.96,2.57,9.14,0.99,12.28,2.76,11.5,24.15,09-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Jan-2018 - 00:00,362.38,,0.01,262.77,66.58,736.58,89.63,67.5,69.24,158.93,27.19,248.62,2.96,8.69,0.92,21.96,3.94,17.33,30.42,10-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Jan-2018 - 00:00,309.96,,0.01,236.25,61.58,736.4,95.45,12.51,70.05,82.12,34.0,200.04,1.67,11.15,1.22,16.54,2.9,10.53,28.99,11-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Jan-2018 - 00:00,270.75,,-0.02,241.83,58.33,736.28,94.44,10.96,63.62,74.0,43.72,169.42,2.68,11.77,1.27,11.37,2.47,9.36,29.76,12-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Jan-2018 - 00:00,292.62,,0.01,255.92,59.42,736.43,88.57,28.99,74.47,109.45,60.08,178.79,2.77,11.28,0.92,14.93,2.85,11.11,28.99,13-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Jan-2018 - 00:00,368.88,,-0.01,253.51,61.41,736.4,92.98,141.64,74.31,268.15,73.78,256.46,2.88,10.46,0.9,29.76,5.18,26.3,31.16,14-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Jan-2018 - 00:00,327.0,,0.01,271.6,60.95,736.48,94.33,51.79,69.07,136.62,61.22,217.62,3.91,10.65,0.89,23.27,2.94,12.62,28.98,15-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Jan-2018 - 00:00,316.5,,0.01,254.58,62.1,736.4,94.15,25.42,64.31,95.03,41.18,197.88,1.87,11.44,1.3,18.09,2.38,8.72,30.54,16-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Jan-2018 - 00:00,243.83,,0.0,255.21,51.3,736.03,99.24,49.39,69.06,133.23,43.77,145.0,2.73,12.5,1.28,11.12,2.15,8.75,24.44,17-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Jan-2018 - 00:00,330.5,,0.05,198.4,71.01,736.65,86.06,90.87,77.93,199.91,28.7,186.0,2.66,9.48,1.09,17.98,2.66,10.14,30.57,18-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Jan-2018 - 00:00,403.75,,0.0,251.05,68.65,736.59,88.26,73.53,82.3,179.45,37.53,263.12,3.5,12.79,0.66,19.34,3.7,17.97,32.78,19-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Jan-2018 - 00:00,421.38,,0.01,265.54,68.19,736.6,89.75,64.06,70.46,155.17,44.33,283.25,2.76,13.25,0.89,24.61,4.39,23.72,32.06,20-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
20-Jan-2018 - 00:00,298.45,,-0.01,253.9,75.36,736.85,56.68,5.79,59.4,62.82,30.74,209.91,3.12,9.03,0.69,11.2,2.6,8.53,28.86,21-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
21-Jan-2018 - 00:00,272.08,,0.01,265.26,44.85,735.99,130.37,49.27,79.4,122.89,54.67,124.23,2.88,14.93,0.89,9.63,2.54,11.17,19.76,22-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
22-Jan-2018 - 00:00,395.96,,0.01,226.72,64.2,736.55,86.64,108.31,98.19,122.1,31.25,238.5,3.68,11.13,0.7,22.68,3.72,14.02,26.27,23-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
23-Jan-2018 - 00:00,257.33,,0.01,183.92,76.68,736.88,34.88,25.45,77.67,107.36,15.14,174.17,1.13,9.96,1.03,13.6,2.46,8.62,30.3,24-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
24-Jan-2018 - 00:00,223.16,,0.0,259.57,79.92,736.81,97.59,26.09,44.13,77.39,38.07,165.89,1.51,9.42,0.76,16.21,2.4,10.03,31.65,25-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
25-Jan-2018 - 00:00,192.25,,-0.01,259.61,82.11,736.87,91.23,17.51,29.08,50.56,,129.54,1.24,9.35,0.91,7.18,,,31.35,26-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
26-Jan-2018 - 00:00,239.79,,-0.0,251.58,80.38,736.79,91.58,26.7,39.02,62.74,,98.04,3.86,9.17,0.86,8.26,,,27.1,27-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
27-Jan-2018 - 00:00,305.79,,0.01,259.67,73.77,736.69,96.95,31.31,43.57,79.88,,122.17,2.19,9.33,0.89,7.2,,,30.29,28-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
28-Jan-2018 - 00:00,250.83,,0.02,257.02,70.62,736.64,104.34,44.22,42.41,87.32,7.5,149.42,7.94,9.87,0.88,10.23,,,25.72,29-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
29-Jan-2018 - 00:00,270.58,,0.01,253.12,65.73,736.45,105.89,47.44,45.02,85.02,,175.71,7.84,11.37,1.09,13.35,,,30.07,30-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
30-Jan-2018 - 00:00,242.3,,-0.06,253.05,51.27,736.05,106.14,19.49,43.48,40.46,9.91,138.91,12.23,15.92,2.18,9.53,,,24.57,31-Jan-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
31-Jan-2018 - 00:00,243.33,,-0.77,240.75,56.94,736.82,103.19,25.91,44.06,42.46,8.36,150.42,17.18,15.57,1.9,5.86,,,17.36,01-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
