from date,Rack Temp,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
01-Jan-2018 - 00:00,29.16,16.39,1.39,13.06,28.41,45.89,47.46,9.8,0.27,275.23,91.77,749.81,42.19,-0.33,0.0,200.58,0.04,0.09,0.03,02-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jan-2018 - 00:00,28.06,16.24,1.37,9.12,15.37,41.01,34.3,9.23,0.49,302.96,91.21,749.81,40.38,-0.31,0.0,174.38,0.04,0.15,0.08,03-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jan-2018 - 00:00,28.86,16.86,1.29,9.46,13.49,40.52,32.47,9.97,0.38,305.77,89.67,749.81,36.92,-0.3,0.0,174.88,0.03,0.11,0.04,04-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jan-2018 - 00:00,28.9,18.4,1.47,14.38,15.25,49.3,38.44,9.55,0.27,298.85,82.86,749.82,82.8,-0.23,0.0,263.94,0.03,0.12,0.05,05-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jan-2018 - 00:00,29.43,15.93,1.56,11.76,19.46,44.49,39.44,8.82,0.27,304.87,90.82,749.83,54.36,-0.3,0.0,244.71,0.0,0.0,0.0,06-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jan-2018 - 00:00,28.9,16.03,1.22,10.18,12.74,40.5,31.81,10.34,0.27,311.94,89.34,749.82,40.37,-0.32,0.0,164.33,0.0,0.0,0.0,07-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jan-2018 - 00:00,29.12,16.54,1.1,8.95,12.43,40.13,31.44,12.1,0.27,316.55,88.57,749.85,55.85,-0.28,0.0,196.2,0.0,0.0,0.0,08-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jan-2018 - 00:00,29.86,16.77,2.02,10.52,24.94,54.34,49.18,7.26,0.27,284.16,85.43,749.86,92.96,-0.39,0.0,333.68,0.05,0.18,0.06,09-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jan-2018 - 00:00,28.44,14.98,1.84,5.02,25.41,41.7,42.79,7.34,0.27,323.85,92.74,749.87,30.29,-0.3,0.0,274.54,0.03,0.34,1.36,10-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jan-2018 - 00:00,29.34,14.82,1.36,9.4,21.18,37.44,36.94,18.21,0.28,324.31,93.16,749.93,31.36,-0.3,0.0,170.58,0.0,0.48,2.05,11-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
